,Academic_Year,Current_Medical_Field_En,Current_Program_Name_En
47902,2020,Medicine and Surgery,Pediatric Stem Cell Transplantation
49749,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care
49750,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care
52175,2020,Dentistry and Related Specialties,Dental Implant
52472,2020,Medicine and Surgery,Adult Psychosomatic Medicine
53080,2016,Dentistry and Related Specialties,Advanced Education In General Dentistry Diploma
53082,2016,Medicine and Surgery,Nephropathology Renal Transplant Pathology
53257,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine
53822,2018,Medicine and Surgery,Radiation Oncology
54147,2020,Medicine and Surgery,Neurology
55895,2017,Dentistry and Related Specialties,Prosthodontics - 3 Years Track
57609,2018,Medicine and Surgery,Interventional Nephrology
57623,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition
57625,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition
57675,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy In Infectious Diseases
57678,2016,Dentistry and Related Specialties,Restorative Dentistry - 3 Years Track
58468,2022,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine
58771,2019,Medicine and Surgery,Pediatrics Intensive Care
58772,2020,Medicine and Surgery,Pediatrics Intensive Care
58773,2022,Medicine and Surgery,Pediatrics Intensive Care
59439,2020,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics
59473,2017,Dentistry and Related Specialties,Pediatric Dentistry - 3 Years Track
59474,2018,Dentistry and Related Specialties,Pediatric Dentistry - 3 Years Track
59541,2017,Medicine and Surgery,Diploma Family Medicine
59559,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Oncology
59719,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Drug Information
59751,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy In Infectious Diseases
60038,2022,Dentistry and Related Specialties,Saudi Postgraduate Diploma In Family Dental Medicine
60554,2021,Medicine and Surgery,Movement Disorder
60555,2022,Medicine and Surgery,Movement Disorder
61415,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant
61416,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant
61417,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant
61980,2019,Medicine and Surgery,Internal Medicine – Jrtp
62161,2016,Medicine and Surgery,Obstetric Anaesthesiology
62164,2017,Medicine and Surgery,Obstetric Anaesthesiology
62165,2018,Medicine and Surgery,Obstetric Anaesthesiology
62166,2020,Medicine and Surgery,Obstetric Anaesthesiology
62167,2021,Medicine and Surgery,Obstetric Anaesthesiology
63738,2021,Medicine and Surgery,Pediatric Ophthalmology And Strabismus
63913,2018,Medicine and Surgery,Head And Neck Oncology Surgery
63915,2021,Medicine and Surgery,Head And Neck Oncology Surgery
63916,2022,Medicine and Surgery,Head And Neck Oncology Surgery
64098,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology
64138,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant
64152,2018,Medicine and Surgery,Vitreoretinal Diseases And Surgery
64910,2022,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery
66421,2016,Laboratories and Medical Technology,Medical Microbiology
66422,2017,Laboratories and Medical Technology,Medical Microbiology
67892,2021,Medicine and Surgery,Respiratory Medicine
68303,2017,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries
68304,2018,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries
68713,2016,Medicine and Surgery,Neurosurgery Skull-Base
68717,2022,Medicine and Surgery,Neurosurgery Skull-Base
68764,2018,Medicine and Surgery,Medical Retina And Uveitis
69875,2020,Medicine and Surgery,Addiction Psychiatry
69876,2021,Medicine and Surgery,Addiction Psychiatry
69878,2022,Medicine and Surgery,Addiction Psychiatry
70028,2020,Medicine and Surgery,Women Image
70358,2021,Medicine and Surgery,Breast And Endocrine Surgical Oncology
71444,2022,Medicine and Surgery,Obstetric Anaesthesiology
71696,2022,Medicine and Surgery,Renal Transplant
71747,2022,Medicine and Surgery,Medical Retina And Uveitis
71915,2017,Medicine and Surgery,Neurosurgery Skull-Base
71916,2018,Medicine and Surgery,Neurosurgery Skull-Base
71917,2020,Medicine and Surgery,Neurosurgery Skull-Base
71918,2021,Medicine and Surgery,Neurosurgery Skull-Base
72208,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care
72216,2019,Medicine and Surgery,Adult Psychosomatic Medicine
73085,2017,Medicine and Surgery,Nephropathology Renal Transplant Pathology
73086,2018,Medicine and Surgery,Nephropathology Renal Transplant Pathology
73518,2017,Medicine and Surgery,Clinical Neurophysiology
73520,2016,Medicine and Surgery,Clinical Neurophysiology
73521,2021,Medicine and Surgery,Clinical Neurophysiology
73522,2022,Medicine and Surgery,Clinical Neurophysiology
74406,2018,Medicine and Surgery,Internal Medicine – Jrtp
75415,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care
76802,2020,Medicine and Surgery,Community Medicine
76976,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine
77256,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric
77324,2016,Medicine and Surgery,Transplant Hepatology
77325,2017,Medicine and Surgery,Transplant Hepatology
77326,2018,Medicine and Surgery,Transplant Hepatology
77613,2019,Medicine and Surgery,Obstetric Anaesthesiology
77614,2022,Medicine and Surgery,Oculoplastic And Orbit Surgery
77797,2019,Medicine and Surgery,Pediatric Rhino-Otolaryngology
77798,2020,Medicine and Surgery,Pediatric Rhino-Otolaryngology
77990,2016,Medicine and Surgery,Orthopedic Trauma Surgery
77991,2017,Medicine and Surgery,Orthopedic Trauma Surgery
77992,2018,Medicine and Surgery,Orthopedic Trauma Surgery
77994,2022,Medicine and Surgery,Orthopedic Trauma Surgery
79536,2016,Medicine and Surgery,Breast And Gynecologic Pathology
79540,2022,Medicine and Surgery,Breast And Gynecologic Pathology
80965,2020,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries
80966,2021,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries
86007,2016,Nursing and Midwifery,Oncology Nursing Diploma
86186,2020,Medicine and Surgery,Pediatrics Urology
86508,2019,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics
87733,2017,Dentistry and Related Specialties,Endodontics - 3 Years Track
87987,2021,Medicine and Surgery,Emergency Medicine Diploma
89034,2019,Medicine and Surgery,Adult Orthopedic Reconstructive Surgery
89035,2020,Medicine and Surgery,Adult Orthopedic Reconstructive Surgery
89845,2020,Medicine and Surgery,Thoracic Surgery
90621,2022,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries
90845,2022,Medicine and Surgery,Adult Stem Cell Transplantation
91167,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology
91399,2020,Medicine and Surgery,Movement Disorder
91400,2019,Medicine and Surgery,Movement Disorder
92717,2016,Medicine and Surgery,Primary Mental Health Care
92719,2017,Medicine and Surgery,Primary Mental Health Care
92720,2018,Medicine and Surgery,Primary Mental Health Care
92721,2022,Medicine and Surgery,Primary Mental Health Care
93099,2019,Medicine and Surgery,Urogynecology And Pelvic Reconstructive Surgery
93181,2019,Medicine and Surgery,Nephropathology Renal Transplant Pathology
93182,2020,Medicine and Surgery,Nephropathology Renal Transplant Pathology
93183,2022,Medicine and Surgery,Nephropathology Renal Transplant Pathology
93198,2016,Medicine and Surgery,Pediatric Ophthalmology
93199,2017,Medicine and Surgery,Pediatric Ophthalmology
93200,2018,Medicine and Surgery,Pediatric Ophthalmology
93201,2019,Medicine and Surgery,Pediatric Ophthalmology
93202,2021,Medicine and Surgery,Pediatric Ophthalmology
93203,2022,Medicine and Surgery,Pediatric Ophthalmology
93825,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric
94008,2017,Medicine and Surgery,Breast Imaging
94009,2018,Medicine and Surgery,Breast Imaging
94010,2019,Medicine and Surgery,Breast Imaging
94011,2020,Medicine and Surgery,Breast Imaging
94012,2022,Medicine and Surgery,Breast Imaging
94043,2017,Medicine and Surgery,Advanced General Pediatrics Fellowship
94044,2018,Medicine and Surgery,Advanced General Pediatrics Fellowship
94045,2019,Medicine and Surgery,Advanced General Pediatrics Fellowship
94046,2020,Medicine and Surgery,Advanced General Pediatrics Fellowship
94047,2022,Medicine and Surgery,Advanced General Pediatrics Fellowship
94303,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant
95845,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology
96254,2020,Medicine and Surgery,Breast And Gynecologic Pathology
96255,2021,Medicine and Surgery,Breast And Gynecologic Pathology
96325,2021,Medicine and Surgery,Pediatric Orthopedic Surgery
96359,2020,Medicine and Surgery,Clinical Neurophysiology
96970,2016,Medicine and Surgery,Bone And Soft Tissue Pathology
96971,2017,Medicine and Surgery,Bone And Soft Tissue Pathology
97553,2021,Medicine and Surgery,Vitreoretinal Diseases And Surgery
97812,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Drug Information
99243,2016,Dentistry and Related Specialties,Pediatric Dentistry - 3 Years Track
99315,2016,Dentistry and Related Specialties,Endodontics - 3 Years Track
99812,2016,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries
99816,2019,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries
101181,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care
101182,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care
102050,2022,Unknown,Cardiac Electrophysiology & Pacing
102126,2022,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology
102816,2022,Medicine and Surgery,Regional Anesthesia
102884,2020,Medicine and Surgery,Medical Retina & Uveitis
102891,2019,Medicine and Surgery,Breast And Gynecologic Pathology
105483,2022,Medicine and Surgery,Breast And Endocrine Surgical Oncology
109637,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology
110974,2021,Medicine and Surgery,Pediatric Rhino-Otolaryngology
110980,2020,Medicine and Surgery,Urogynecology And Pelvic Reconstructive Surgery
111066,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant
114978,2016,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics
115796,2016,Medicine and Surgery,Movement Disorder
115798,2017,Medicine and Surgery,Movement Disorder
118517,2016,Medicine and Surgery,Breast Imaging
119191,2019,Medicine and Surgery,Neurosurgery Skull-Base
119787,2016,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine
119788,2017,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine
125324,2021,Medicine and Surgery,Neurology
125426,2022,Medicine and Surgery,Pediatric Neurology
125892,2018,Medicine and Surgery,Movement Disorder
126068,2016,Medicine and Surgery,Pediatric Cardiac Critical Care
126069,2017,Medicine and Surgery,Pediatric Cardiac Critical Care
126070,2021,Medicine and Surgery,Pediatric Cardiac Critical Care
126071,2019,Medicine and Surgery,Pediatric Cardiac Critical Care
126072,2020,Medicine and Surgery,Pediatric Cardiac Critical Care
126073,2022,Medicine and Surgery,Pediatric Cardiac Critical Care
127449,2022,Medicine and Surgery,Neuro-Ophthalmology
132106,2016,Medicine and Surgery,Advanced General Pediatrics Fellowship
132184,2016,Medicine and Surgery,Regional Anesthesia
132185,2017,Medicine and Surgery,Regional Anesthesia
132186,2018,Medicine and Surgery,Regional Anesthesia
132187,2019,Medicine and Surgery,Regional Anesthesia
132188,2020,Medicine and Surgery,Regional Anesthesia
132881,2021,Medicine and Surgery,Orthopedic Trauma Surgery
135339,2016,Medicine and Surgery,Cornea/ External Disease And Retractive Surgery
135342,2019,Medicine and Surgery,Cornea/ External Disease And Retractive Surgery
135343,2021,Medicine and Surgery,Cornea/ External Disease And Retractive Surgery
135344,2022,Medicine and Surgery,Cornea/ External Disease And Retractive Surgery
135412,2022,Medicine and Surgery,Pediatric Stem Cell Transplantation
137418,2016,Medicine and Surgery,Addiction Psychiatry
137420,2017,Medicine and Surgery,Addiction Psychiatry
137441,2017,Medicine and Surgery,Geriatric Medicine Fellowship
137442,2016,Medicine and Surgery,Geriatric Medicine Fellowship
137443,2022,Medicine and Surgery,Geriatric Medicine Fellowship
