,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Registration_Status_En,Number_of_Practitioners
137697,2018,Male,China,Nursing and Midwifery,Expired Outdated,3
137746,2020,Male,United Kingdom,Therapy and Rehabilitation,Expired,3
137803,2020,Male,United Kingdom,Laboratories and Medical Technology,Valid,3
137888,2018,Male,Belarus,Medicine and Surgery,Expired,3
137898,2018,Male,Bangladesh,Pharmacists and Pharmacy Technicians,Valid,3
137975,2020,Male,United States,Medicine and Surgery,Non Active,3
137999,2018,Male,Canada,Laboratories and Medical Technology,Expired,3
138020,2018,Male,Canada,Nursing and Midwifery,Expired,3
138023,2018,Male,Canada,Medicine and Surgery,Expired,3
138037,2020,Male,United States,Dentistry and Related Specialties,Valid,3
138104,2018,Female,Chad,Nursing and Midwifery,Expired Outdated,3
138165,2021,Female,Chad,Medicine and Surgery,Valid,3
138214,2018,Female,China,Technicians and Health Assistants,Expired Outdated,3
138314,2018,Female,Bahrain,Therapy and Rehabilitation,Expired Outdated,3
138619,2018,Female,Eritrea,Laboratories and Medical Technology,Expired,3
138681,2018,Female,Eritrea,Nursing and Midwifery,Expired,3
138696,2021,Female,Canada,Laboratories and Medical Technology,Expired,3
138704,2021,Female,Canada,Dentistry and Related Specialties,Expired Outdated,3
138784,2018,Female,Czech Republic,Medicine and Surgery,Expired Outdated,3
138794,2021,Female,Canada,Pharmacists and Pharmacy Technicians,Valid,3
139116,2017,Male,United States,Medicine and Surgery,Not Classified Not Registered,3
139156,2017,Male,Tunisia,Therapy and Rehabilitation,Expired,3
139159,2017,Male,Tunisia,Technicians and Health Assistants,Expired Outdated,3
139167,2021,Male,Libya,Medicine and Surgery,Valid,3
139255,2017,Male,Turkey,Dentistry and Related Specialties,Expired Outdated,3
139331,2021,Female,Djibouti,Medicine and Surgery,Valid,3
139427,2017,Male,Yemen,Pharmacists and Pharmacy Technicians,Valid,3
139469,2017,Male,Yemen,Medicine and Surgery,Valid,3
139483,2018,Female,Australia,Pharmacists and Pharmacy Technicians,Expired Outdated,3
139905,2018,Female,Morocco,Medicine and Surgery,Expired Outdated,3
139924,2021,Male,New Zealand,Medicine and Surgery,Expired,3
140270,2018,Female,Pakistan,Laboratories and Medical Technology,Expired,3
140347,2018,Female,Palestine,Medicine and Surgery,Expired,3
140447,2018,Female,New Zealand,Laboratories and Medical Technology,Expired Outdated,3
140521,2018,Female,Myanmar,Nursing and Midwifery,Expired Outdated,3
140597,2021,Male,New Zealand,Medicine and Surgery,Valid,3
140642,2018,Female,Immigrant Tribes,Laboratories and Medical Technology,Expired Outdated,3
140755,2021,Female,Belarus,Medicine and Surgery,Valid,3
140787,2018,Female,India,Medicine and Surgery,Valid,3
140811,2018,Female,India,Dentistry and Related Specialties,Expired,3
140814,2021,Male,Morocco,Medicine and Surgery,Valid,3
140881,2018,Female,Finland,Therapy and Rehabilitation,Expired Outdated,3
140921,2018,Female,Ethiopia,Medicine and Surgery,Expired Outdated,3
141013,2018,Female,France,Nursing and Midwifery,Expired Outdated,3
141096,2018,Female,Jordan,Medicine and Surgery,Expired,3
141380,2018,Female,Ireland,Dentistry and Related Specialties,Expired Outdated,3
141383,2018,Female,Iraq,Therapy and Rehabilitation,Expired Outdated,3
141444,2018,Female,Indonesia,Therapy and Rehabilitation,Expired Outdated,3
141545,2016,Female,Russia,Medicine and Surgery,Expired Outdated,3
141957,2021,Female,Sudan,Health Administration and Community Health,Expired,3
142035,2016,Female,Sudan,Laboratories and Medical Technology,Not Classified Not Registered,3
142355,2016,Female,Mali,Therapy and Rehabilitation,Expired Outdated,3
142391,2021,Male,Canada,Nursing and Midwifery,Expired,3
142485,2021,Male,Canada,Nursing and Midwifery,Expired Outdated,3
142508,2016,Female,Morocco,Dentistry and Related Specialties,Expired Outdated,3
142594,2016,Female,Kenya,Medicine and Surgery,Expired Outdated,3
142682,2016,Female,Macedonia,Nursing and Midwifery,Expired Outdated,3
142692,2021,Male,Canada,Laboratories and Medical Technology,Expired Outdated,3
142738,2021,Female,Thailand,Nursing and Midwifery,Valid,3
142768,2016,Female,Netherlands,Nursing and Midwifery,Expired Outdated,3
142902,2016,Female,Palestine,Pharmacists and Pharmacy Technicians,Expired,3
142936,2016,Female,Palestine,Laboratories and Medical Technology,Expired,3
143106,2021,Female,Syria,Therapy and Rehabilitation,Expired Outdated,3
143497,2016,Male,Bangladesh,Laboratories and Medical Technology,Expired Outdated,3
143599,2021,Male,Czech Republic,Nursing and Midwifery,Expired,3
143670,2016,Male,Ethiopia,Medicine and Surgery,Expired Outdated,3
143763,2016,Male,Ethiopia,Nursing and Midwifery,Expired Outdated,3
143807,2016,Male,Ethiopia,Pharmacists and Pharmacy Technicians,Expired Outdated,3
143854,2021,Female,Slovakia,Therapy and Rehabilitation,Valid,3
143863,2021,Female,Somalia,Dentistry and Related Specialties,Expired,3
144053,2016,Male,Egypt,Pharmacists and Pharmacy Technicians,Non Active,3
144106,2016,Female,Tunisia,Technicians and Health Assistants,Expired Outdated,3
144107,2021,Male,Colombia,Dentistry and Related Specialties,Valid,3
144108,2016,Female,Tunisia,Pharmacists and Pharmacy Technicians,Expired Outdated,3
144130,2021,Female,Spain,Medicine and Surgery,Expired,3
144198,2021,Male,Cuba,Medicine and Surgery,Expired Outdated,3
144570,2016,Male,Afghanistan,Medicine and Surgery,Expired Outdated,3
144580,2016,Male,Afghanistan,Laboratories and Medical Technology,Expired Outdated,3
144624,2016,Male,Bahrain,Dentistry and Related Specialties,Expired Outdated,3
144646,2016,Male,Australia,Laboratories and Medical Technology,Expired Outdated,3
144718,2021,Female,South Africa,Therapy and Rehabilitation,Expired Outdated,3
144813,2016,Female,Yemen,Nursing and Midwifery,Expired,3
145144,2021,Male,Azerbaijan,Medicine and Surgery,Expired,3
145263,2021,Female,Yemen,Laboratories and Medical Technology,Expired Outdated,3
145478,2021,Female,United States,Pharmacists and Pharmacy Technicians,Expired,3
145704,2021,Female,Uzbekistan,Medicine and Surgery,Valid,3
145771,2021,Female,Yemen,Nursing and Midwifery,Expired Outdated,3
145826,2021,Male,Australia,Medicine and Surgery,Valid,3
146095,2021,Male,Australia,Medicine and Surgery,Expired,3
146113,2021,Male,Australia,Laboratories and Medical Technology,Expired,3
146283,2021,Male,Afghanistan,Dentistry and Related Specialties,Valid,3
146519,2021,Male,Australia,Nursing and Midwifery,Expired Outdated,3
146641,2016,Female,France,Pharmacists and Pharmacy Technicians,Expired Outdated,3
146662,2016,Female,Ghana,Nursing and Midwifery,Expired Outdated,3
146664,2016,Female,Germany,Therapy and Rehabilitation,Expired Outdated,3
146781,2021,Male,Belgium,Medicine and Surgery,Valid,3
146866,2021,Female,United Arab Emirates,Medicine and Surgery,Expired,3
146888,2021,Male,Belarus,Medicine and Surgery,Expired,3
146963,2016,Female,Ethiopia,Medicine and Surgery,Expired Outdated,3
146997,2021,Female,Ukraine,Nursing and Midwifery,Expired,3
147042,2021,Male,Belarus,Medicine and Surgery,Valid,3
147095,2016,Female,Italy,Medicine and Surgery,Expired Outdated,3
147109,2021,Male,Brazil,Medicine and Surgery,Valid,3
147113,2016,Female,Ireland,Medicine and Surgery,Expired Outdated,3
147147,2016,Female,Ireland,Dentistry and Related Specialties,Expired Outdated,3
147180,2021,Female,Tunisia,Laboratories and Medical Technology,Expired,3
147225,2016,Female,Jordan,Laboratories and Medical Technology,Expired,3
147377,2016,Female,India,Nursing and Midwifery,Non Active,3
147499,2016,Female,Australia,Therapy and Rehabilitation,Expired Outdated,3
147608,2016,Female,Bahrain,Therapy and Rehabilitation,Expired Outdated,3
147701,2016,Female,Bahrain,Dentistry and Related Specialties,Expired Outdated,3
148049,2016,Female,Egypt,Medicine and Surgery,Non Active,3
148076,2016,Female,Egypt,Medicine and Surgery,Valid,3
148301,2021,Female,United Kingdom,Medicine and Surgery,Expired Outdated,3
148304,2016,Female,Chad,Nursing and Midwifery,Expired Outdated,3
148623,2017,Female,France,Nursing and Midwifery,Expired Outdated,3
148711,2017,Female,India,Health Administration and Community Health,Expired Outdated,3
148755,2017,Female,India,Dentistry and Related Specialties,Expired,3
148831,2017,Female,Jordan,Medicine and Surgery,Expired,3
149076,2017,Female,Ireland,Dentistry and Related Specialties,Expired Outdated,3
149223,2017,Female,Czech Republic,Medicine and Surgery,Expired Outdated,3
149534,2017,Female,Chad,Laboratories and Medical Technology,Expired Outdated,3
149566,2017,Female,Chad,Nursing and Midwifery,Expired Outdated,3
149710,2017,Female,Eritrea,Nursing and Midwifery,Expired,3
149896,2017,Female,Egypt,Medicine and Surgery,Non Active,3
149943,2017,Female,Egypt,Health Administration and Community Health,Expired Outdated,3
149994,2017,Female,Eritrea,Laboratories and Medical Technology,Expired,3
150043,2017,Female,Egypt,Pharmacists and Pharmacy Technicians,Valid,3
150090,2021,Female,Lebanon,Laboratories and Medical Technology,Expired,3
150100,2017,Female,Romania,Nursing and Midwifery,Expired Outdated,3
150110,2021,Male,India,Health Administration and Community Health,Valid,3
150211,2021,Female,Lebanon,Dentistry and Related Specialties,Expired Outdated,3
150364,2021,Male,Immigrant Tribes,Therapy and Rehabilitation,Expired,3
150470,2021,Male,India,Dentistry and Related Specialties,Non Active,3
150574,2021,Female,Kuwait,Medicine and Surgery,Expired Outdated,3
150578,2017,Female,South Africa,Laboratories and Medical Technology,Expired,3
150617,2017,Female,Spain,Dentistry and Related Specialties,Expired Outdated,3
150627,2017,Female,South Africa,Technicians and Health Assistants,Expired Outdated,3
150770,2021,Female,Lebanon,Dentistry and Related Specialties,Expired,3
150815,2017,Female,Somalia,Laboratories and Medical Technology,Expired,3
150834,2017,Female,Slovakia,Therapy and Rehabilitation,Expired Outdated,3
150938,2017,Female,Morocco,Dentistry and Related Specialties,Expired Outdated,3
150971,2017,Female,Morocco,Laboratories and Medical Technology,Expired Outdated,3
151061,2017,Female,Nepal,Nursing and Midwifery,Expired Outdated,3
151110,2021,Female,Malaysia,Therapy and Rehabilitation,Expired,3
151242,2017,Female,Macedonia,Nursing and Midwifery,Expired Outdated,3
151301,2017,Female,Malaysia,Laboratories and Medical Technology,Expired Outdated,3
151324,2017,Female,Malaysia,Medicine and Surgery,Expired Outdated,3
151371,2021,Female,Lebanon,Therapy and Rehabilitation,Expired,3
151380,2017,Female,Palestine,Medicine and Surgery,Expired,3
151691,2017,Female,Pakistan,Medicine and Surgery,Valid,3
151694,2017,Female,Pakistan,Laboratories and Medical Technology,Expired,3
151833,2016,Male,Pakistan,Technicians and Health Assistants,Expired,3
151868,2016,Male,Nigeria,Pharmacists and Pharmacy Technicians,Expired Outdated,3
152151,2016,Male,New Zealand,Medicine and Surgery,Expired Outdated,3
152246,2016,Male,Romania,Medicine and Surgery,Expired Outdated,3
152270,2016,Male,Poland,Medicine and Surgery,Expired Outdated,3
152272,2016,Male,Philippines,Technicians and Health Assistants,Expired,3
152280,2016,Male,Philippines,Pharmacists and Pharmacy Technicians,Expired,3
152409,2021,Female,Poland,Nursing and Midwifery,Expired,3
152548,2021,Female,Portugal,Laboratories and Medical Technology,Valid,3
152616,2016,Male,Palestine,Technicians and Health Assistants,Expired Outdated,3
152786,2016,Male,Iraq,Dentistry and Related Specialties,Expired Outdated,3
152880,2016,Male,Ghana,Therapy and Rehabilitation,Expired Outdated,3
152961,2016,Male,India,Health Administration and Community Health,Expired Outdated,3
153067,2016,Male,Kuwait,Dentistry and Related Specialties,Expired Outdated,3
153220,2016,Male,Malaysia,Therapy and Rehabilitation,Expired Outdated,3
153258,2016,Male,Lebanon,Therapy and Rehabilitation,Expired Outdated,3
153500,2016,Male,United Kingdom,Nursing and Midwifery,Expired,3
153625,2021,Male,Finland,Nursing and Midwifery,Valid,3
153630,2016,Male,United States,Medicine and Surgery,Not Classified Not Registered,3
153703,2016,Male,Unknown,Laboratories and Medical Technology,Expired Outdated,3
153764,2016,Male,Tunisia,Nursing and Midwifery,Expired,3
153932,2017,Female,Bahrain,Dentistry and Related Specialties,Expired Outdated,3
153951,2021,Female,Pakistan,Health Administration and Community Health,Valid,3
154093,2021,Male,Germany,Dentistry and Related Specialties,Valid,3
154124,2021,Female,Pakistan,Dentistry and Related Specialties,Expired Outdated,3
154130,2017,Female,Bahrain,Therapy and Rehabilitation,Expired Outdated,3
154166,2021,Male,France,Medicine and Surgery,Expired Outdated,3
154175,2016,Male,Yemen,Pharmacists and Pharmacy Technicians,Expired,3
154202,2021,Female,Pakistan,Technicians and Health Assistants,Valid,3
154222,2016,Male,Yemen,Medicine and Surgery,Expired,3
154246,2021,Male,France,Nursing and Midwifery,Valid,3
154473,2021,Female,Philippines,Medicine and Surgery,Expired Outdated,3
154534,2016,Male,South Africa,Nursing and Midwifery,Expired,3
154628,2021,Male,Eritrea,Nursing and Midwifery,Valid,3
154671,2016,Male,Saudi Arabia,Medicine and Surgery,Non Active,3
154751,2021,Male,Eritrea,Therapy and Rehabilitation,Valid,3
154791,2016,Male,Syria,Health Administration and Community Health,Expired Outdated,3
154807,2016,Male,Syria,Laboratories and Medical Technology,Expired,3
154908,2021,Male,Finland,Nursing and Midwifery,Expired,3
155001,2016,Male,Sudan,Laboratories and Medical Technology,Not Classified Not Registered,3
155071,2021,Female,Philippines,Laboratories and Medical Technology,Non Active,3
155076,2016,Male,Sri Lanka,Laboratories and Medical Technology,Expired Outdated,3
155096,2016,Male,Sri Lanka,Medicine and Surgery,Expired Outdated,3
155121,2016,Male,Sudan,Technicians and Health Assistants,Expired,3
155257,2022,Male,China,Dentistry and Related Specialties,Valid,3
155327,2022,Male,Chad,Therapy and Rehabilitation,Valid,3
155375,2022,Female,Kuwait,Therapy and Rehabilitation,Valid,3
155437,2020,Male,Nigeria,Laboratories and Medical Technology,Expired Outdated,3
155501,2022,Male,China,Medicine and Surgery,Valid,3
155587,2022,Male,Canada,Pharmacists and Pharmacy Technicians,Valid,3
155613,2022,Female,Lebanon,Dentistry and Related Specialties,Expired,3
155700,2022,Female,Lebanon,Laboratories and Medical Technology,Expired,3
155721,2019,Female,Syria,Technicians and Health Assistants,Expired Outdated,3
155724,2020,Male,New Zealand,Medicine and Surgery,Expired,3
155933,2019,Female,Somalia,Dentistry and Related Specialties,Expired Outdated,3
155939,2020,Male,Canada,Pharmacists and Pharmacy Technicians,Expired Outdated,3
155947,2019,Female,Somalia,Laboratories and Medical Technology,Expired,3
156011,2021,Male,South Korea,Nursing and Midwifery,Expired,3
156104,2022,Female,Kenya,Laboratories and Medical Technology,Valid,3
156116,2022,Male,Dominica,Medicine and Surgery,Valid,3
156125,2020,Male,Canada,Nursing and Midwifery,Expired,3
156159,2022,Female,Kenya,Medicine and Surgery,Valid,3
156212,2022,Male,Djibouti,Medicine and Surgery,Valid,3
156344,2022,Male,Colombia,Dentistry and Related Specialties,Valid,3
156397,2020,Female,Immigrant Tribes,Nursing and Midwifery,Expired Outdated,3
156484,2019,Female,Spain,Medicine and Surgery,Expired Outdated,3
156492,2020,Male,Canada,Therapy and Rehabilitation,Expired Outdated,3
156506,2020,Female,Immigrant Tribes,Nursing and Midwifery,Expired,3
156514,2019,Female,Spain,Dentistry and Related Specialties,Expired Outdated,3
156591,2022,Male,Bahrain,Dentistry and Related Specialties,Valid,3
156667,2022,Male,Azerbaijan,Medicine and Surgery,Expired,3
156694,2020,Female,Egypt,Health Administration and Community Health,Expired Outdated,3
156697,2019,Male,Afghanistan,Medicine and Surgery,Expired Outdated,3
156715,2020,Male,Malaysia,Laboratories and Medical Technology,Expired Outdated,3
156720,2020,Male,Czech Republic,Nursing and Midwifery,Expired,3
156932,2019,Male,Austria,Medicine and Surgery,Expired Outdated,3
156945,2022,Male,Australia,Medicine and Surgery,Expired,3
156967,2022,Female,Mauritania,Medicine and Surgery,Valid,3
156985,2022,Female,Mauritania,Pharmacists and Pharmacy Technicians,Valid,3
157047,2019,Male,Bahrain,Medicine and Surgery,Expired,3
157081,2022,Male,Azerbaijan,Health Administration and Community Health,Valid,3
157105,2020,Male,Czech Republic,Nursing and Midwifery,Expired Outdated,3
157251,2022,Male,Bulgaria,Medicine and Surgery,Valid,3
157295,2022,Female,Lebanon,Technicians and Health Assistants,Valid,3
157450,2022,Male,Canada,Pharmacists and Pharmacy Technicians,Expired,3
157475,2020,Female,Ethiopia,Nursing and Midwifery,Expired Outdated,3
157485,2020,Female,Eritrea,Therapy and Rehabilitation,Valid,3
157510,2019,Female,United Arab Emirates,Medicine and Surgery,Expired Outdated,3
157695,2022,Male,Bangladesh,Technicians and Health Assistants,Valid,3
157734,2019,Female,United States,Therapy and Rehabilitation,Expired,3
157756,2020,Female,Eritrea,Laboratories and Medical Technology,Expired,3
157801,2021,Male,United States,Medicine and Surgery,Non Active,3
157839,2022,Female,Malaysia,Medicine and Surgery,Valid,3
157887,2022,Male,Belgium,Medicine and Surgery,Valid,3
157944,2020,Female,Lebanon,Laboratories and Medical Technology,Expired,3
158055,2020,Female,Lebanon,Dentistry and Related Specialties,Expired,3
158066,2020,Male,Belarus,Medicine and Surgery,Expired Outdated,3
158071,2022,Male,Immigrant Tribes,Health Administration and Community Health,Valid,3
158120,2019,Female,Lebanon,Medicine and Surgery,Expired,3
158128,2022,Male,Immigrant Tribes,Therapy and Rehabilitation,Expired,3
158195,2020,Male,Belarus,Medicine and Surgery,Expired,3
158267,2022,Female,Iraq,Dentistry and Related Specialties,Expired,3
158302,2021,Male,Somalia,Pharmacists and Pharmacy Technicians,Valid,3
158388,2022,Male,Greece,Dentistry and Related Specialties,Valid,3
158397,2019,Female,New Zealand,Laboratories and Medical Technology,Expired Outdated,3
158505,2019,Female,Morocco,Nursing and Midwifery,Expired Outdated,3
158526,2019,Female,Morocco,Therapy and Rehabilitation,Expired Outdated,3
158567,2019,Female,Morocco,Medicine and Surgery,Expired Outdated,3
158660,2019,Female,Ireland,Laboratories and Medical Technology,Expired Outdated,3
158752,2020,Female,Morocco,Nursing and Midwifery,Expired Outdated,3
158852,2021,Male,Somalia,Dentistry and Related Specialties,Valid,3
158954,2022,Male,India,Health Administration and Community Health,Valid,3
158980,2020,Female,Lebanon,Therapy and Rehabilitation,Expired,3
159089,2020,Female,Malaysia,Laboratories and Medical Technology,Expired Outdated,3
159102,2021,Male,Uzbekistan,Medicine and Surgery,Valid,3
159365,2021,Male,South Africa,Technicians and Health Assistants,Expired,3
159460,2020,Female,Ireland,Medicine and Surgery,Expired,3
159528,2020,Female,Iraq,Dentistry and Related Specialties,Expired,3
159533,2022,Male,Eritrea,Technicians and Health Assistants,Valid,3
159641,2021,Male,United States,Pharmacists and Pharmacy Technicians,Expired Outdated,3
159779,2019,Female,Romania,Nursing and Midwifery,Expired Outdated,3
159831,2022,Female,Italy,Therapy and Rehabilitation,Valid,3
159891,2019,Female,Russia,Medicine and Surgery,Expired Outdated,3
159899,2020,Male,Pakistan,Medicine and Surgery,Non Active,3
159916,2020,Female,India,Technicians and Health Assistants,Expired,3
159938,2019,Female,Pakistan,Laboratories and Medical Technology,Expired,3
160102,2022,Male,Ghana,Laboratories and Medical Technology,Valid,3
160267,2022,Female,Ireland,Medicine and Surgery,Expired,3
160314,2022,Female,Ireland,Laboratories and Medical Technology,Valid,3
160325,2019,Female,Palestine,Technicians and Health Assistants,Expired Outdated,3
160352,2019,Female,Philippines,Laboratories and Medical Technology,Non Active,3
160404,2022,Male,Ethiopia,Pharmacists and Pharmacy Technicians,Valid,3
160538,2022,Male,Finland,Nursing and Midwifery,Expired,3
160542,2022,Male,Finland,Nursing and Midwifery,Valid,3
160555,2019,Female,Palestine,Nursing and Midwifery,Expired Outdated,3
160637,2019,Male,Pakistan,Medicine and Surgery,Non Active,3
160691,2019,Male,Pakistan,Pharmacists and Pharmacy Technicians,Valid,3
160823,2019,Male,Nigeria,Pharmacists and Pharmacy Technicians,Expired Outdated,3
160861,2019,Male,United Kingdom,Therapy and Rehabilitation,Expired Outdated,3
160962,2020,Male,Immigrant Tribes,Technicians and Health Assistants,Valid,3
160963,2020,Male,Immigrant Tribes,Therapy and Rehabilitation,Expired,3
160971,2020,Male,Immigrant Tribes,Therapy and Rehabilitation,Expired Outdated,3
160979,2020,Male,India,Dentistry and Related Specialties,Non Active,3
161148,2019,Male,Pakistan,Therapy and Rehabilitation,Expired,3
161218,2021,Male,Thailand,Medicine and Surgery,Valid,3
161227,2019,Male,Palestine,Therapy and Rehabilitation,Expired,3
161319,2019,Male,Lebanon,Pharmacists and Pharmacy Technicians,Expired Outdated,3
161497,2019,Male,Lebanon,Dentistry and Related Specialties,Expired,3
161524,2019,Male,Venezuela,Medicine and Surgery,Expired Outdated,3
161538,2019,Male,Uzbekistan,Medicine and Surgery,Expired Outdated,3
161599,2021,Male,United Arab Emirates,Medicine and Surgery,Expired,3
161656,2019,Male,United States,Medicine and Surgery,Non Active,3
161689,2019,Male,New Zealand,Medicine and Surgery,Expired,3
161734,2019,Male,Nigeria,Laboratories and Medical Technology,Expired Outdated,3
161793,2019,Male,Malaysia,Therapy and Rehabilitation,Expired,3
161809,2022,Female,Sweden,Medicine and Surgery,Valid,3
161811,2022,Female,Sweden,Nursing and Midwifery,Valid,3
161963,2020,Male,Ghana,Therapy and Rehabilitation,Valid,3
161979,2021,Male,Tunisia,Pharmacists and Pharmacy Technicians,Valid,3
162041,2021,Male,Tunisia,Technicians and Health Assistants,Expired Outdated,3
162044,2021,Male,Tunisia,Technicians and Health Assistants,Expired,3
162054,2021,Male,Tunisia,Therapy and Rehabilitation,Expired,3
162097,2019,Male,South Africa,Technicians and Health Assistants,Expired Outdated,3
162102,2019,Male,South Africa,Technicians and Health Assistants,Expired,3
162219,2020,Male,Immigrant Tribes,Dentistry and Related Specialties,Valid,3
162244,2019,Male,Somalia,Medicine and Surgery,Expired Outdated,3
162271,2021,Male,Tunisia,Medicine and Surgery,Non Active,3
162419,2021,Male,Turkey,Dentistry and Related Specialties,Valid,3
162540,2022,Female,Saudi Arabia,Dentistry and Related Specialties,Non Active,3
162545,2019,Male,Sri Lanka,Medicine and Surgery,Expired Outdated,3
162563,2019,Male,Sri Lanka,Nursing and Midwifery,Expired Outdated,3
162729,2020,Male,Immigrant Tribes,Nursing and Midwifery,Valid,3
162739,2019,Male,Russia,Medicine and Surgery,Expired Outdated,3
162759,2019,Male,Tunisia,Medicine and Surgery,Valid,3
162766,2019,Male,Tunisia,Medicine and Surgery,Non Active,3
162791,2019,Male,Tunisia,Therapy and Rehabilitation,Expired,3
162797,2019,Male,Philippines,Nursing and Midwifery,Not Classified Not Registered,3
162831,2019,Male,Turkey,Dentistry and Related Specialties,Expired Outdated,3
162848,2022,Female,South Africa,Medicine and Surgery,Valid,3
162855,2021,Male,Tunisia,Dentistry and Related Specialties,Expired,3
162873,2019,Male,Poland,Medicine and Surgery,Expired Outdated,3
162916,2022,Female,South Africa,Dentistry and Related Specialties,Valid,3
162940,2020,Male,Immigrant Tribes,Pharmacists and Pharmacy Technicians,Valid,3
162971,2022,Female,Slovakia,Therapy and Rehabilitation,Valid,3
163003,2022,Female,Portugal,Laboratories and Medical Technology,Valid,3
163047,2019,Male,Slovakia,Medicine and Surgery,Expired Outdated,3
163054,2019,Male,Serbia,Nursing and Midwifery,Expired Outdated,3
163163,2022,Female,Somalia,Laboratories and Medical Technology,Expired,3
163172,2022,Female,Poland,Nursing and Midwifery,Expired,3
163276,2022,Female,Somalia,Dentistry and Related Specialties,Expired,3
163292,2022,Female,Thailand,Dentistry and Related Specialties,Valid,3
163565,2022,Female,Morocco,Therapy and Rehabilitation,Valid,3
163579,2022,Female,Yemen,Pharmacists and Pharmacy Technicians,Expired,3
163587,2021,Male,United Kingdom,Nursing and Midwifery,Expired Outdated,3
163650,2022,Female,New Zealand,Medicine and Surgery,Valid,3
163736,2022,Female,United States,Pharmacists and Pharmacy Technicians,Expired,3
163786,2022,Female,Niger,Dentistry and Related Specialties,Valid,3
163837,2019,Male,Eritrea,Dentistry and Related Specialties,Expired Outdated,3
163902,2022,Female,United States,Therapy and Rehabilitation,Expired,3
163943,2022,Female,Venezuela,Dentistry and Related Specialties,Valid,3
164024,2019,Male,Belarus,Medicine and Surgery,Expired,3
164160,2021,Male,United Kingdom,Therapy and Rehabilitation,Expired,3
164225,2019,Male,Bangladesh,Pharmacists and Pharmacy Technicians,Valid,3
164302,2019,Male,Canada,Laboratories and Medical Technology,Expired,3
164328,2019,Male,Czech Republic,Medicine and Surgery,Expired Outdated,3
164345,2019,Male,Czech Republic,Nursing and Midwifery,Expired Outdated,3
164367,2020,Male,Kuwait,Medicine and Surgery,Valid,3
164377,2020,Male,Egypt,Health Administration and Community Health,Expired Outdated,3
164451,2020,Female,Canada,Laboratories and Medical Technology,Expired,3
164464,2020,Male,Kuwait,Dentistry and Related Specialties,Expired Outdated,3
164510,2019,Male,Canada,Pharmacists and Pharmacy Technicians,Expired,3
164537,2019,Male,Canada,Nursing and Midwifery,Expired,3
164551,2020,Female,Canada,Therapy and Rehabilitation,Valid,3
164606,2020,Male,Lebanon,Laboratories and Medical Technology,Expired Outdated,3
164685,2020,Male,Eritrea,Nursing and Midwifery,Expired Outdated,3
164752,2020,Male,Iraq,Medicine and Surgery,Valid,3
164781,2021,Male,Syria,Nursing and Midwifery,Expired Outdated,3
164816,2019,Male,India,Therapy and Rehabilitation,Valid,3
164972,2020,Male,Ireland,Nursing and Midwifery,Expired,3
165047,2019,Male,Jordan,Nursing and Midwifery,Valid,3
165051,2019,Male,Yemen,Nursing and Midwifery,Expired Outdated,3
165060,2022,Female,Thailand,Medicine and Surgery,Valid,3
165125,2019,Male,Kenya,Therapy and Rehabilitation,Expired Outdated,3
165130,2019,Male,Kenya,Laboratories and Medical Technology,Expired Outdated,3
165131,2019,Male,Jordan,Therapy and Rehabilitation,Valid,3
165140,2020,Male,Iraq,Medicine and Surgery,Expired,3
165217,2022,Female,Tunisia,Laboratories and Medical Technology,Expired,3
165261,2019,Male,Jordan,Medicine and Surgery,Valid,3
165285,2019,Male,Yemen,Pharmacists and Pharmacy Technicians,Valid,3
165384,2022,Female,United Kingdom,Laboratories and Medical Technology,Expired,3
165436,2022,Female,United Arab Emirates,Laboratories and Medical Technology,Valid,3
165438,2022,Female,United Arab Emirates,Medicine and Surgery,Expired,3
165448,2020,Female,Azerbaijan,Medicine and Surgery,Expired Outdated,3
165462,2022,Female,United Arab Emirates,Medicine and Surgery,Valid,3
165480,2022,Female,United States,Dentistry and Related Specialties,Expired,3
165555,2019,Male,France,Medicine and Surgery,Expired,3
165648,2020,Female,Australia,Nursing and Midwifery,Valid,3
165742,2022,Female,Turkey,Dentistry and Related Specialties,Valid,3
165768,2020,Female,Algeria,Dentistry and Related Specialties,Expired Outdated,3
165827,2020,Male,Jordan,Health Administration and Community Health,Expired Outdated,3
165831,2019,Male,India,Dentistry and Related Specialties,Non Active,3
165843,2020,Male,Eritrea,Dentistry and Related Specialties,Expired Outdated,3
165871,2019,Male,Immigrant Tribes,Therapy and Rehabilitation,Expired Outdated,3
165876,2022,Female,Niger,Therapy and Rehabilitation,Valid,3
166027,2020,Male,Syria,Laboratories and Medical Technology,Valid,3
166102,2018,Male,Uzbekistan,Medicine and Surgery,Expired Outdated,3
166152,2022,Male,Somalia,Pharmacists and Pharmacy Technicians,Valid,3
166324,2022,Male,South Africa,Therapy and Rehabilitation,Valid,3
166374,2022,Male,South Africa,Technicians and Health Assistants,Valid,3
166430,2018,Male,Venezuela,Medicine and Surgery,Expired Outdated,3
166484,2018,Male,Pakistan,Therapy and Rehabilitation,Expired,3
166541,2020,Male,South Africa,Technicians and Health Assistants,Expired,3
166635,2022,Female,Belgium,Nursing and Midwifery,Valid,3
166647,2022,Female,Djibouti,Dentistry and Related Specialties,Valid,3
166791,2022,Female,Belgium,Medicine and Surgery,Valid,3
166874,2022,Male,Nigeria,Technicians and Health Assistants,Valid,3
