,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Current_Speciality_Name_En,Number_of_Practitioners
259035,2021,Male,Yemen,Medicine and Surgery,Pediatric Intensive Care,1
259039,2022,Female,Tunisia,Medicine and Surgery,Medical Biochemistry,1
259041,2021,Male,Yemen,Medicine and Surgery,Pediatric Cardiology,1
259043,2022,Female,Tunisia,Medicine and Surgery,Medical Genetics,1
259044,2022,Female,Tunisia,Medicine and Surgery,Medical Microbiology,1
259048,2021,Male,Yemen,Technicians and Health Assistants,Medical Sterilization,1
259050,2021,Male,Yemen,Technicians and Health Assistants,Medical Secretary,1
259061,2021,Male,Yemen,Therapy and Rehabilitation,Cardiac Perfusion,1
259065,2021,Male,Yemen,Technicians and Health Assistants,Laboratory ( Microbiology),1
259069,2022,Female,Tunisia,Medicine and Surgery,Embrology,1
259070,2022,Female,Tunisia,Medicine and Surgery,Endocrinology,1
259080,2022,Female,Syria,Laboratories and Medical Technology,Biomedical Technology,1
259082,2021,Male,Venezuela,Medicine and Surgery,General Surgery,1
259083,2022,Female,Cuba,Medicine and Surgery,Anatomic Pathology,1
259091,2022,Female,Sudan,Laboratories and Medical Technology,Patient Care,1
259095,2022,Female,Sudan,Laboratories and Medical Technology,Laboratory - Genetics,1
259102,2022,Female,Colombia,Dentistry and Related Specialties,General Dentistry,1
259106,2022,Female,Sudan,Laboratories and Medical Technology,Public Health,1
259118,2022,Female,Cuba,Medicine and Surgery,Diagnostic Radiology,1
259119,2022,Female,Cuba,Medicine and Surgery,Vascular Surgery,1
259125,2022,Female,Cuba,Medicine and Surgery,Pulmonology,1
259129,2022,Female,Sudan,Dentistry and Related Specialties,Oral Pathology,1
259133,2022,Female,Czech Republic,Medicine and Surgery,Anesthesia,1
259145,2022,Female,Cuba,Medicine and Surgery,General Surgery,1
259158,2022,Female,Sudan,Medicine and Surgery,Community Medicine,1
259161,2022,Female,Chad,Health Administration and Community Health,Health Informatics,1
259163,2022,Female,Sudan,Medicine and Surgery,Cardiac Surgery,1
259168,2022,Female,Sudan,Medicine and Surgery,Audiological Medicine,1
259177,2022,Female,Chad,Dentistry and Related Specialties,Dental,1
259178,2022,Female,Canada,Therapy and Rehabilitation,Speech and Hearing Therapy,1
259183,2022,Female,Sudan,Medicine and Surgery,Echocardiography,1
259188,2022,Female,China,Nursing and Midwifery,Midwifery,1
259189,2022,Female,China,Medicine and Surgery,Diagnostic Radiology,1
259190,2022,Female,Chad,Pharmacists and Pharmacy Technicians,Pharmacy,1
259192,2022,Female,Chad,Therapy and Rehabilitation,Emergency Medical Services,1
259195,2022,Female,Chad,Therapy and Rehabilitation,Psychology,1
259196,2022,Female,China,Medicine and Surgery,Pediatrics,1
259198,2022,Female,China,Nursing and Midwifery,Cardiovascular Nursing,1
259200,2022,Female,China,Nursing and Midwifery,Disaster And Emergency Nursing,1
259215,2022,Female,Chad,Nursing and Midwifery,Midwifery,1
259216,2022,Female,Chad,Medicine and Surgery,Obstetrics And Gynecology,1
259223,2022,Female,Czech Republic,Nursing and Midwifery,Adult Critical Care Nursing,1
259236,2022,Female,Egypt,Laboratories and Medical Technology,Medical Sterilization,1
259237,2022,Female,Spain,Dentistry and Related Specialties,Endodontics,1
259238,2022,Female,Egypt,Laboratories and Medical Technology,Phlebotomy,1
259242,2022,Female,Spain,Dentistry and Related Specialties,Pediatric Dentistry,1
259243,2022,Female,Egypt,Health Administration and Community Health,Public Health,1
259250,2022,Female,Spain,Laboratories and Medical Technology,Laboratory,1
259252,2022,Female,Egypt,Dentistry and Related Specialties,Preventive Dentistry,1
259254,2022,Female,Spain,Medicine and Surgery,Anesthesia,1
259268,2022,Female,Egypt,Medicine and Surgery,Audiology,1
259271,2022,Female,South Korea,Therapy and Rehabilitation,Physiotherapy,1
259273,2022,Female,South Korea,Nursing and Midwifery,Oncology and Palliative Care Nursing,1
259274,2022,Female,South Sudan,Dentistry and Related Specialties,General Dentistry,1
259279,2022,Female,South Sudan,Medicine and Surgery,Ophthalmology,1
259280,2022,Female,South Sudan,Nursing and Midwifery,Nursing,1
259287,2022,Female,Egypt,Laboratories and Medical Technology,Radiotherapy,1
259288,2022,Female,South Sudan,Therapy and Rehabilitation,Anesthesia Technology,1
259293,2022,Female,Sudan,Dentistry and Related Specialties,Oral Medicine,1
259296,2022,Female,Denmark,Nursing and Midwifery,Nursing,1
259298,2022,Female,Djibouti,Dentistry and Related Specialties,Dental,1
259302,2022,Female,Djibouti,Medicine and Surgery,Pediatrics,1
259305,2022,Female,Djibouti,Medicine and Surgery,Diagnostic Radiology,1
259306,2022,Female,Djibouti,Medicine and Surgery,Internal Medicine,1
259308,2022,Female,Sudan,Dentistry and Related Specialties,Advanced General Dentistry,1
259317,2022,Female,Denmark,Laboratories and Medical Technology,Radiotherapy,1
259321,2022,Female,Czech Republic,Therapy and Rehabilitation,Occupational Therapy,1
259331,2022,Female,Spain,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,1
259333,2022,Female,Egypt,Dentistry and Related Specialties,Dental Hygiene,1
259336,2022,Female,Spain,Medicine and Surgery,Vascular Surgery,1
259338,2022,Female,Spain,Medicine and Surgery,Pediatrics,1
259341,2022,Female,Spain,Medicine and Surgery,Medical Microbiology,1
259343,2022,Female,Spain,Medicine and Surgery,General Surgery,1
259346,2022,Female,Spain,Pharmacists and Pharmacy Technicians,Pharmacy,1
259347,2022,Female,Egypt,Dentistry and Related Specialties,Dental Biomaterials,1
259350,2022,Female,Spain,Therapy and Rehabilitation,Clinical Nutrition,1
259353,2022,Female,Sri Lanka,Dentistry and Related Specialties,General Dentistry,1
259358,2022,Female,Sri Lanka,Laboratories and Medical Technology,Laboratory,1
259359,2022,Female,Egypt,Dentistry and Related Specialties,Advanced General Dentistry,1
259360,2022,Female,Djibouti,Therapy and Rehabilitation,Anesthesia Technology,1
259361,2022,Female,Canada,Therapy and Rehabilitation,Physiotherapy,1
259366,2022,Female,Bangladesh,Laboratories and Medical Technology,Cardiovascular Technology,1
259369,2022,Female,Bangladesh,Laboratories and Medical Technology,Laboratory,1
259370,2022,Female,Sudan,Therapy and Rehabilitation,Ophthalmology,1
259373,2022,Female,Bangladesh,Medicine and Surgery,Family Medicine,1
259375,2022,Female,Sudan,Therapy and Rehabilitation,Occupational Therapy,1
259379,2022,Female,Bangladesh,Health Administration and Community Health,Public Health,1
259387,2022,Female,Bangladesh,Health Administration and Community Health,Health Administration,1
259390,2022,Female,Sudan,Therapy and Rehabilitation,Optometry - Contact Lens,1
259393,2022,Female,Bangladesh,Health Administration and Community Health,Health Education,1
259398,2022,Female,Sudan,Technicians and Health Assistants,Patient Care,1
259402,2022,Female,Belarus,Medicine and Surgery,Dermatology,1
259403,2022,Female,Belarus,Medicine and Surgery,General Practice,1
259407,2022,Female,Belgium,Medicine and Surgery,Internal Medicine,1
259413,2022,Female,Sudan,Technicians and Health Assistants,Cardiac Catheterization,1
259414,2022,Female,Benin,Laboratories and Medical Technology,Laboratory,1
259416,2022,Female,Belarus,Medicine and Surgery,Critical Care Medicine,1
259419,2022,Female,Belarus,Dentistry and Related Specialties,General Dentistry,1
259424,2022,Female,Bangladesh,Medicine and Surgery,Neurology,1
259427,2022,Female,Bangladesh,Medicine and Surgery,Internal Medicine,1
259436,2022,Female,Syria,Dentistry and Related Specialties,Oral Medicine,1
259437,2022,Female,Bahrain,Medicine and Surgery,Neonatal Intensive Care,1
259448,2022,Female,Syria,Dentistry and Related Specialties,Dental Hygiene,1
259453,2022,Female,Syria,Dentistry and Related Specialties,Restorative Dentistry,1
259454,2022,Female,Bahrain,Medicine and Surgery,Forensic Medicine,1
259474,2022,Female,Sudan,Therapy and Rehabilitation,Sociology,1
259475,2022,Female,Bahrain,Therapy and Rehabilitation,Speech and Hearing Therapy,1
259477,2022,Female,Sudan,Therapy and Rehabilitation,Psychology - Clinical Psychology,1
259478,2022,Female,Switzerland,Nursing and Midwifery,Nursing,1
259487,2022,Female,Bahrain,Medicine and Surgery,Urology,1
259488,2022,Female,Sweden,Dentistry and Related Specialties,General Dentistry,1
259494,2022,Female,Bahrain,Medicine and Surgery,Palliative Medicine,1
259505,2022,Female,Canada,Laboratories and Medical Technology,Laboratory - Embryology,1
259506,2022,Female,Sudan,Medicine and Surgery,Nuclear Medicine,1
259513,2022,Female,Canada,Medicine and Surgery,Clinical Pathology,1
259514,2022,Female,Canada,Laboratories and Medical Technology,Radiotherapy,1
259518,2022,Female,Canada,Medicine and Surgery,Anatomic Pathology,1
259519,2022,Female,Canada,Medicine and Surgery,Anesthesia,1
259523,2022,Female,Canada,Laboratories and Medical Technology,Chiropractic,1
259529,2022,Female,Canada,Dentistry and Related Specialties,Orthodontics,1
259531,2022,Female,Sudan,Medicine and Surgery,Pediatric Emergency Medicine,1
259532,2022,Female,Canada,Dentistry and Related Specialties,Dental Technology,1
259540,2022,Female,Canada,Medicine and Surgery,Psychiatry,1
259543,2022,Female,Sudan,Medicine and Surgery,Hematological Pathology,1
259546,2022,Female,Sudan,Medicine and Surgery,Gastroenterology,1
259549,2022,Female,Canada,Pharmacists and Pharmacy Technicians,Pharmacology,1
259557,2022,Female,Sudan,Medicine and Surgery,Infection Control Hospitals,1
259558,2022,Female,Sudan,Medicine and Surgery,Leukemia and Bone Marrow Transplantation,1
259560,2022,Female,Canada,Medicine and Surgery,Otorhinolaryngology ( Ent ),1
259563,2022,Female,Canada,Medicine and Surgery,Neurology,1
259564,2022,Female,Canada,Medicine and Surgery,General Surgery,1
259565,2022,Female,Sudan,Medicine and Surgery,Molecular Medicine,1
259569,2022,Female,Canada,Medicine and Surgery,Diagnostic Ultrasound,1
259570,2022,Female,Canada,Medicine and Surgery,Dermatology,1
259577,2022,Female,Sudan,Pharmacists and Pharmacy Technicians,Health Administration,1
259578,2022,Female,Brazil,Medicine and Surgery,Ophthalmology,1
259579,2022,Female,Brazil,Medicine and Surgery,Pediatric Neurology,1
259581,2022,Female,Sudan,Nursing and Midwifery,Psychological And Mental Health Nursing,1
259587,2022,Female,Sudan,Nursing and Midwifery,Emergency Care Nursing,1
259588,2022,Female,Sudan,Nursing and Midwifery,Disaster And Emergency Nursing,1
259591,2022,Female,Brazil,Dentistry and Related Specialties,Pediatric Dentistry,1
259594,2022,Female,Brazil,Dentistry and Related Specialties,General Dentistry,1
259600,2022,Female,Bosnia And Herzegovina,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopdics,1
259604,2022,Female,Sudan,Pharmacists and Pharmacy Technicians,Pharmacology,1
259606,2022,Female,Bosnia And Herzegovina,Dentistry and Related Specialties,General Dentistry,1
259610,2022,Female,Cameroon,Medicine and Surgery,General Practice,1
259615,2022,Female,Burma,Nursing and Midwifery,Nursing,1
259616,2022,Female,Burma,Therapy and Rehabilitation,Social Service,1
259618,2022,Female,Burkina Faso,Laboratories and Medical Technology,Health Informatics,1
259621,2022,Female,Cameroon,Pharmacists and Pharmacy Technicians,Pharmacy,1
259628,2022,Female,Burkina Faso,Technicians and Health Assistants,Operation Rooms,1
259632,2022,Female,Burkina Faso,Technicians and Health Assistants,Medical Secretary,1
259640,2022,Female,Burkina Faso,Medicine and Surgery,General Practice,1
259643,2021,Male,Venezuela,Medicine and Surgery,Dermatology,1
259644,2022,Male,Netherlands,Medicine and Surgery,Diagnostic Radiology,1
259657,2022,Female,Yemen,Medicine and Surgery,Neonatal Intensive Care,1
259662,2021,Male,Syria,Dentistry and Related Specialties,General Practice,1
259667,2021,Male,Syria,Medicine and Surgery,Hematology And Ocology,1
259669,2021,Male,Syria,Medicine and Surgery,Neonatal Intensive Care,1
259677,2022,Female,Yemen,Medicine and Surgery,Nuclear Medicine,1
259681,2021,Male,Syria,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,1
259691,2022,Female,Yemen,Medicine and Surgery,Genetic Counselling,1
259701,2021,Male,Syria,Medicine and Surgery,Sport Medicine,1
259710,2022,Female,Yemen,Medicine and Surgery,Medical Microbiology,1
259715,2021,Male,Syria,Medicine and Surgery,Hematology,1
259720,2022,Female,Yemen,Nursing and Midwifery,Psychological And Mental Health Nursing,1
259723,2021,Male,Syria,Laboratories and Medical Technology,Laboratory - Hematology,1
259726,2021,Male,Syria,Laboratories and Medical Technology,Laboratory - Histopathology,1
259727,2021,Male,Syria,Laboratories and Medical Technology,Laboratory - Microbiology,1
259728,2022,Female,Yemen,Nursing and Midwifery,Pediatric Nursing,1
259730,2021,Male,Syria,Laboratories and Medical Technology,Nuclear Medicine,1
259734,2022,Female,Yemen,Nursing and Midwifery,Wound Care Nursing,1
259735,2021,Male,Syria,Dentistry and Related Specialties,Pediatric Orthodontics,1
259739,2021,Male,Syria,Dentistry and Related Specialties,Oral Pathology,1
259744,2022,Female,Yemen,Technicians and Health Assistants,Emergency Medical Services,1
259746,2022,Female,Yemen,Technicians and Health Assistants,Patient Care,1
259756,2022,Female,Yemen,Medicine and Surgery,Pediatric Neurology,1
259764,2022,Female,Yemen,Medicine and Surgery,Orthopedic Surgery,1
259770,2021,Male,Syria,Medicine and Surgery,Diabites Mellitus,1
259778,2022,Female,Yemen,Medicine and Surgery,Rheumatology,1
259781,2022,Female,Yemen,Medicine and Surgery,Sport Medicine,1
259782,2022,Female,Yemen,Nursing and Midwifery,Medical And Surgical Nursing,1
259783,2022,Female,Yemen,Medicine and Surgery,Endocrinology,1
259785,2021,Male,Syria,Therapy and Rehabilitation,Audiology,1
259791,2021,Male,Tunisia,Medicine and Surgery,Cardiology,1
259794,2021,Male,Tunisia,Medicine and Surgery,Gastroenterology,1
259803,2022,Female,Yemen,Health Administration and Community Health,Epidemiology,1
259804,2022,Female,Yemen,Health Administration and Community Health,Laboratory,1
259805,2021,Male,Tunisia,Medicine and Surgery,Allergy and Immumology,1
259811,2021,Male,Tunisia,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopdics,1
259817,2021,Male,Tunisia,Dentistry and Related Specialties,Orthodontics,1
259818,2021,Male,Tunisia,Medicine and Surgery,Endocrinology,1
259822,2022,Female,Yemen,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,1
259823,2022,Female,Yemen,Dentistry and Related Specialties,Oral And Maxillofacial Radiology,1
259827,2021,Male,Tunisia,Medicine and Surgery,Neuropathology,1
259831,2022,Female,Yemen,Dentistry and Related Specialties,Dental Public Health,1
259833,2022,Female,Yemen,Dentistry and Related Specialties,Dental Implant,1
259848,2022,Female,Yemen,Dentistry and Related Specialties,Oral Biology,1
259849,2021,Male,Tunisia,Medicine and Surgery,Infectious Disease,1
259850,2022,Female,Yemen,Dentistry and Related Specialties,Oral Surgery,1
259852,2021,Male,Tunisia,Medicine and Surgery,Hematological Pathology,1
259855,2021,Male,Syria,Therapy and Rehabilitation,Cardiac Perfusion,1
259861,2021,Male,Tanzania,Laboratories and Medical Technology,Prosthetics & Orthotics,1
259866,2022,Female,Yemen,Laboratories and Medical Technology,Medical Devices,1
259868,2021,Male,Thailand,Medicine and Surgery,Pediatrics,1
259869,2021,Male,Thailand,Nursing and Midwifery,Nursing,1
259872,2021,Male,Taiwan,Medicine and Surgery,General Practice,1
259873,2021,Male,Taiwan,Dentistry and Related Specialties,General Dentistry,1
259874,2021,Male,Syria,Therapy and Rehabilitation,Sociology,1
259877,2021,Male,Syria,Therapy and Rehabilitation,Psychology - Counseling Psychology,1
259883,2022,Female,Yemen,Medicine and Surgery,Cardiac Surgery,1
259885,2021,Male,Syria,Therapy and Rehabilitation,Occupational Therapy,1
259887,2021,Male,Syria,Therapy and Rehabilitation,Clinical Nutrition,1
259888,2022,Female,Yemen,Laboratories and Medical Technology,Laboratory - Molecular Genetics,1
259897,2022,Female,Yemen,Laboratories and Medical Technology,Laboratory ( Microbiology),1
259909,2021,Male,Tunisia,Dentistry and Related Specialties,Conservative Dentistry,1
259915,2022,Female,Yemen,Laboratories and Medical Technology,Laboratory - Histopathology,1
259919,2021,Male,Thailand,Therapy and Rehabilitation,Physiotherapy,1
259920,2021,Male,Thailand,Therapy and Rehabilitation,Anesthesia Technology,1
259927,2021,Male,Sudan,Medicine and Surgery,Pediatric Intensive Care,1
259928,2021,Male,Sudan,Medicine and Surgery,Pediatric Oncology,1
259935,2021,Male,Sudan,Medicine and Surgery,Physiology,1
259943,2022,Female,Yemen,Therapy and Rehabilitation,Audiology,1
259945,2021,Male,Sudan,Medicine and Surgery,Immunology,1
259949,2022,Male,Algeria,Medicine and Surgery,Cardiac Surgery,1
259953,2021,Male,Sudan,Medicine and Surgery,Mallaria,1
259954,2021,Male,Sudan,Medicine and Surgery,Medical Microbiology,1
259956,2021,Male,Sudan,Medicine and Surgery,Medical Resources Admin,1
259960,2022,Male,Algeria,Dentistry and Related Specialties,Restorative Dentistry,1
259966,2022,Male,Algeria,Dentistry and Related Specialties,Oral Surgery,1
259980,2021,Male,Sudan,Medicine and Surgery,Rheumatology,1
259984,2022,Male,Algeria,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopdics,1
259994,2021,Male,Sudan,Medicine and Surgery,Hepatology,1
259997,2021,Male,Sudan,Medicine and Surgery,Acupuncture,1
260007,2022,Male,Algeria,Medicine and Surgery,Gastroenterology,1
260008,2022,Male,Algeria,Medicine and Surgery,Forensic Medicine,1
260018,2021,Male,Sudan,Laboratories and Medical Technology,Radiological Technology - Magnetic Resonance Technology,1
260026,2021,Male,Sudan,Laboratories and Medical Technology,Microbiology - Virology,1
260029,2022,Male,Algeria,Medicine and Surgery,Family Medicine,1
260034,2021,Male,Sudan,Medicine and Surgery,Forensic Medicine,1
260036,2022,Male,Algeria,Medicine and Surgery,Critical Care Medicine,1
260040,2022,Male,Algeria,Medicine and Surgery,Endocrinology,1
260045,2021,Male,Sudan,Medicine and Surgery,Hematological Pathology,1
260060,2021,Male,Sudan,Medicine and Surgery,Cardiac Surgery,1
260061,2021,Male,Sudan,Medicine and Surgery,Audiological Medicine,1
260068,2021,Male,Sweden,Medicine and Surgery,Cardiovascular Medicine,1
260073,2021,Male,Sweden,Medicine and Surgery,Neurology,1
260075,2022,Female,Yemen,Therapy and Rehabilitation,Psychology - Counseling Psychology,1
260076,2021,Male,Sweden,Medicine and Surgery,Neurosurgery,1
260077,2021,Male,Sweden,Medicine and Surgery,Ophthalmology,1
260078,2021,Male,Sweden,Medicine and Surgery,Orthopedic Surgery,1
260083,2021,Male,Sweden,Medicine and Surgery,Cardiac Surgery,1
260089,2021,Male,Sweden,Dentistry and Related Specialties,Periodontics,1
260100,2021,Male,Sweden,Medicine and Surgery,Pediatrics,1
260101,2022,Female,Zimbabwe,Laboratories and Medical Technology,Radiological Technology,1
260111,2021,Male,Syria,Dentistry and Related Specialties,Dental Public Health,1
260115,2021,Male,Syria,Dentistry and Related Specialties,Family Dentistry,1
260118,2022,Female,Yemen,Therapy and Rehabilitation,Occupational Therapy,1
260119,2021,Male,Sweden,Nursing and Midwifery,Nursing,1
260123,2021,Male,Sweden,Medicine and Surgery,Psychiatry,1
260125,2022,Female,Yemen,Therapy and Rehabilitation,Physiotherapy - Cardiovascular,1
260126,2022,Female,Yemen,Therapy and Rehabilitation,Physiotherapy - Sport Medicine,1
260132,2022,Female,Yemen,Therapy and Rehabilitation,Psychology - Clinical Psychology,1
260134,2022,Female,Zambia,Laboratories and Medical Technology,Radiological Technology,1
260143,2021,Male,Sudan,Technicians and Health Assistants,Ophthalmology,1
260150,2021,Male,Sudan,Technicians and Health Assistants,Plastering,1
260151,2021,Male,Sudan,Therapy and Rehabilitation,Clinical Nutrition,1
260152,2021,Male,Sudan,Technicians and Health Assistants,Medical Sterilization,1
260153,2021,Male,Sudan,Technicians and Health Assistants,Laboratory ( Microbiology),1
260157,2022,Male,Afghanistan,Medicine and Surgery,Orthopedic Surgery,1
260159,2021,Male,Sudan,Nursing and Midwifery,Unknown,1
260163,2022,Male,Albania,Medicine and Surgery,Family Medicine,1
260164,2022,Male,Albania,Medicine and Surgery,Neurology,1
260166,2022,Male,Albania,Nursing and Midwifery,Nursing,1
260168,2021,Male,Sudan,Nursing and Midwifery,Emergency Care Nursing,1
260171,2021,Male,Sudan,Therapy and Rehabilitation,Sociology - Family Therapy,1
260172,2022,Male,Afghanistan,Health Administration and Community Health,Public Health - Environment Health,1
260177,2021,Male,Sudan,Therapy and Rehabilitation,Psychology - Clinical Psychology,1
260181,2021,Male,Sudan,Therapy and Rehabilitation,Respiratory Therapy,1
260195,2022,Male,Afghanistan,Medicine and Surgery,Infectious Disease,1
260199,2022,Male,Afghanistan,Medicine and Surgery,Obstetrics And Gynecology,1
260201,2021,Male,Sudan,Therapy and Rehabilitation,Emergency Medical Services,1
260208,2021,Male,United States,Laboratories and Medical Technology,Laboratory - Molecular Genetics,1
260209,2021,Male,United States,Laboratories and Medical Technology,Medical Physics,1
260213,2021,Male,United States,Laboratories and Medical Technology,Prosthetics & Orthotics,1
260220,2022,Female,United Kingdom,Medicine and Surgery,Endocrinology,1
260224,2022,Female,United Kingdom,Medicine and Surgery,Pulmonology,1
260229,2021,Male,United States,Laboratories and Medical Technology,Echocardiography Technology,1
260235,2021,Male,United States,Laboratories and Medical Technology,Laboratory - Clinical Biochemistry,1
260249,2022,Female,United Kingdom,Medicine and Surgery,Anesthesia,1
260268,2022,Female,United Kingdom,Medicine and Surgery,Diagnostic Radiology,1
260269,2021,Male,United States,Medicine and Surgery,Endocrinology,1
260272,2021,Male,United States,Medicine and Surgery,Dermatology,1
260277,2021,Male,United States,Laboratories and Medical Technology,Cardiovascular Technology,1
260278,2022,Female,United Kingdom,Medicine and Surgery,Pediatric Hematology and Oncology,1
260279,2021,Male,United Kingdom,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,1
260283,2021,Male,United Kingdom,Technicians and Health Assistants,Emergency Medical Services,1
260284,2021,Male,United Kingdom,Therapy and Rehabilitation,Emergency Medical Services,1
260289,2022,Female,United Kingdom,Medicine and Surgery,Ophthalmology,1
260294,2022,Female,United Kingdom,Medicine and Surgery,Pediatric Surgery,1
260300,2021,Male,United Kingdom,Medicine and Surgery,Thoracic And Cardiac Surgery,1
260303,2021,Male,United Kingdom,Medicine and Surgery,Radiation Oncology,1
260307,2021,Male,United Kingdom,Medicine and Surgery,Physical Medicine And Rehabilitation,1
260316,2021,Male,United States,Dentistry and Related Specialties,Endodontics,1
260318,2022,Female,United Kingdom,Medicine and Surgery,Infertility Medicine,1
260327,2021,Male,United States,Health Administration and Community Health,Public Health,1
260330,2022,Female,United Kingdom,Medicine and Surgery,Medical Microbiology,1
260333,2022,Female,United Kingdom,Medicine and Surgery,Neurology,1
260337,2022,Female,United Kingdom,Medicine and Surgery,Neurosurgery,1
260341,2022,Female,United Kingdom,Medicine and Surgery,Nuclear Medicine,1
260342,2021,Male,United Kingdom,Therapy and Rehabilitation,Physiotherapy - Musculoskeletal,1
260346,2022,Female,United Kingdom,Laboratories and Medical Technology,Microbiology - Molecular Microbiology,1
260350,2022,Female,Turkmenistan,Medicine and Surgery,Pediatrics,1
260352,2022,Female,Turkmenistan,Medicine and Surgery,Internal Medicine,1
260355,2021,Male,United States,Therapy and Rehabilitation,Psychology,1
260357,2022,Female,Turkey,Nursing and Midwifery,Nursing,1
260360,2022,Female,Turkey,Medicine and Surgery,Psychiatry,1
260361,2021,Male,Unknown,Therapy and Rehabilitation,Emergency Medical Services,1
260364,2021,Male,United States,Therapy and Rehabilitation,Occupational Therapy,1
260367,2022,Female,Turkmenistan,Technicians and Health Assistants,Laboratory ( Microbiology),1
260369,2021,Male,United States,Nursing and Midwifery,Anesthesia Nursing,1
260370,2021,Male,United States,Medicine and Surgery,Vascular Surgery,1
260372,2021,Male,United States,Medicine and Surgery,Urology,1
260374,2021,Male,United States,Medicine and Surgery,Unknown,1
260375,2022,Female,Ukraine,Medicine and Surgery,General Practice,1
260378,2021,Male,United States,Medicine and Surgery,Public Health,1
260382,2022,Female,Ukraine,Medicine and Surgery,Internal Medicine,1
260384,2021,Male,Venezuela,Dentistry and Related Specialties,Orthodontics,1
260386,2021,Male,Venezuela,Dentistry and Related Specialties,Prosthodontics,1
260391,2022,Female,Turkey,Medicine and Surgery,Pediatrics,1
260396,2021,Male,Venezuela,Medicine and Surgery,Cardiac Surgery,1
260405,2022,Female,Turkey,Medicine and Surgery,Dermatology,1
260410,2021,Male,Venezuela,Dentistry and Related Specialties,Endodontics,1
260421,2021,Male,United States,Medicine and Surgery,Medical Microbiology,1
260424,2022,Female,United Kingdom,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,1
260426,2022,Female,United Kingdom,Dentistry and Related Specialties,Dental Surgery,1
260428,2021,Male,United States,Medicine and Surgery,Medical Oncology,1
260430,2022,Female,United Kingdom,Dentistry and Related Specialties,Dental Technology,1
260431,2021,Male,United States,Medicine and Surgery,Oncology,1
260436,2022,Female,United Kingdom,Dentistry and Related Specialties,Pediatric Dentistry,1
260437,2021,Male,United States,Medicine and Surgery,Medical Genetics,1
260441,2022,Female,United Kingdom,Health Administration and Community Health,Health Administration,1
260443,2022,Female,United Kingdom,Laboratories and Medical Technology,Echocardiography Technology,1
260444,2021,Male,United States,Medicine and Surgery,Internal Medicine/Pediatrics,1
260452,2021,Male,United States,Medicine and Surgery,Preventive Medicine And Public Health,1
260454,2021,Male,United States,Medicine and Surgery,Physical Medicine And Rehabilitation,1
260455,2022,Female,United Arab Emirates,Laboratories and Medical Technology,Laboratory - Clinical Biochemistry,1
260456,2022,Female,United Arab Emirates,Laboratories and Medical Technology,Laboratory,1
260457,2022,Female,Ukraine,Therapy and Rehabilitation,Physiotherapy,1
260458,2022,Female,Ukraine,Pharmacists and Pharmacy Technicians,Pharmacy,1
260460,2022,Female,Ukraine,Medicine and Surgery,Otorhinolaryngology ( Ent ),1
260471,2022,Female,United Arab Emirates,Laboratories and Medical Technology,Laboratory - Genetics,1
260473,2021,Male,United States,Medicine and Surgery,Pediatric Surgery,1
260476,2021,Male,United States,Medicine and Surgery,Palliative Medicine,1
260481,2022,Female,United Kingdom,Dentistry and Related Specialties,Dental Hygiene,1
260484,2021,Male,United States,Medicine and Surgery,Ophthalmology,1
260489,2021,Male,Turkey,Medicine and Surgery,Nuclear Medicine,1
260493,2022,Female,United States,Therapy and Rehabilitation,Food And Nutrition Services,1
260502,2022,Female,United States,Therapy and Rehabilitation,Clinical Nutrition,1
260504,2021,Male,Turkey,Medicine and Surgery,Nephrology,1
260507,2021,Male,Turkey,Medicine and Surgery,General Practice,1
260508,2021,Male,Turkey,Medicine and Surgery,Infectious Disease,1
260511,2021,Male,Turkey,Medicine and Surgery,Internal Medicine,1
260523,2021,Male,Turkey,Medicine and Surgery,Plastic Surgery,1
260528,2021,Male,Ukraine,Medicine and Surgery,Ophthalmology,1
260529,2022,Female,United States,Medicine and Surgery,Public Health,1
260532,2021,Male,Turkey,Medicine and Surgery,Thoracic And Cardiac Surgery,1
260534,2021,Male,United Arab Emirates,Medicine and Surgery,Cardiovascular Medicine,1
260538,2021,Male,United Arab Emirates,Medicine and Surgery,Diagnostic Radiology,1
260543,2021,Male,Ukraine,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopdics,1
260547,2021,Male,Uganda,Therapy and Rehabilitation,Occupational Therapy,1
260551,2022,Female,United States,Technicians and Health Assistants,Laboratory-Biochemistry,1
260556,2021,Male,Turkey,Medicine and Surgery,Family Medicine,1
260557,2022,Female,United States,Therapy and Rehabilitation,Psychology - Clinical Psychology,1
260560,2021,Male,Tunisia,Medicine and Surgery,Plastic Surgery,1
260562,2021,Male,Tunisia,Medicine and Surgery,Preventive Medicine And Public Health,1
260565,2022,Female,Venezuela,Medicine and Surgery,Otorhinolaryngology ( Ent ),1
260567,2021,Male,Tunisia,Medicine and Surgery,Radiation Oncology,1
260568,2022,Female,Venezuela,Medicine and Surgery,Obstetrics And Gynecology,1
