,Active_Years,City_Name_En,Longitude,Latitude,Gender_Name_En,Nationality_En,Medical_Field_En,Number_of_Practitioners
191932,2016,Jubail,49.568742,26.959771,Male,India,Dentistry and Related Specialties,4
191937,2016,Jubail,49.568742,26.959771,Male,Jordan,Dentistry and Related Specialties,4
191945,2016,Jubail,49.568742,26.959771,Male,Philippines,Technicians and Health Assistants,4
191951,2022,Jeddah,39.192505,21.485811,Male,Immigrant Tribes,Medicine and Surgery,4
191963,2016,Riyadh,46.675296,24.713552,Female,Algeria,Dentistry and Related Specialties,4
191966,2016,Riyadh,46.675296,24.713552,Female,Algeria,Medicine and Surgery,4
191973,2016,Riyadh,46.675296,24.713552,Female,Bahrain,Medicine and Surgery,4
191979,2016,Rejal Almai,43.074371,17.407113,Male,Pakistan,Medicine and Surgery,4
192009,2016,Riyadh,46.675296,24.713552,Female,Germany,Nursing and Midwifery,4
192016,2016,Riyadh,46.675296,24.713552,Female,Greece,Medicine and Surgery,4
192022,2016,Riyadh,46.675296,24.713552,Female,Iraq,Dentistry and Related Specialties,4
192035,2022,Jubail,49.568742,26.959771,Female,Jordan,Medicine and Surgery,4
192048,2016,Riyadh,46.675296,24.713552,Female,Eritrea,Dentistry and Related Specialties,4
192073,2016,Rafha,43.51927,29.627284,Male,Sudan,Medicine and Surgery,4
192079,2016,Rabigh,39.018962,22.79067,Male,Egypt,Medicine and Surgery,4
192094,2022,Jeddah,39.192505,21.485811,Male,Yemen,Health Administration and Community Health,4
192108,2016,Ras Tanura,49.998236,26.773008,Male,India,Nursing and Midwifery,4
192123,2016,Ras Tanura,49.998236,26.773008,Female,Saudi Arabia,Medicine and Surgery,4
192136,2016,Ras Tanura,49.998236,26.773008,Female,Philippines,Dentistry and Related Specialties,4
192139,2016,Ras Tanura,49.998236,26.773008,Female,Egypt,Dentistry and Related Specialties,4
192144,2016,Ras Tanura,49.998236,26.773008,Female,India,Nursing and Midwifery,4
192150,2022,Jubail,49.568742,26.959771,Female,South Africa,Nursing and Midwifery,4
192167,2016,Riyadh,46.675296,24.713552,Male,France,Dentistry and Related Specialties,4
192169,2022,Jubail,49.568742,26.959771,Female,Sudan,Nursing and Midwifery,4
192171,2016,Riyadh,46.675296,24.713552,Male,Eritrea,Medicine and Surgery,4
192177,2016,Riyadh,46.675296,24.713552,Male,Brazil,Medicine and Surgery,4
192182,2016,Riyadh,46.675296,24.713552,Male,Canada,Dentistry and Related Specialties,4
192188,2016,Riyadh,46.675296,24.713552,Male,China,Unknown,4
192191,2016,Riyadh,46.675296,24.713552,Male,Czech Republic,Technicians and Health Assistants,4
192198,2022,Dhahran,50.039302,26.236125,Male,Canada,Medicine and Surgery,4
192212,2016,Riyadh,46.675296,24.713552,Male,Kenya,Therapy and Rehabilitation,4
192242,2022,Dhahran,50.039302,26.236125,Male,Canada,Therapy and Rehabilitation,4
192254,2022,Dhahran,50.039302,26.236125,Male,Pakistan,Pharmacists and Pharmacy Technicians,4
192263,2022,Jubail,49.568742,26.959771,Female,Philippines,Medicine and Surgery,4
192271,2016,Riyadh,46.675296,24.713552,Female,Kuwait,Medicine and Surgery,4
192289,2016,Riyadh,46.675296,24.713552,Female,Malaysia,Therapy and Rehabilitation,4
192293,2022,Dhahran,50.039302,26.236125,Male,Lebanon,Pharmacists and Pharmacy Technicians,4
192320,2016,Riyadh,46.675296,24.713552,Female,Somalia,Medicine and Surgery,4
192326,2016,Riyadh,46.675296,24.713552,Female,Sudan,Health Administration and Community Health,4
192329,2016,Riyadh,46.675296,24.713552,Female,Sweden,Nursing and Midwifery,4
192334,2016,Riyadh,46.675296,24.713552,Female,Syria,Technicians and Health Assistants,4
192335,2016,Riyadh,46.675296,24.713552,Female,Tunisia,Dentistry and Related Specialties,4
192337,2016,Riyadh,46.675296,24.713552,Female,Tunisia,Medicine and Surgery,4
192373,2016,Nairiyah,48.485517,27.470368,Female,Egypt,Medicine and Surgery,4
192391,2016,Najran,44.228944,17.565604,Female,Syria,Medicine and Surgery,4
192402,2016,Najran,44.228944,17.565604,Male,Nigeria,Medicine and Surgery,4
192403,2016,Najran,44.228944,17.565604,Male,India,Therapy and Rehabilitation,4
192446,2016,Makkah,39.857912,21.389082,Male,Yemen,Dentistry and Related Specialties,4
192473,2016,Makkah,39.857912,21.389082,Male,Sudan,Dentistry and Related Specialties,4
192487,2016,Mjrdah,41.720824,19.074415,Female,Sudan,Medicine and Surgery,4
192501,2016,Mohayil,42.05344,18.547395,Male,Saudi Arabia,Laboratories and Medical Technology,4
192502,2016,Mohayil,42.05344,18.547395,Male,Saudi Arabia,Technicians and Health Assistants,4
192521,2016,Mjrdah,41.720824,19.074415,Male,Pakistan,Medicine and Surgery,4
192527,2022,Duma Aljandal,39.888766,29.810789,Female,Sudan,Medicine and Surgery,4
192532,2016,Mohayil,42.05344,18.547395,Female,Philippines,Laboratories and Medical Technology,4
192557,2016,Qunfudah,41.078739,19.12814,Female,Egypt,Dentistry and Related Specialties,4
192562,2016,Qassim,43.483738,26.207826,Male,Nigeria,Medicine and Surgery,4
192571,2016,Qassim,43.483738,26.207826,Male,Jordan,Therapy and Rehabilitation,4
192572,2016,Qassim,43.483738,26.207826,Male,Pakistan,Laboratories and Medical Technology,4
192589,2016,Qunfudah,41.078739,19.12814,Male,Egypt,Pharmacists and Pharmacy Technicians,4
192591,2016,Qunfudah,41.078739,19.12814,Male,India,Medicine and Surgery,4
192628,2022,Dhurma,46.151786,24.612437,Male,Saudi Arabia,Nursing and Midwifery,4
192630,2016,Qunfudah,41.078739,19.12814,Female,Sudan,Laboratories and Medical Technology,4
192640,2022,Jeddah,39.192505,21.485811,Male,United Kingdom,Dentistry and Related Specialties,4
192659,2016,Najran,44.228944,17.565604,Male,Saudi Arabia,Dentistry and Related Specialties,4
192664,2016,Najran,44.228944,17.565604,Male,Syria,Nursing and Midwifery,4
192671,2022,Jeddah,39.192505,21.485811,Male,Tunisia,Therapy and Rehabilitation,4
192683,2016,Qassim,43.483738,26.207826,Female,Philippines,Pharmacists and Pharmacy Technicians,4
192702,2016,Qassim,43.483738,26.207826,Male,Egypt,Nursing and Midwifery,4
192729,2016,Jeddah,39.192505,21.485811,Female,Somalia,Dentistry and Related Specialties,4
192730,2016,Arar,41.059564,30.959945,Male,India,Dentistry and Related Specialties,4
192732,2022,Jazan,42.570567,16.889359,Female,Syria,Dentistry and Related Specialties,4
192758,2016,Arar,41.059564,30.959945,Male,Saudi Arabia,Medicine and Surgery,4
192760,2016,Arar,41.059564,30.959945,Male,Sudan,Laboratories and Medical Technology,4
192762,2016,Arar,41.059564,30.959945,Male,Syria,Dentistry and Related Specialties,4
192825,2022,Jazan,42.570567,16.889359,Female,Syria,Pharmacists and Pharmacy Technicians,4
192837,2016,Alwajjh,36.468896,26.236606,Female,Philippines,Nursing and Midwifery,4
192850,2016,Alula,37.929482,26.603139,Male,Egypt,Medicine and Surgery,4
192876,2016,Arar,41.059564,30.959945,Female,Syria,Medicine and Surgery,4
192917,2022,Jazan,42.570567,16.889359,Female,Yemen,Pharmacists and Pharmacy Technicians,4
192919,2016,Arar,41.059564,30.959945,Female,Indonesia,Nursing and Midwifery,4
192934,2016,Buraidah,43.981812,26.359231,Female,Philippines,Pharmacists and Pharmacy Technicians,4
192940,2016,Buraidah,43.981812,26.359231,Female,Sudan,Laboratories and Medical Technology,4
192945,2016,Buraidah,43.981812,26.359231,Male,Egypt,Technicians and Health Assistants,4
192965,2016,Buraidah,43.981812,26.359231,Female,Egypt,Dentistry and Related Specialties,4
192972,2016,Buraidah,43.981812,26.359231,Male,India,Laboratories and Medical Technology,4
192973,2016,Dammam,50.088794,26.420683,Female,Canada,Nursing and Midwifery,4
192984,2022,Hureimulaa,46.10403,25.115798,Male,Saudi Arabia,Nursing and Midwifery,4
193009,2022,Hureimulaa,46.10403,25.115798,Male,Saudi Arabia,Technicians and Health Assistants,4
193031,2016,Bisha,42.590167,19.976352,Male,India,Dentistry and Related Specialties,4
193040,2022,Jazan,42.570567,16.889359,Female,Indonesia,Nursing and Midwifery,4
193044,2016,Bisha,42.590167,19.976352,Female,Pakistan,Medicine and Surgery,4
193053,2016,Bisha,42.590167,19.976352,Female,Egypt,Nursing and Midwifery,4
193068,2016,Bisha,42.590167,19.976352,Male,Pakistan,Pharmacists and Pharmacy Technicians,4
193089,2022,Jazan,42.570567,16.889359,Female,Egypt,Laboratories and Medical Technology,4
193100,2016,Bisha,42.590167,19.976352,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,4
193103,2016,Bisha,42.590167,19.976352,Male,Saudi Arabia,Technicians and Health Assistants,4
193110,2016,Buqayq,49.670721,25.916815,Female,Egypt,Medicine and Surgery,4
193129,2016,Alkharj  ,47.324788,24.157604,Female,Pakistan,Medicine and Surgery,4
193135,2022,Jeddah,39.192505,21.485811,Female,Ethiopia,Medicine and Surgery,4
193141,2016,Alhariq,46.511449,23.624544,Female,India,Nursing and Midwifery,4
193165,2016,Alkharj  ,47.324788,24.157604,Female,Sudan,Nursing and Midwifery,4
193167,2016,Almahd,40.855495,23.500739,Male,Pakistan,Medicine and Surgery,4
193169,2016,Alkharj  ,47.324788,24.157604,Male,Saudi Arabia,Technicians and Health Assistants,4
193192,2016,Alkharj  ,47.324788,24.157604,Male,Egypt,Dentistry and Related Specialties,4
193202,2022,Jeddah,39.192505,21.485811,Female,Djibouti,Nursing and Midwifery,4
193203,2016,Alkharj  ,47.324788,24.157604,Male,India,Medicine and Surgery,4
193209,2016,Alkharj  ,47.324788,24.157604,Male,Philippines,Laboratories and Medical Technology,4
193230,2016,Albakeereya,43.656722,26.161624,Male,Egypt,Medicine and Surgery,4
193238,2016,Albahah,41.471273,20.021741,Male,Tunisia,Medicine and Surgery,4
193247,2016,Albahah,41.471273,20.021741,Male,Philippines,Laboratories and Medical Technology,4
193255,2022,Jeddah,39.192505,21.485811,Female,Lebanon,Therapy and Rehabilitation,4
193257,2016,Albahah,41.471273,20.021741,Male,Sudan,Nursing and Midwifery,4
193259,2016,Albahah,41.471273,20.021741,Male,Syria,Dentistry and Related Specialties,4
193317,2016,Alquriyat,37.361353,31.329635,Male,Bangladesh,Medicine and Surgery,4
193325,2016,Alquriyat,37.361353,31.329635,Male,India,Dentistry and Related Specialties,4
193332,2016,Alquriyat,37.361353,31.329635,Male,Jordan,Laboratories and Medical Technology,4
193334,2022,Jazan,42.570567,16.889359,Male,Yemen,Nursing and Midwifery,4
193338,2016,Alqatif  ,49.998236,26.576492,Male,Saudi Arabia,Nursing and Midwifery,4
193340,2016,Alqatif  ,49.998236,26.576492,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,4
193345,2016,Alqatif  ,49.998236,26.576492,Male,Sudan,Pharmacists and Pharmacy Technicians,4
193349,2016,Alqatif  ,49.998236,26.576492,Male,Syria,Medicine and Surgery,4
193357,2016,Alquriyat,37.361353,31.329635,Female,Saudi Arabia,Health Administration and Community Health,4
193361,2016,Alrass,43.522231,25.851747,Male,Saudi Arabia,Laboratories and Medical Technology,4
193422,2016,Almethnb,44.224211,25.856898,Male,Saudi Arabia,Therapy and Rehabilitation,4
193427,2016,Alqatif  ,49.998236,26.576492,Female,Egypt,Dentistry and Related Specialties,4
193432,2016,Alqatif  ,49.998236,26.576492,Female,India,Laboratories and Medical Technology,4
193440,2016,Almajma,45.373069,25.875887,Male,Egypt,Medicine and Surgery,4
193459,2016,Alqatif  ,49.998236,26.576492,Male,India,Medicine and Surgery,4
193485,2016,Alqatif  ,49.998236,26.576492,Female,Pakistan,Medicine and Surgery,4
193504,2016,Jeddah,39.192505,21.485811,Female,Slovakia,Nursing and Midwifery,4
193508,2016,Haql,34.94515,29.286387,Female,Egypt,Nursing and Midwifery,4
193511,2022,Hail,41.720824,27.51141,Male,Yemen,Dentistry and Related Specialties,4
193526,2022,Hail,41.720824,27.51141,Male,United Kingdom,Medicine and Surgery,4
193530,2016,Hail,41.720824,27.51141,Male,Lebanon,Dentistry and Related Specialties,4
193542,2016,Hail,41.720824,27.51141,Male,Pakistan,Dentistry and Related Specialties,4
193549,2016,Hail,41.720824,27.51141,Male,Philippines,Therapy and Rehabilitation,4
193554,2016,Jazan,42.570567,16.889359,Female,Egypt,Technicians and Health Assistants,4
193575,2016,Hureimulaa,46.10403,25.115798,Female,Philippines,Nursing and Midwifery,4
193580,2016,Hofuf,49.588765,25.380026,Female,Saudi Arabia,Nursing and Midwifery,4
193622,2016,Hafr Albatin,45.962711,28.378415,Male,Saudi Arabia,Dentistry and Related Specialties,4
193629,2022,Jeddah,39.192505,21.485811,Male,Canada,Laboratories and Medical Technology,4
193630,2016,Hafr Albatin,45.962711,28.378415,Female,Nigeria,Medicine and Surgery,4
193645,2016,Hafr Albatin,45.962711,28.378415,Female,Sudan,Laboratories and Medical Technology,4
193692,2016,Hail,41.720824,27.51141,Female,Indonesia,Nursing and Midwifery,4
193696,2016,Jazan,42.570567,16.889359,Female,Indonesia,Nursing and Midwifery,4
193710,2016,Jeddah,39.192505,21.485811,Female,Canada,Laboratories and Medical Technology,4
193715,2022,Hail,41.720824,27.51141,Male,Bangladesh,Medicine and Surgery,4
193731,2016,Jazan,42.570567,16.889359,Male,Syria,Nursing and Midwifery,4
193737,2016,Jazan,42.570567,16.889359,Male,Yemen,Medicine and Surgery,4
193748,2016,Jeddah,39.192505,21.485811,Female,Palestine,Technicians and Health Assistants,4
193779,2016,Jeddah,39.192505,21.485811,Female,France,Medicine and Surgery,4
193792,2022,Hail,41.720824,27.51141,Female,Tunisia,Technicians and Health Assistants,4
193795,2016,Jazan,42.570567,16.889359,Female,Jordan,Laboratories and Medical Technology,4
193796,2022,Jeddah,39.192505,21.485811,Male,Cuba,Medicine and Surgery,4
193797,2016,Jazan,42.570567,16.889359,Female,Philippines,Pharmacists and Pharmacy Technicians,4
193800,2016,Jazan,42.570567,16.889359,Female,Sudan,Dentistry and Related Specialties,4
193803,2016,Jazan,42.570567,16.889359,Female,Sudan,Pharmacists and Pharmacy Technicians,4
193806,2016,Jazan,42.570567,16.889359,Female,Syria,Medicine and Surgery,4
193815,2016,Jazan,42.570567,16.889359,Female,Yemen,Therapy and Rehabilitation,4
193817,2022,Hail,41.720824,27.51141,Male,Nigeria,Medicine and Surgery,4
193849,2016,Jazan,42.570567,16.889359,Male,Jordan,Medicine and Surgery,4
193857,2016,Jazan,42.570567,16.889359,Male,Palestine,Medicine and Surgery,4
193859,2016,Jazan,42.570567,16.889359,Male,Philippines,Dentistry and Related Specialties,4
193860,2016,Jazan,42.570567,16.889359,Male,Philippines,Laboratories and Medical Technology,4
193861,2022,Hail,41.720824,27.51141,Male,India,Therapy and Rehabilitation,4
193868,2022,Hail,41.720824,27.51141,Male,Lebanon,Dentistry and Related Specialties,4
193881,2016,Jazan,42.570567,16.889359,Male,Egypt,Therapy and Rehabilitation,4
193889,2016,Jazan,42.570567,16.889359,Male,India,Nursing and Midwifery,4
193896,2016,Dammam,50.088794,26.420683,Male,Sudan,Pharmacists and Pharmacy Technicians,4
193927,2016,Dammam,50.088794,26.420683,Male,Philippines,Medicine and Surgery,4
193931,2016,Dammam,50.088794,26.420683,Male,Portugal,Medicine and Surgery,4
193936,2016,Dammam,50.088794,26.420683,Male,Sudan,Dentistry and Related Specialties,4
193937,2016,Dammam,50.088794,26.420683,Male,Sudan,Health Administration and Community Health,4
193939,2016,Dariyah,42.931966,24.721915,Female,Philippines,Nursing and Midwifery,4
193950,2022,Jeddah,39.192505,21.485811,Female,United States,Pharmacists and Pharmacy Technicians,4
193982,2022,Hofuf,49.588765,25.380026,Male,Saudi Arabia,Health Administration and Community Health,4
193991,2016,Dammam,50.088794,26.420683,Female,United Kingdom,Nursing and Midwifery,4
194007,2022,Hotah Bani Tamim,46.844661,23.525188,Male,Syria,Medicine and Surgery,4
194008,2016,Dammam,50.088794,26.420683,Male,Bangladesh,Medicine and Surgery,4
194018,2016,Dammam,50.088794,26.420683,Female,Lebanon,Nursing and Midwifery,4
194023,2016,Dammam,50.088794,26.420683,Female,Pakistan,Dentistry and Related Specialties,4
194025,2016,Dammam,50.088794,26.420683,Female,Palestine,Medicine and Surgery,4
194030,2016,Dammam,50.088794,26.420683,Female,South Africa,Laboratories and Medical Technology,4
194034,2022,Jeddah,39.192505,21.485811,Female,Turkey,Medicine and Surgery,4
194044,2022,Jeddah,39.192505,21.485811,Female,United States,Dentistry and Related Specialties,4
194049,2016,Dammam,50.088794,26.420683,Male,Lebanon,Dentistry and Related Specialties,4
194066,2016,Dammam,50.088794,26.420683,Male,Egypt,Therapy and Rehabilitation,4
194084,2016,Dawadmi,44.418179,24.5167,Male,Saudi Arabia,Therapy and Rehabilitation,4
194144,2022,Haql,34.94515,29.286387,Male,Syria,Medicine and Surgery,4
194146,2022,Jeddah,39.192505,21.485811,Male,Canada,Dentistry and Related Specialties,4
194171,2022,Hbona,44.024676,17.841103,Female,India,Nursing and Midwifery,4
194186,2016,Dhahran,50.039302,26.236125,Female,New Zealand,Nursing and Midwifery,4
194191,2016,Dhahran,50.039302,26.236125,Female,Philippines,Medicine and Surgery,4
194199,2016,Dhahran,50.039302,26.236125,Female,United States,Dentistry and Related Specialties,4
194210,2016,Dealofday,45.379506,25.3595,Male,Egypt,Medicine and Surgery,4
194235,2016,Dhahran,50.039302,26.236125,Male,Pakistan,Pharmacists and Pharmacy Technicians,4
194237,2022,Jeddah,39.192505,21.485811,Male,Australia,Nursing and Midwifery,4
194239,2016,Dhahran,50.039302,26.236125,Male,Philippines,Pharmacists and Pharmacy Technicians,4
194247,2016,Dhahran,50.039302,26.236125,Male,United Kingdom,Nursing and Midwifery,4
194249,2016,Dhahran,50.039302,26.236125,Male,United States,Dentistry and Related Specialties,4
194270,2016,Dhahran,50.039302,26.236125,Male,Jordan,Laboratories and Medical Technology,4
194291,2017,Buraidah,43.981812,26.359231,Male,Egypt,Technicians and Health Assistants,4
194299,2017,Buraidah,43.981812,26.359231,Male,India,Nursing and Midwifery,4
194303,2017,Buraidah,43.981812,26.359231,Female,Philippines,Therapy and Rehabilitation,4
194309,2022,Khamis Mushait,42.766233,18.309339,Male,Philippines,Dentistry and Related Specialties,4
194317,2017,Buraidah,43.981812,26.359231,Female,Egypt,Laboratories and Medical Technology,4
194319,2022,Buraidah,43.981812,26.359231,Female,Jordan,Nursing and Midwifery,4
194324,2022,Buraidah,43.981812,26.359231,Female,India,Laboratories and Medical Technology,4
194325,2022,Buraidah,43.981812,26.359231,Female,India,Dentistry and Related Specialties,4
194331,2017,Dalam,47.155709,23.976619,Female,India,Nursing and Midwifery,4
194346,2017,Dammam,50.088794,26.420683,Female,India,Pharmacists and Pharmacy Technicians,4
194350,2022,Buqayq,49.670721,25.916815,Male,Saudi Arabia,Dentistry and Related Specialties,4
194353,2022,Buqayq,49.670721,25.916815,Male,Syria,Medicine and Surgery,4
194361,2017,Buraidah,43.981812,26.359231,Male,Philippines,Laboratories and Medical Technology,4
194390,2022,Khamis Mushait,42.766233,18.309339,Male,Palestine,Medicine and Surgery,4
194402,2022,Buraidah,43.981812,26.359231,Female,Sudan,Therapy and Rehabilitation,4
194412,2017,Bisha,42.590167,19.976352,Female,Pakistan,Medicine and Surgery,4
194454,2017,Bisha,42.590167,19.976352,Male,Pakistan,Pharmacists and Pharmacy Technicians,4
194460,2017,Bisha,42.590167,19.976352,Male,Philippines,Nursing and Midwifery,4
194469,2017,Bisha,42.590167,19.976352,Male,Saudi Arabia,Technicians and Health Assistants,4
194475,2017,Dammam,50.088794,26.420683,Male,Philippines,Pharmacists and Pharmacy Technicians,4
194479,2017,Dammam,50.088794,26.420683,Male,Portugal,Medicine and Surgery,4
194491,2017,Dammam,50.088794,26.420683,Male,Sudan,Pharmacists and Pharmacy Technicians,4
194492,2017,Dammam,50.088794,26.420683,Male,Syria,Pharmacists and Pharmacy Technicians,4
194519,2017,Dammam,50.088794,26.420683,Male,Philippines,Medicine and Surgery,4
194531,2017,Dawadmi,44.418179,24.5167,Male,Egypt,Pharmacists and Pharmacy Technicians,4
194532,2017,Dawadmi,44.418179,24.5167,Male,Pakistan,Medicine and Surgery,4
194536,2017,Dawadmi,44.418179,24.5167,Male,Sudan,Medicine and Surgery,4
194547,2017,Dawadmi,44.418179,24.5167,Female,Egypt,Medicine and Surgery,4
194563,2017,Dawadmi,44.418179,24.5167,Female,Egypt,Nursing and Midwifery,4
194571,2017,Dammam,50.088794,26.420683,Male,Pakistan,Laboratories and Medical Technology,4
194576,2022,Buqayq,49.670721,25.916815,Male,Egypt,Pharmacists and Pharmacy Technicians,4
194587,2017,Dammam,50.088794,26.420683,Female,Sudan,Nursing and Midwifery,4
194596,2017,Dammam,50.088794,26.420683,Female,Pakistan,Dentistry and Related Specialties,4
194597,2017,Dammam,50.088794,26.420683,Female,Jordan,Therapy and Rehabilitation,4
194604,2017,Dammam,50.088794,26.420683,Female,Lebanon,Nursing and Midwifery,4
194623,2022,Buqayq,49.670721,25.916815,Female,Sudan,Medicine and Surgery,4
194635,2017,Dammam,50.088794,26.420683,Male,Lebanon,Medicine and Surgery,4
194644,2017,Dammam,50.088794,26.420683,Male,Egypt,Laboratories and Medical Technology,4
194647,2022,Buqayq,49.670721,25.916815,Female,Syria,Dentistry and Related Specialties,4
194656,2022,Khamis Mushait,42.766233,18.309339,Male,Yemen,Laboratories and Medical Technology,4
194658,2017,Dammam,50.088794,26.420683,Male,Egypt,Therapy and Rehabilitation,4
194669,2017,Alquriyat,37.361353,31.329635,Male,Pakistan,Pharmacists and Pharmacy Technicians,4
194705,2017,Alquriyat,37.361353,31.329635,Male,India,Dentistry and Related Specialties,4
194713,2017,Alquriyat,37.361353,31.329635,Male,Jordan,Laboratories and Medical Technology,4
194721,2017,Alrvaya Baljamsh,43.679109,24.676911,Male,Sudan,Medicine and Surgery,4
194733,2022,Khamis Mushait,42.766233,18.309339,Male,India,Therapy and Rehabilitation,4
194742,2022,Buraidah,43.981812,26.359231,Male,Palestine,Medicine and Surgery,4
194756,2022,Khamis Mushait,42.766233,18.309339,Male,Egypt,Nursing and Midwifery,4
194760,2017,Alrass,43.522231,25.851747,Male,Saudi Arabia,Laboratories and Medical Technology,4
194761,2017,Alrass,43.522231,25.851747,Male,Saudi Arabia,Nursing and Midwifery,4
194788,2017,Almethnb,44.224211,25.856898,Male,Saudi Arabia,Therapy and Rehabilitation,4
194793,2017,Almajma,45.373069,25.875887,Male,Saudi Arabia,Laboratories and Medical Technology,4
194796,2017,Almajma,45.373069,25.875887,Male,Saudi Arabia,Therapy and Rehabilitation,4
194836,2017,Alqatif  ,49.998236,26.576492,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,4
194840,2017,Alqatif  ,49.998236,26.576492,Male,India,Medicine and Surgery,4
194850,2017,Alqatif  ,49.998236,26.576492,Male,Philippines,Therapy and Rehabilitation,4
194867,2017,Artawiyya,45.34634,26.501759,Male,Saudi Arabia,Nursing and Midwifery,4
194888,2017,Arar,41.059564,30.959945,Male,Nigeria,Medicine and Surgery,4
194894,2017,Arar,41.059564,30.959945,Male,Saudi Arabia,Medicine and Surgery,4
194916,2017,Bisch,42.53625,17.374003,Female,India,Nursing and Midwifery,4
194933,2022,Khamis Mushait,42.766233,18.309339,Male,Palestine,Dentistry and Related Specialties,4
194968,2017,Alula,37.929482,26.603139,Male,Pakistan,Medicine and Surgery,4
195004,2017,Alwajjh,36.468896,26.236606,Female,Philippines,Nursing and Midwifery,4
195007,2022,Buraidah,43.981812,26.359231,Male,Jordan,Dentistry and Related Specialties,4
195013,2022,Buraidah,43.981812,26.359231,Male,Jordan,Laboratories and Medical Technology,4
195016,2017,Arar,41.059564,30.959945,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,4
195019,2017,Arar,41.059564,30.959945,Female,Syria,Medicine and Surgery,4
195025,2017,Arar,41.059564,30.959945,Male,India,Dentistry and Related Specialties,4
195029,2017,Arar,41.059564,30.959945,Female,Indonesia,Nursing and Midwifery,4
195035,2017,Alwajjh,36.468896,26.236606,Male,Saudi Arabia,Nursing and Midwifery,4
195036,2017,Alwajjh,36.468896,26.236606,Male,Sudan,Medicine and Surgery,4
195042,2017,Arar,41.059564,30.959945,Female,India,Therapy and Rehabilitation,4
195046,2017,Arar,41.059564,30.959945,Female,Egypt,Dentistry and Related Specialties,4
195064,2017,Jazan,42.570567,16.889359,Male,Syria,Medicine and Surgery,4
195075,2017,Jazan,42.570567,16.889359,Male,Yemen,Pharmacists and Pharmacy Technicians,4
195087,2017,Jazan,42.570567,16.889359,Male,Palestine,Medicine and Surgery,4
195089,2017,Jazan,42.570567,16.889359,Male,Philippines,Dentistry and Related Specialties,4
195110,2022,Bader Algnoub,43.719039,17.880288,Female,Philippines,Nursing and Midwifery,4
195116,2017,Jeddah,39.192505,21.485811,Female,France,Medicine and Surgery,4
195126,2017,Jeddah,39.192505,21.485811,Female,Eritrea,Pharmacists and Pharmacy Technicians,4
195131,2017,Jeddah,39.192505,21.485811,Female,Bangladesh,Nursing and Midwifery,4
195137,2017,Jeddah,39.192505,21.485811,Female,Canada,Laboratories and Medical Technology,4
195139,2017,Jeddah,39.192505,21.485811,Female,Eritrea,Nursing and Midwifery,4
195153,2017,Jazan,42.570567,16.889359,Female,India,Laboratories and Medical Technology,4
195159,2017,Jazan,42.570567,16.889359,Female,India,Therapy and Rehabilitation,4
195182,2017,Hureimulaa,46.10403,25.115798,Female,Philippines,Nursing and Midwifery,4
195212,2017,Jazan,42.570567,16.889359,Female,Yemen,Pharmacists and Pharmacy Technicians,4
195215,2022,Khobar,50.080072,26.182911,Female,Tunisia,Medicine and Surgery,4
195222,2017,Jazan,42.570567,16.889359,Female,Yemen,Therapy and Rehabilitation,4
195225,2017,Jazan,42.570567,16.889359,Female,Sudan,Pharmacists and Pharmacy Technicians,4
195228,2017,Jazan,42.570567,16.889359,Female,Saudi Arabia,Medicine and Surgery,4
195229,2017,Jazan,42.570567,16.889359,Female,Sudan,Dentistry and Related Specialties,4
195237,2017,Jazan,42.570567,16.889359,Female,Syria,Medicine and Surgery,4
195253,2017,Jeddah,39.192505,21.485811,Male,Germany,Medicine and Surgery,4
195268,2017,Jeddah,39.192505,21.485811,Male,Lebanon,Pharmacists and Pharmacy Technicians,4
195276,2017,Jeddah,39.192505,21.485811,Male,Canada,Therapy and Rehabilitation,4
195314,2022,Bader,38.796292,23.773046,Female,Egypt,Nursing and Midwifery,4
195323,2017,Jeddah,39.192505,21.485811,Male,Pakistan,Technicians and Health Assistants,4
195327,2017,Jeddah,39.192505,21.485811,Male,Philippines,Medicine and Surgery,4
195335,2017,Jeddah,39.192505,21.485811,Male,Philippines,Technicians and Health Assistants,4
195341,2017,Jeddah,39.192505,21.485811,Male,Portugal,Nursing and Midwifery,4
195353,2017,Jeddah,39.192505,21.485811,Female,Palestine,Technicians and Health Assistants,4
195366,2022,Bader,38.796292,23.773046,Male,Saudi Arabia,Therapy and Rehabilitation,4
195367,2017,Jeddah,39.192505,21.485811,Female,Somalia,Laboratories and Medical Technology,4
195368,2022,Bader,38.796292,23.773046,Male,Syria,Dentistry and Related Specialties,4
195389,2017,Jeddah,39.192505,21.485811,Female,Nigeria,Therapy and Rehabilitation,4
195390,2017,Jeddah,39.192505,21.485811,Female,Pakistan,Laboratories and Medical Technology,4
195400,2017,Jeddah,39.192505,21.485811,Female,United States,Dentistry and Related Specialties,4
195402,2017,Jeddah,39.192505,21.485811,Female,United States,Laboratories and Medical Technology,4
195434,2017,Jeddah,39.192505,21.485811,Female,Tunisia,Dentistry and Related Specialties,4
195445,2017,Dhran Janoob,43.517421,17.665225,Male,Saudi Arabia,Health Administration and Community Health,4
195456,2022,Bisha,42.590167,19.976352,Female,Nigeria,Medicine and Surgery,4
