,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Age_Group_En,Number_of_Practitioners
195095,2018,Female,Palestine,Therapy and Rehabilitation,From 50 to 59,4
195129,2018,Female,Palestine,Medicine and Surgery,From 40 to 49,4
195212,2020,Male,Finland,Nursing and Midwifery,From 40 to 49,4
195266,2022,Male,Jordan,Health Administration and Community Health,From 40 to 49,4
195316,2022,Male,Kuwait,Medicine and Surgery,From 40 to 49,4
195336,2022,Male,Jordan,Technicians and Health Assistants,From 60 to 69,4
195345,2018,Female,Philippines,Dentistry and Related Specialties,From 70 to 79,4
195346,2022,Male,Kenya,Therapy and Rehabilitation,From 30 to 39,4
195428,2019,Male,Germany,Medicine and Surgery,From 50 to 59,4
195452,2022,Male,New Zealand,Medicine and Surgery,From 50 to 59,4
195461,2022,Male,Nigeria,Laboratories and Medical Technology,From 30 to 39,4
195466,2022,Male,Nigeria,Dentistry and Related Specialties,From 40 to 49,4
195518,2020,Male,Eritrea,Medicine and Surgery,From 30 to 39,4
195536,2018,Female,Pakistan,Technicians and Health Assistants,From 30 to 39,4
195543,2022,Male,Mauritania,Medicine and Surgery,From 30 to 39,4
195548,2020,Male,Eritrea,Laboratories and Medical Technology,From 30 to 39,4
195566,2022,Male,Malaysia,Laboratories and Medical Technology,From 40 to 49,4
195703,2018,Female,Saudi Arabia,Laboratories and Medical Technology,Unknown,4
195756,2022,Male,Immigrant Tribes,Dentistry and Related Specialties,From 20 to 29,4
195763,2022,Male,Immigrant Tribes,Dentistry and Related Specialties,From 40 to 49,4
195911,2022,Male,France,Dentistry and Related Specialties,From 30 to 39,4
195947,2022,Male,Germany,Dentistry and Related Specialties,From 50 to 59,4
195959,2022,Male,France,Medicine and Surgery,From 70 to 79,4
196035,2022,Male,Indonesia,Therapy and Rehabilitation,From 20 to 29,4
196111,2022,Male,Iraq,Medicine and Surgery,From 60 to 69,4
196115,2022,Male,Iraq,Medicine and Surgery,From 50 to 59,4
196132,2022,Male,Ireland,Nursing and Midwifery,From 30 to 39,4
196176,2018,Female,Romania,Therapy and Rehabilitation,From 30 to 39,4
196189,2022,Male,Immigrant Tribes,Nursing and Midwifery,From 40 to 49,4
196199,2022,Male,Immigrant Tribes,Medicine and Surgery,From 20 to 29,4
196241,2022,Male,Indonesia,Laboratories and Medical Technology,From 20 to 29,4
196258,2018,Female,Philippines,Technicians and Health Assistants,From 60 to 69,4
196260,2022,Male,Indonesia,Medicine and Surgery,From 30 to 39,4
196277,2022,Male,India,Technicians and Health Assistants,From 60 to 69,4
196311,2017,Male,Turkey,Medicine and Surgery,From 50 to 59,4
196369,2019,Male,New Zealand,Nursing and Midwifery,From 30 to 39,4
196552,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Unknown,4
196581,2020,Female,Tunisia,Nursing and Midwifery,From 50 to 59,4
196716,2019,Male,Lebanon,Laboratories and Medical Technology,From 40 to 49,4
196736,2017,Male,Saudi Arabia,Therapy and Rehabilitation,From 70 to 79,4
196817,2017,Male,United States,Nursing and Midwifery,From 40 to 49,4
196841,2019,Male,Kuwait,Dentistry and Related Specialties,From 40 to 49,4
196979,2020,Female,South Africa,Therapy and Rehabilitation,From 30 to 39,4
196983,2017,Male,Unknown,Laboratories and Medical Technology,From 30 to 39,4
197007,2017,Male,United States,Pharmacists and Pharmacy Technicians,From 40 to 49,4
197011,2020,Female,United Kingdom,Laboratories and Medical Technology,From 40 to 49,4
197049,2017,Male,United States,Pharmacists and Pharmacy Technicians,From 50 to 59,4
197105,2017,Male,United Kingdom,Nursing and Midwifery,From 30 to 39,4
197205,2017,Male,United States,Dentistry and Related Specialties,From 40 to 49,4
197229,2017,Male,United States,Laboratories and Medical Technology,From 40 to 49,4
197425,2020,Female,Syria,Laboratories and Medical Technology,From 20 to 29,4
197453,2017,Male,South Africa,Laboratories and Medical Technology,From 60 to 69,4
197698,2017,Male,Spain,Medicine and Surgery,From 60 to 69,4
197737,2020,Female,Sudan,Technicians and Health Assistants,From 30 to 39,4
197739,2017,Male,South Africa,Technicians and Health Assistants,From 50 to 59,4
197884,2017,Male,Syria,Technicians and Health Assistants,From 40 to 49,4
197889,2017,Male,Somalia,Medicine and Surgery,From 60 to 69,4
197977,2020,Female,Tunisia,Dentistry and Related Specialties,From 40 to 49,4
198032,2020,Female,Syria,Therapy and Rehabilitation,From 50 to 59,4
198062,2017,Male,Somalia,Laboratories and Medical Technology,From 30 to 39,4
198126,2019,Male,Malaysia,Nursing and Midwifery,From 20 to 29,4
198298,2020,Female,Syria,Pharmacists and Pharmacy Technicians,From 50 to 59,4
198348,2018,Female,Bahrain,Nursing and Midwifery,From 30 to 39,4
198368,2020,Female,United States,Therapy and Rehabilitation,From 60 to 69,4
198482,2017,Male,Philippines,Nursing and Midwifery,Unknown,4
198488,2019,Male,Jordan,Medicine and Surgery,From 20 to 29,4
198589,2017,Male,Portugal,Medicine and Surgery,From 60 to 69,4
198637,2017,Male,Portugal,Medicine and Surgery,From 50 to 59,4
198640,2017,Male,Portugal,Nursing and Midwifery,From 30 to 39,4
198834,2018,Female,Canada,Laboratories and Medical Technology,From 40 to 49,4
198840,2018,Female,Canada,Laboratories and Medical Technology,From 20 to 29,4
198870,2018,Female,Canada,Medicine and Surgery,From 50 to 59,4
198971,2017,Male,Philippines,Dentistry and Related Specialties,From 20 to 29,4
198984,2020,Female,Somalia,Dentistry and Related Specialties,From 30 to 39,4
199091,2019,Male,Nigeria,Nursing and Midwifery,From 60 to 69,4
199226,2020,Female,Somalia,Nursing and Midwifery,From 50 to 59,4
199363,2020,Female,South Africa,Nursing and Midwifery,From 20 to 29,4
199688,2019,Male,Jordan,Technicians and Health Assistants,From 20 to 29,4
199746,2017,Male,Portugal,Nursing and Midwifery,From 50 to 59,4
199845,2019,Male,United Kingdom,Dentistry and Related Specialties,From 30 to 39,3
199854,2019,Male,Egypt,Medicine and Surgery,Less Than 20,3
199925,2019,Female,Scotland,Nursing and Midwifery,From 50 to 59,3
199928,2019,Male,Tunisia,Nursing and Midwifery,From 30 to 39,3
199932,2019,Male,United Kingdom,Nursing and Midwifery,From 30 to 39,3
200034,2019,Male,Cuba,Medicine and Surgery,From 30 to 39,3
200075,2019,Male,United Kingdom,Dentistry and Related Specialties,From 40 to 49,3
200086,2019,Male,United Kingdom,Dentistry and Related Specialties,From 50 to 59,3
200121,2019,Male,Ethiopia,Medicine and Surgery,From 60 to 69,3
200150,2019,Female,Saudi Arabia,Therapy and Rehabilitation,From 80 to 89,3
200151,2019,Female,United Kingdom,Dentistry and Related Specialties,From 30 to 39,3
200158,2019,Female,United States,Dentistry and Related Specialties,From 30 to 39,3
200189,2019,Male,Tunisia,Dentistry and Related Specialties,From 50 to 59,3
200196,2019,Male,Eritrea,Therapy and Rehabilitation,From 30 to 39,3
200223,2019,Female,Somalia,Dentistry and Related Specialties,From 30 to 39,3
200224,2019,Male,Palestine,Medicine and Surgery,From 20 to 29,3
200249,2019,Male,Pakistan,Dentistry and Related Specialties,From 50 to 59,3
200312,2019,Female,Saudi Arabia,Therapy and Rehabilitation,Less Than 20,3
200397,2019,Female,Singapore,Nursing and Midwifery,From 30 to 39,3
200412,2019,Male,China,Technicians and Health Assistants,From 40 to 49,3
200415,2019,Female,Somalia,Pharmacists and Pharmacy Technicians,From 30 to 39,3
200417,2019,Female,Somalia,Nursing and Midwifery,From 50 to 59,3
200430,2019,Male,Egypt,Laboratories and Medical Technology,From 70 to 79,3
200446,2019,Female,Somalia,Therapy and Rehabilitation,From 30 to 39,3
200523,2019,Male,Nigeria,Nursing and Midwifery,From 30 to 39,3
200527,2019,Male,Nigeria,Medicine and Surgery,From 60 to 69,3
200540,2019,Male,Tunisia,Therapy and Rehabilitation,From 30 to 39,3
200630,2019,Female,Somalia,Nursing and Midwifery,From 60 to 69,3
200734,2019,Female,Somalia,Medicine and Surgery,From 20 to 29,3
200747,2019,Female,Slovakia,Nursing and Midwifery,From 50 to 59,3
200818,2019,Male,Czech Republic,Nursing and Midwifery,From 30 to 39,3
200819,2019,Male,United Kingdom,Laboratories and Medical Technology,From 60 to 69,3
200828,2019,Male,Czech Republic,Technicians and Health Assistants,From 30 to 39,3
200854,2019,Female,United Kingdom,Pharmacists and Pharmacy Technicians,From 30 to 39,3
200965,2019,Female,United Kingdom,Medicine and Surgery,From 60 to 69,3
201009,2019,Male,Canada,Therapy and Rehabilitation,From 40 to 49,3
201023,2019,Female,United Kingdom,Laboratories and Medical Technology,From 60 to 69,3
201035,2019,Male,Turkey,Medicine and Surgery,From 40 to 49,3
201069,2019,Male,Tunisia,Therapy and Rehabilitation,From 60 to 69,3
201099,2019,Female,United States,Dentistry and Related Specialties,From 50 to 59,3
201133,2019,Female,Sudan,Technicians and Health Assistants,From 30 to 39,3
201172,2019,Male,India,Technicians and Health Assistants,From 60 to 69,3
201236,2019,Female,Sudan,Nursing and Midwifery,From 70 to 79,3
201316,2019,Male,India,Therapy and Rehabilitation,From 60 to 69,3
201355,2019,Male,South Africa,Laboratories and Medical Technology,From 60 to 69,3
201357,2019,Male,South Africa,Laboratories and Medical Technology,From 50 to 59,3
201394,2019,Male,Australia,Nursing and Midwifery,From 60 to 69,3
201406,2019,Male,India,Therapy and Rehabilitation,From 20 to 29,3
201476,2019,Male,Bahrain,Medicine and Surgery,From 50 to 59,3
201511,2019,Male,Portugal,Medicine and Surgery,From 60 to 69,3
201535,2019,Male,Portugal,Nursing and Midwifery,From 50 to 59,3
201627,2019,Male,Kenya,Therapy and Rehabilitation,From 40 to 49,3
201653,2019,Male,Spain,Medicine and Surgery,From 60 to 69,3
201671,2019,Male,Spain,Nursing and Midwifery,From 30 to 39,3
201697,2019,Male,Spain,Medicine and Surgery,From 40 to 49,3
201785,2019,Male,Saudi Arabia,Therapy and Rehabilitation,From 80 to 89,3
201948,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Unknown,3
201976,2019,Female,Syria,Pharmacists and Pharmacy Technicians,From 50 to 59,3
202043,2019,Male,Indonesia,Nursing and Midwifery,From 20 to 29,3
202066,2019,Male,Indonesia,Nursing and Midwifery,From 50 to 59,3
202093,2019,Male,Jordan,Nursing and Midwifery,From 20 to 29,3
202166,2019,Female,Tunisia,Dentistry and Related Specialties,From 40 to 49,3
202193,2019,Male,Jordan,Health Administration and Community Health,From 30 to 39,3
202213,2019,Male,Ireland,Medicine and Surgery,From 40 to 49,3
202231,2019,Female,Syria,Laboratories and Medical Technology,From 40 to 49,3
202232,2019,Male,Slovakia,Medicine and Surgery,From 50 to 59,3
202355,2019,Male,Canada,Dentistry and Related Specialties,From 50 to 59,3
202394,2019,Male,Canada,Dentistry and Related Specialties,From 40 to 49,3
202395,2019,Male,Malaysia,Nursing and Midwifery,From 40 to 49,3
202427,2019,Male,France,Medicine and Surgery,From 30 to 39,3
202432,2019,Male,France,Dentistry and Related Specialties,From 40 to 49,3
202528,2019,Female,Spain,Dentistry and Related Specialties,From 30 to 39,3
202571,2019,Female,Yemen,Medicine and Surgery,From 60 to 69,3
202580,2019,Female,South Korea,Nursing and Midwifery,From 50 to 59,3
202640,2019,Male,Canada,Medicine and Surgery,From 20 to 29,3
202669,2019,Male,Syria,Pharmacists and Pharmacy Technicians,From 70 to 79,3
202717,2019,Male,Mauritania,Medicine and Surgery,From 30 to 39,3
202761,2019,Male,Syria,Therapy and Rehabilitation,From 50 to 59,3
202864,2019,Male,Palestine,Therapy and Rehabilitation,From 50 to 59,3
202926,2019,Male,Finland,Nursing and Midwifery,From 30 to 39,3
202968,2019,Male,Bangladesh,Nursing and Midwifery,From 60 to 69,3
203057,2019,Male,Philippines,Pharmacists and Pharmacy Technicians,From 20 to 29,3
203074,2019,Male,Philippines,Pharmacists and Pharmacy Technicians,From 60 to 69,3
203107,2019,Male,Immigrant Tribes,Therapy and Rehabilitation,From 20 to 29,3
203120,2019,Male,Poland,Medicine and Surgery,From 50 to 59,3
203172,2019,Male,India,Dentistry and Related Specialties,From 20 to 29,3
203199,2019,Male,Philippines,Technicians and Health Assistants,From 60 to 69,3
203234,2019,Female,Yemen,Technicians and Health Assistants,From 20 to 29,3
203269,2019,Male,Lebanon,Nursing and Midwifery,From 50 to 59,3
203290,2019,Male,Lebanon,Pharmacists and Pharmacy Technicians,From 30 to 39,3
203402,2019,Female,Tunisia,Therapy and Rehabilitation,From 20 to 29,3
203408,2019,Male,Philippines,Medicine and Surgery,From 30 to 39,3
203419,2019,Female,Yemen,Pharmacists and Pharmacy Technicians,From 20 to 29,3
203445,2019,Female,Yemen,Nursing and Midwifery,From 60 to 69,3
203524,2019,Female,Yemen,Nursing and Midwifery,From 50 to 59,3
203635,2017,Male,Nigeria,Therapy and Rehabilitation,From 40 to 49,3
203671,2017,Male,Nigeria,Therapy and Rehabilitation,From 50 to 59,3
203757,2017,Male,Palestine,Medicine and Surgery,From 20 to 29,3
203770,2017,Male,Palestine,Dentistry and Related Specialties,From 20 to 29,3
203795,2017,Male,Palestine,Dentistry and Related Specialties,From 50 to 59,3
203824,2017,Male,Mauritania,Medicine and Surgery,From 30 to 39,3
203921,2017,Male,Nigeria,Medicine and Surgery,From 60 to 69,3
204055,2017,Male,Saudi Arabia,Laboratories and Medical Technology,From 80 to 89,3
204077,2017,Male,Saudi Arabia,Nursing and Midwifery,Unknown,3
204086,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,3
204166,2017,Male,Slovakia,Medicine and Surgery,From 50 to 59,3
204241,2017,Male,Saudi Arabia,Technicians and Health Assistants,Unknown,3
204263,2017,Male,Saudi Arabia,Therapy and Rehabilitation,From 80 to 89,3
204291,2017,Male,Philippines,Medicine and Surgery,From 70 to 79,3
204324,2017,Male,Philippines,Nursing and Midwifery,Less Than 20,3
204409,2017,Male,Russia,Medicine and Surgery,From 60 to 69,3
204507,2017,Male,Philippines,Therapy and Rehabilitation,From 70 to 79,3
204508,2017,Male,Malaysia,Laboratories and Medical Technology,From 30 to 39,3
204519,2017,Male,France,Dentistry and Related Specialties,From 40 to 49,3
204521,2017,Male,Finland,Nursing and Midwifery,From 30 to 39,3
204565,2017,Male,France,Medicine and Surgery,From 70 to 79,3
204585,2017,Male,Ethiopia,Nursing and Midwifery,From 30 to 39,3
204755,2017,Male,Egypt,Dentistry and Related Specialties,From 70 to 79,3
204794,2017,Male,Egypt,Health Administration and Community Health,From 60 to 69,3
204846,2017,Male,Czech Republic,Medicine and Surgery,From 50 to 59,3
204946,2017,Male,Egypt,Medicine and Surgery,Less Than 20,3
204990,2017,Male,Jordan,Technicians and Health Assistants,From 20 to 29,3
205060,2017,Male,Jordan,Laboratories and Medical Technology,From 20 to 29,3
205062,2017,Male,Jordan,Health Administration and Community Health,From 30 to 39,3
205078,2017,Male,Jordan,Nursing and Midwifery,From 20 to 29,3
205083,2017,Male,Jordan,Medicine and Surgery,Unknown,3
205106,2017,Male,Lebanon,Dentistry and Related Specialties,From 70 to 79,3
205128,2017,Male,Kuwait,Dentistry and Related Specialties,From 40 to 49,3
205298,2017,Male,India,Medicine and Surgery,From 20 to 29,3
205365,2017,Male,Iraq,Dentistry and Related Specialties,From 30 to 39,3
205379,2017,Male,Ireland,Nursing and Midwifery,From 60 to 69,3
205385,2017,Male,Ireland,Nursing and Midwifery,From 30 to 39,3
205453,2017,Male,Indonesia,Nursing and Midwifery,From 50 to 59,3
205459,2018,Female,Canada,Medicine and Surgery,From 60 to 69,3
205490,2018,Female,Canada,Pharmacists and Pharmacy Technicians,From 30 to 39,3
205546,2018,Female,Canada,Dentistry and Related Specialties,From 20 to 29,3
205613,2018,Female,Czech Republic,Therapy and Rehabilitation,From 50 to 59,3
205650,2018,Female,Canada,Therapy and Rehabilitation,From 30 to 39,3
205688,2018,Female,Chad,Nursing and Midwifery,From 30 to 39,3
205704,2018,Female,Algeria,Medicine and Surgery,From 40 to 49,3
205734,2018,Female,Australia,Medicine and Surgery,From 40 to 49,3
205764,2017,Male,Yemen,Technicians and Health Assistants,From 30 to 39,3
205891,2018,Female,Azerbaijan,Medicine and Surgery,From 40 to 49,3
205899,2018,Female,Bahrain,Dentistry and Related Specialties,From 30 to 39,3
205909,2018,Female,Bahrain,Therapy and Rehabilitation,From 20 to 29,3
205974,2018,Female,France,Medicine and Surgery,From 60 to 69,3
206063,2018,Female,Greece,Medicine and Surgery,From 50 to 59,3
206101,2018,Female,Immigrant Tribes,Laboratories and Medical Technology,From 30 to 39,3
206256,2018,Female,Egypt,Dentistry and Related Specialties,From 70 to 79,3
206302,2018,Female,Eritrea,Nursing and Midwifery,From 20 to 29,3
206307,2018,Female,Eritrea,Laboratories and Medical Technology,From 40 to 49,3
206326,2018,Female,Eritrea,Pharmacists and Pharmacy Technicians,From 30 to 39,3
206348,2018,Female,Egypt,Pharmacists and Pharmacy Technicians,Unknown,3
206360,2018,Female,Egypt,Nursing and Midwifery,From 70 to 79,3
206427,2017,Male,Sudan,Therapy and Rehabilitation,From 40 to 49,3
206484,2017,Male,Sudan,Pharmacists and Pharmacy Technicians,From 70 to 79,3
206525,2017,Male,Syria,Therapy and Rehabilitation,From 20 to 29,3
206540,2017,Male,Syria,Technicians and Health Assistants,From 30 to 39,3
206561,2017,Male,Tunisia,Dentistry and Related Specialties,From 30 to 39,3
206578,2017,Male,Syria,Nursing and Midwifery,From 60 to 69,3
206619,2017,Male,Syria,Medicine and Surgery,From 80 to 89,3
206650,2017,Male,South Africa,Technicians and Health Assistants,From 40 to 49,3
206675,2017,Male,Spain,Medicine and Surgery,From 50 to 59,3
206676,2017,Male,Spain,Medicine and Surgery,From 40 to 49,3
206733,2017,Male,South Africa,Medicine and Surgery,From 60 to 69,3
206746,2017,Male,South Africa,Laboratories and Medical Technology,From 50 to 59,3
206799,2017,Male,Sudan,Medicine and Surgery,Unknown,3
206955,2017,Male,United States,Dentistry and Related Specialties,From 50 to 59,3
206962,2017,Male,United States,Dentistry and Related Specialties,From 30 to 39,3
206992,2017,Male,Yemen,Dentistry and Related Specialties,From 50 to 59,3
207087,2017,Male,Yemen,Laboratories and Medical Technology,From 60 to 69,3
207119,2017,Male,Tunisia,Therapy and Rehabilitation,From 60 to 69,3
207198,2017,Male,Tunisia,Dentistry and Related Specialties,From 50 to 59,3
207240,2017,Male,United Kingdom,Laboratories and Medical Technology,From 60 to 69,3
207251,2017,Male,United Kingdom,Laboratories and Medical Technology,From 50 to 59,3
207272,2017,Male,United Kingdom,Therapy and Rehabilitation,From 30 to 39,3
207322,2017,Male,United Kingdom,Dentistry and Related Specialties,From 50 to 59,3
207354,2016,Female,Philippines,Medicine and Surgery,From 70 to 79,3
207355,2017,Female,Jordan,Medicine and Surgery,From 20 to 29,3
207371,2016,Female,Portugal,Nursing and Midwifery,From 50 to 59,3
207379,2016,Female,Palestine,Nursing and Midwifery,From 30 to 39,3
207380,2016,Female,Palestine,Health Administration and Community Health,From 30 to 39,3
207387,2017,Female,Jordan,Technicians and Health Assistants,From 20 to 29,3
207400,2016,Female,Palestine,Pharmacists and Pharmacy Technicians,From 50 to 59,3
207402,2016,Female,Palestine,Technicians and Health Assistants,From 20 to 29,3
207405,2016,Female,Palestine,Therapy and Rehabilitation,From 50 to 59,3
207417,2016,Female,Saudi Arabia,Laboratories and Medical Technology,Unknown,3
207431,2016,Female,Saudi Arabia,Nursing and Midwifery,Less Than 20,3
207464,2016,Female,Saudi Arabia,Dentistry and Related Specialties,From 70 to 79,3
207471,2017,Female,Lebanon,Dentistry and Related Specialties,From 60 to 69,3
207483,2016,Female,Myanmar,Nursing and Midwifery,From 50 to 59,3
207503,2016,Female,Malaysia,Therapy and Rehabilitation,From 40 to 49,3
207505,2016,Female,Malaysia,Therapy and Rehabilitation,From 50 to 59,3
207514,2017,Female,Lebanon,Laboratories and Medical Technology,From 40 to 49,3
207521,2017,Female,Lebanon,Laboratories and Medical Technology,From 20 to 29,3
207542,2017,Female,Jordan,Therapy and Rehabilitation,From 50 to 59,3
207572,2016,Female,Oman,Medicine and Surgery,From 40 to 49,3
207576,2016,Female,Pakistan,Dentistry and Related Specialties,From 50 to 59,3
207580,2017,Female,Kenya,Medicine and Surgery,From 30 to 39,3
207589,2016,Female,Tunisia,Laboratories and Medical Technology,From 40 to 49,3
207592,2016,Female,Tunisia,Technicians and Health Assistants,From 30 to 39,3
207604,2016,Female,United Arab Emirates,Medicine and Surgery,From 30 to 39,3
207621,2017,Female,India,Therapy and Rehabilitation,From 20 to 29,3
207622,2016,Female,Syria,Therapy and Rehabilitation,From 50 to 59,3
207623,2017,Female,India,Technicians and Health Assistants,From 50 to 59,3
207640,2016,Female,Tunisia,Laboratories and Medical Technology,From 30 to 39,3
207656,2016,Female,United States,Pharmacists and Pharmacy Technicians,From 50 to 59,3
207657,2016,Female,United States,Pharmacists and Pharmacy Technicians,From 60 to 69,3
207661,2016,Female,Yemen,Health Administration and Community Health,From 20 to 29,3
207680,2017,Female,India,Pharmacists and Pharmacy Technicians,From 20 to 29,3
207694,2016,Female,United Kingdom,Therapy and Rehabilitation,From 50 to 59,3
207695,2016,Female,United States,Dentistry and Related Specialties,From 20 to 29,3
207726,2017,Female,Iraq,Therapy and Rehabilitation,From 30 to 39,3
207735,2016,Female,Saudi Arabia,Therapy and Rehabilitation,From 70 to 79,3
207736,2016,Female,Saudi Arabia,Therapy and Rehabilitation,From 80 to 89,3
207737,2016,Female,Saudi Arabia,Therapy and Rehabilitation,Unknown,3
207743,2016,Female,Singapore,Nursing and Midwifery,From 40 to 49,3
207744,2016,Female,Singapore,Nursing and Midwifery,From 50 to 59,3
207746,2016,Female,Singapore,Nursing and Midwifery,From 60 to 69,3
207795,2016,Female,Spain,Medicine and Surgery,From 40 to 49,3
207797,2016,Female,Spain,Medicine and Surgery,From 50 to 59,3
207798,2016,Female,Spain,Nursing and Midwifery,From 30 to 39,3
207800,2016,Female,Sri Lanka,Nursing and Midwifery,From 60 to 69,3
207802,2016,Female,Sudan,Health Administration and Community Health,From 40 to 49,3
207805,2017,Female,Iraq,Medicine and Surgery,From 60 to 69,3
207812,2017,Female,Iraq,Medicine and Surgery,From 30 to 39,3
207818,2016,Female,Sudan,Technicians and Health Assistants,From 40 to 49,3
207844,2016,Female,Canada,Laboratories and Medical Technology,From 20 to 29,3
207870,2016,Female,Bangladesh,Dentistry and Related Specialties,From 30 to 39,3
207876,2016,Female,Bangladesh,Medicine and Surgery,From 30 to 39,3
207878,2016,Female,Bangladesh,Nursing and Midwifery,From 30 to 39,3
207879,2016,Female,Canada,Medicine and Surgery,From 50 to 59,3
207908,2016,Female,Egypt,Technicians and Health Assistants,From 60 to 69,3
207913,2016,Female,Canada,Therapy and Rehabilitation,From 50 to 59,3
207914,2017,Female,Nigeria,Nursing and Midwifery,From 50 to 59,3
207922,2016,Female,Chad,Nursing and Midwifery,From 30 to 39,3
207933,2016,Female,Cuba,Medicine and Surgery,From 30 to 39,3
207963,2017,Female,Pakistan,Technicians and Health Assistants,From 30 to 39,3
208010,2016,Female,Australia,Medicine and Surgery,From 40 to 49,3
208013,2016,Female,Azerbaijan,Medicine and Surgery,From 40 to 49,3
208027,2016,Female,Algeria,Medicine and Surgery,From 60 to 69,3
208029,2016,Female,Algeria,Medicine and Surgery,From 40 to 49,3
208047,2017,Female,Pakistan,Medicine and Surgery,From 70 to 79,3
208060,2016,Female,Iraq,Medicine and Surgery,From 60 to 69,3
208082,2016,Female,Italy,Medicine and Surgery,From 40 to 49,3
208106,2017,Female,Malaysia,Therapy and Rehabilitation,From 40 to 49,3
208109,2017,Female,Malaysia,Therapy and Rehabilitation,From 30 to 39,3
208114,2016,Female,Iraq,Medicine and Surgery,From 40 to 49,3
208119,2017,Female,Lebanon,Pharmacists and Pharmacy Technicians,From 20 to 29,3
208124,2016,Female,Kenya,Therapy and Rehabilitation,From 30 to 39,3
208127,2016,Female,Kuwait,Medicine and Surgery,From 40 to 49,3
208142,2016,Female,Lebanon,Nursing and Midwifery,From 70 to 79,3
208147,2016,Female,Kenya,Nursing and Midwifery,From 40 to 49,3
208161,2016,Female,Jordan,Therapy and Rehabilitation,From 60 to 69,3
208190,2017,Female,Nepal,Nursing and Midwifery,From 20 to 29,3
208212,2016,Female,Eritrea,Laboratories and Medical Technology,From 20 to 29,3
208241,2016,Female,India,Dentistry and Related Specialties,From 60 to 69,3
208245,2016,Female,India,Medicine and Surgery,From 80 to 89,3
208253,2016,Female,India,Pharmacists and Pharmacy Technicians,From 20 to 29,3
208254,2017,Female,Malaysia,Therapy and Rehabilitation,From 50 to 59,3
208273,2016,Female,France,Medicine and Surgery,From 60 to 69,3
208283,2016,Female,Germany,Nursing and Midwifery,From 40 to 49,3
208302,2016,Male,Saudi Arabia,Medicine and Surgery,Unknown,3
208306,2016,Male,Saudi Arabia,Nursing and Midwifery,Less Than 20,3
208309,2016,Male,Saudi Arabia,Laboratories and Medical Technology,From 80 to 89,3
208311,2016,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 80 to 89,3
208322,2017,Female,Canada,Nursing and Midwifery,From 70 to 79,3
208325,2017,Female,Canada,Therapy and Rehabilitation,From 50 to 59,3
208328,2017,Female,Chad,Nursing and Midwifery,From 30 to 39,3
208331,2017,Female,Chad,Laboratories and Medical Technology,From 30 to 39,3
208355,2017,Female,Canada,Dentistry and Related Specialties,From 20 to 29,3
208360,2016,Male,South Africa,Nursing and Midwifery,From 60 to 69,3
208372,2016,Male,South Africa,Therapy and Rehabilitation,From 30 to 39,3
208385,2016,Male,South Africa,Medicine and Surgery,From 60 to 69,3
208387,2017,Female,Canada,Laboratories and Medical Technology,From 20 to 29,3
208397,2016,Male,Somalia,Laboratories and Medical Technology,From 30 to 39,3
208398,2016,Male,Somalia,Laboratories and Medical Technology,From 60 to 69,3
208410,2016,Male,South Africa,Medicine and Surgery,From 50 to 59,3
208416,2016,Male,Pakistan,Nursing and Midwifery,From 70 to 79,3
208429,2016,Male,Pakistan,Therapy and Rehabilitation,From 60 to 69,3
208430,2016,Male,Palestine,Dentistry and Related Specialties,From 20 to 29,3
208432,2016,Male,Palestine,Dentistry and Related Specialties,From 50 to 59,3
208447,2016,Male,Nigeria,Therapy and Rehabilitation,From 50 to 59,3
208474,2016,Male,Philippines,Laboratories and Medical Technology,From 70 to 79,3
208486,2016,Male,Philippines,Therapy and Rehabilitation,From 70 to 79,3
208494,2016,Male,Portugal,Nursing and Midwifery,From 30 to 39,3
208496,2016,Male,Portugal,Nursing and Midwifery,From 40 to 49,3
208508,2016,Male,Palestine,Medicine and Surgery,From 50 to 59,3
208514,2016,Male,Palestine,Nursing and Midwifery,From 30 to 39,3
208523,2016,Male,Palestine,Pharmacists and Pharmacy Technicians,From 70 to 79,3
208540,2016,Male,United States,Medicine and Surgery,From 80 to 89,3
208554,2016,Male,United States,Nursing and Midwifery,From 50 to 59,3
208560,2016,Male,United States,Dentistry and Related Specialties,From 50 to 59,3
208571,2016,Male,United Kingdom,Dentistry and Related Specialties,From 30 to 39,3
208574,2016,Male,United Kingdom,Dentistry and Related Specialties,From 50 to 59,3
208579,2016,Male,United Kingdom,Laboratories and Medical Technology,From 50 to 59,3
208585,2016,Male,United Kingdom,Medicine and Surgery,From 30 to 39,3
208586,2016,Male,United Kingdom,Therapy and Rehabilitation,From 30 to 39,3
208587,2016,Male,United States,Dentistry and Related Specialties,From 40 to 49,3
208588,2017,Female,Australia,Medicine and Surgery,From 40 to 49,3
208601,2016,Male,Yemen,Nursing and Midwifery,From 40 to 49,3
208620,2016,Male,Yemen,Laboratories and Medical Technology,From 60 to 69,3
208627,2016,Male,Unknown,Laboratories and Medical Technology,From 30 to 39,3
208645,2016,Male,Yemen,Dentistry and Related Specialties,From 60 to 69,3
208648,2016,Male,Tunisia,Technicians and Health Assistants,From 60 to 69,3
