,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Profile_Status_En,Number_of_Practitioners
209853,2016,Female,Egypt,Therapy and Rehabilitation,Temporary Suspended,2
209863,2016,Female,India,Medicine and Surgery,Temporary Suspended,2
209873,2016,Female,Immigrant Tribes,Therapy and Rehabilitation,Clear,2
209883,2016,Female,Germany,Therapy and Rehabilitation,Clear,2
209887,2016,Female,Egypt,Technicians and Health Assistants,Blacklisted,2
209904,2016,Female,Canada,Nursing and Midwifery,Temporary Suspended,2
209914,2016,Female,Czech Republic,Medicine and Surgery,Clear,2
209915,2016,Female,Czech Republic,Nursing and Midwifery,Blacklisted,2
209951,2016,Male,Malaysia,Technicians and Health Assistants,Clear,2
209962,2016,Male,Lebanon,Nursing and Midwifery,Blacklisted,2
209963,2016,Male,Lebanon,Medicine and Surgery,Blacklisted,2
209979,2016,Male,Nigeria,Medicine and Surgery,Blacklisted,2
209980,2016,Male,Nigeria,Laboratories and Medical Technology,Clear,2
209982,2016,Male,Nigeria,Dentistry and Related Specialties,Clear,2
209988,2016,Male,Netherlands,Medicine and Surgery,Clear,2
209994,2016,Male,Morocco,Laboratories and Medical Technology,Clear,2
209995,2016,Male,Morocco,Dentistry and Related Specialties,Clear,2
209998,2016,Male,Kenya,Laboratories and Medical Technology,Clear,2
210013,2016,Male,India,Unknown,Blacklisted,2
210033,2016,Male,Jordan,Pharmacists and Pharmacy Technicians,Blacklisted,2
210040,2016,Male,Jordan,Medicine and Surgery,Temporary Suspended,2
210088,2016,Male,South Africa,Pharmacists and Pharmacy Technicians,Clear,2
210094,2016,Male,Somalia,Pharmacists and Pharmacy Technicians,Clear,2
210098,2016,Male,Somalia,Dentistry and Related Specialties,Clear,2
210117,2016,Male,Palestine,Health Administration and Community Health,Clear,2
210120,2016,Male,Pakistan,Therapy and Rehabilitation,Temporary Suspended,2
210155,2016,Male,Philippines,Laboratories and Medical Technology,Temporary Suspended,2
210163,2016,Male,Palestine,Technicians and Health Assistants,Clear,2
210166,2016,Male,Palestine,Pharmacists and Pharmacy Technicians,Temporary Suspended,2
210169,2016,Male,India,Health Administration and Community Health,Clear,2
210179,2016,Female,Yemen,Medicine and Surgery,Blacklisted,2
210180,2016,Female,Yemen,Laboratories and Medical Technology,Temporary Suspended,2
210186,2016,Female,Unknown,Laboratories and Medical Technology,Clear,2
210200,2016,Male,Afghanistan,Pharmacists and Pharmacy Technicians,Clear,2
210206,2016,Male,Bahrain,Laboratories and Medical Technology,Clear,2
210219,2016,Male,Algeria,Therapy and Rehabilitation,Clear,2
210220,2016,Male,Algeria,Pharmacists and Pharmacy Technicians,Clear,2
210228,2016,Male,Bangladesh,Nursing and Midwifery,Blacklisted,2
210241,2016,Female,Syria,Medicine and Surgery,Blacklisted,2
210243,2016,Female,Syria,Dentistry and Related Specialties,Temporary Suspended,2
210246,2016,Female,Syria,Dentistry and Related Specialties,Blacklisted,2
210252,2016,Female,Sudan,Therapy and Rehabilitation,Blacklisted,2
210258,2016,Female,Turkey,Medicine and Surgery,Clear,2
210264,2016,Female,Ukraine,Medicine and Surgery,Clear,2
210279,2016,Female,Tunisia,Nursing and Midwifery,Temporary Suspended,2
210293,2016,Male,Finland,Medicine and Surgery,Clear,2
210297,2016,Male,Ethiopia,Dentistry and Related Specialties,Clear,2
210298,2016,Male,Eritrea,Therapy and Rehabilitation,Clear,2
210306,2016,Male,Eritrea,Laboratories and Medical Technology,Clear,2
210318,2016,Male,Immigrant Tribes,Therapy and Rehabilitation,Clear,2
210332,2016,Male,Greece,Dentistry and Related Specialties,Clear,2
210338,2016,Male,Germany,Dentistry and Related Specialties,Clear,2
210340,2016,Male,Egypt,Therapy and Rehabilitation,Blacklisted,2
210346,2016,Male,Canada,Technicians and Health Assistants,Clear,2
210351,2016,Male,Canada,Medicine and Surgery,Blacklisted,2
210363,2016,Male,Belgium,Medicine and Surgery,Clear,2
210372,2016,Male,Egypt,Dentistry and Related Specialties,Temporary Suspended,2
210395,2016,Male,Colombia,Dentistry and Related Specialties,Clear,2
214980,2022,Female,Nigeria,Pharmacists and Pharmacy Technicians,Clear,2
215004,2022,Female,Philippines,Dentistry and Related Specialties,Temporary Suspended,2
215021,2022,Female,Niger,Laboratories and Medical Technology,Clear,2
215026,2022,Female,Mauritania,Health Administration and Community Health,Clear,2
215031,2022,Female,Mali,Health Administration and Community Health,Clear,2
215036,2022,Female,Malaysia,Nursing and Midwifery,Blacklisted,2
215057,2022,Female,Netherlands,Laboratories and Medical Technology,Clear,2
215066,2022,Female,Morocco,Pharmacists and Pharmacy Technicians,Clear,2
215073,2022,Female,Mexico,Dentistry and Related Specialties,Clear,2
215076,2022,Female,Mauritania,Therapy and Rehabilitation,Clear,2
215080,2022,Female,South Korea,Medicine and Surgery,Clear,2
215087,2022,Female,Sudan,Dentistry and Related Specialties,Temporary Suspended,2
215090,2022,Female,Sri Lanka,Nursing and Midwifery,Clear,2
215095,2022,Female,Spain,Pharmacists and Pharmacy Technicians,Clear,2
215115,2022,Female,Thailand,Laboratories and Medical Technology,Clear,2
215119,2022,Female,Tanzania,Nursing and Midwifery,Clear,2
215154,2022,Female,Romania,Nursing and Midwifery,Clear,2
215155,2022,Female,Romania,Medicine and Surgery,Clear,2
215162,2022,Female,Philippines,Therapy and Rehabilitation,Temporary Suspended,2
215175,2022,Female,Somalia,Technicians and Health Assistants,Clear,2
215182,2022,Female,Slovakia,Medicine and Surgery,Clear,2
215184,2022,Female,Sierra Leone,Nursing and Midwifery,Clear,2
215186,2022,Female,Scotland,Therapy and Rehabilitation,Clear,2
215194,2022,Female,Burkina Faso,Nursing and Midwifery,Clear,2
215196,2022,Female,China,Medicine and Surgery,Clear,2
215197,2022,Female,China,Laboratories and Medical Technology,Clear,2
215201,2022,Female,Chad,Therapy and Rehabilitation,Clear,2
215202,2022,Female,Chad,Technicians and Health Assistants,Clear,2
215219,2022,Female,Burma,Medicine and Surgery,Clear,2
215221,2022,Female,Croatia,Medicine and Surgery,Clear,2
215229,2022,Female,Egypt,Dentistry and Related Specialties,Temporary Suspended,2
215248,2022,Female,Burkina Faso,Technicians and Health Assistants,Clear,2
215264,2022,Female,Algeria,Laboratories and Medical Technology,Clear,2
215266,2022,Female,Albania,Nursing and Midwifery,Clear,2
215268,2022,Female,Afghanistan,Pharmacists and Pharmacy Technicians,Clear,2
215281,2022,Female,Burkina Faso,Health Administration and Community Health,Clear,2
215284,2022,Female,Brazil,Medicine and Surgery,Clear,2
215285,2022,Female,Brazil,Dentistry and Related Specialties,Clear,2
215287,2022,Female,Bosnia And Herzegovina,Dentistry and Related Specialties,Clear,2
215311,2022,Female,Italy,Nursing and Midwifery,Clear,2
215313,2022,Female,Italy,Dentistry and Related Specialties,Clear,2
215318,2022,Female,Iraq,Therapy and Rehabilitation,Clear,2
215319,2022,Female,Iraq,Technicians and Health Assistants,Clear,2
215320,2022,Female,Iraq,Pharmacists and Pharmacy Technicians,Clear,2
215328,2022,Female,Iran,Dentistry and Related Specialties,Clear,2
215332,2022,Female,Indonesia,Technicians and Health Assistants,Clear,2
215341,2022,Female,Kyrgyzstan,Medicine and Surgery,Clear,2
215344,2022,Female,Kuwait,Pharmacists and Pharmacy Technicians,Clear,2
215355,2022,Female,Kazakhstan,Medicine and Surgery,Clear,2
215362,2022,Female,Indonesia,Nursing and Midwifery,Temporary Suspended,2
215368,2022,Female,Ghana,Nursing and Midwifery,Clear,2
215373,2022,Female,Germany,Laboratories and Medical Technology,Clear,2
215374,2022,Female,France,Pharmacists and Pharmacy Technicians,Clear,2
215376,2022,Female,Finland,Therapy and Rehabilitation,Clear,2
215424,2022,Male,Mexico,Dentistry and Related Specialties,Clear,2
215433,2022,Male,Mauritania,Dentistry and Related Specialties,Clear,2
215437,2022,Male,Mali,Medicine and Surgery,Clear,2
215442,2022,Male,Malaysia,Technicians and Health Assistants,Clear,2
215443,2022,Male,Malaysia,Medicine and Surgery,Clear,2
215462,2022,Male,Netherlands,Dentistry and Related Specialties,Clear,2
215463,2022,Male,Nepal,Laboratories and Medical Technology,Clear,2
215465,2022,Male,Myanmar,Therapy and Rehabilitation,Clear,2
215478,2022,Male,Niger,Medicine and Surgery,Clear,2
215494,2022,Male,Iraq,Therapy and Rehabilitation,Clear,2
215498,2022,Male,Iraq,Pharmacists and Pharmacy Technicians,Clear,2
215504,2022,Male,India,Therapy and Rehabilitation,Blacklisted,2
215506,2022,Male,Jordan,Medicine and Surgery,Blacklisted,2
215510,2022,Male,Lebanon,Health Administration and Community Health,Clear,2
215514,2022,Male,Kyrgyzstan,Medicine and Surgery,Clear,2
215518,2022,Male,Kuwait,Dentistry and Related Specialties,Clear,2
215522,2022,Male,Kenya,Nursing and Midwifery,Clear,2
215535,2022,Male,India,Technicians and Health Assistants,Blacklisted,2
215538,2022,Male,Singapore,Medicine and Surgery,Clear,2
215549,2022,Male,Scotland,Dentistry and Related Specialties,Clear,2
215554,2022,Male,Saudi Arabia,Technicians and Health Assistants,Blacklisted,2
215565,2022,Male,South Africa,Pharmacists and Pharmacy Technicians,Clear,2
215569,2022,Male,Sri Lanka,Laboratories and Medical Technology,Clear,2
215570,2022,Male,Spain,Pharmacists and Pharmacy Technicians,Clear,2
215574,2022,Male,South Korea,Dentistry and Related Specialties,Clear,2
215578,2022,Male,Slovakia,Nursing and Midwifery,Clear,2
215587,2022,Male,Slovakia,Therapy and Rehabilitation,Clear,2
215591,2022,Male,Saint Kitts And Nevis,Medicine and Surgery,Clear,2
215601,2022,Male,Pakistan,Medicine and Surgery,Temporary Suspended,2
215604,2022,Male,Pakistan,Health Administration and Community Health,Clear,2
215609,2022,Male,Norway,Medicine and Surgery,Clear,2
215626,2022,Male,Saint Kitts And Nevis,Dentistry and Related Specialties,Clear,2
215642,2022,Male,Philippines,Laboratories and Medical Technology,Temporary Suspended,2
215648,2022,Male,India,Nursing and Midwifery,Temporary Suspended,2
215662,2022,Male,Armenia,Medicine and Surgery,Clear,2
215673,2022,Male,Algeria,Laboratories and Medical Technology,Clear,2
215676,2022,Male,Bahrain,Laboratories and Medical Technology,Clear,2
215678,2022,Male,Bahrain,Nursing and Midwifery,Clear,2
215685,2022,Male,Burma,Medicine and Surgery,Clear,2
215689,2022,Male,Brazil,Dentistry and Related Specialties,Clear,2
215692,2022,Male,Bahrain,Pharmacists and Pharmacy Technicians,Clear,2
215704,2022,Male,Albania,Medicine and Surgery,Clear,2
215710,2022,Female,United Kingdom,Pharmacists and Pharmacy Technicians,Clear,2
215722,2022,Female,Turkmenistan,Medicine and Surgery,Clear,2
215738,2022,Male,Afghanistan,Laboratories and Medical Technology,Clear,2
215762,2022,Male,Canada,Technicians and Health Assistants,Clear,2
215769,2022,Male,Germany,Laboratories and Medical Technology,Clear,2
215771,2022,Male,France,Pharmacists and Pharmacy Technicians,Clear,2
215790,2022,Male,Ghana,Medicine and Surgery,Clear,2
215795,2022,Male,India,Nursing and Midwifery,Blacklisted,2
215796,2022,Male,India,Laboratories and Medical Technology,Temporary Suspended,2
215800,2022,Male,India,Laboratories and Medical Technology,Blacklisted,2
215806,2022,Male,Greece,Laboratories and Medical Technology,Clear,2
215810,2022,Male,Hungary,Medicine and Surgery,Clear,2
215823,2022,Male,Denmark,Medicine and Surgery,Clear,2
215828,2022,Male,Cuba,Dentistry and Related Specialties,Clear,2
215836,2022,Male,China,Laboratories and Medical Technology,Clear,2
215842,2022,Male,Chad,Medicine and Surgery,Clear,2
215848,2022,Male,Dominica,Dentistry and Related Specialties,Clear,2
215851,2022,Male,Egypt,Technicians and Health Assistants,Temporary Suspended,2
215866,2022,Male,Egypt,Dentistry and Related Specialties,Temporary Suspended,2
215893,2021,Female,Romania,Therapy and Rehabilitation,Clear,2
215900,2021,Female,Portugal,Medicine and Surgery,Clear,2
215909,2021,Female,South Africa,Dentistry and Related Specialties,Clear,2
215910,2021,Female,Somalia,Technicians and Health Assistants,Clear,2
215918,2021,Female,Slovakia,Medicine and Surgery,Clear,2
215936,2021,Female,Philippines,Therapy and Rehabilitation,Temporary Suspended,2
215952,2021,Female,Nigeria,Technicians and Health Assistants,Clear,2
215956,2021,Female,Nigeria,Health Administration and Community Health,Clear,2
215958,2021,Female,Niger,Therapy and Rehabilitation,Clear,2
215966,2021,Female,Philippines,Therapy and Rehabilitation,Blacklisted,2
215969,2021,Female,Philippines,Pharmacists and Pharmacy Technicians,Blacklisted,2
215990,2021,Female,South Africa,Medicine and Surgery,Clear,2
215995,2021,Female,United Kingdom,Health Administration and Community Health,Clear,2
216015,2021,Female,Tunisia,Pharmacists and Pharmacy Technicians,Clear,2
216024,2021,Male,Afghanistan,Laboratories and Medical Technology,Clear,2
216038,2021,Female,United States,Technicians and Health Assistants,Clear,2
216050,2021,Female,Thailand,Medicine and Surgery,Clear,2
216060,2021,Female,Sudan,Dentistry and Related Specialties,Temporary Suspended,2
216075,2021,Female,South Korea,Medicine and Surgery,Clear,2
216080,2021,Female,Thailand,Dentistry and Related Specialties,Clear,2
216104,2021,Female,Niger,Dentistry and Related Specialties,Clear,2
216115,2021,Female,Eritrea,Health Administration and Community Health,Clear,2
216133,2021,Female,Ethiopia,Dentistry and Related Specialties,Clear,2
216136,2021,Female,Greece,Therapy and Rehabilitation,Clear,2
216150,2021,Female,Ghana,Nursing and Midwifery,Clear,2
216152,2021,Female,Germany,Medicine and Surgery,Clear,2
216157,2021,Female,France,Dentistry and Related Specialties,Clear,2
216159,2021,Female,Ethiopia,Therapy and Rehabilitation,Clear,2
216160,2021,Female,Ethiopia,Pharmacists and Pharmacy Technicians,Clear,2
216162,2021,Female,Egypt,Dentistry and Related Specialties,Temporary Suspended,2
216176,2021,Female,Burkina Faso,Nursing and Midwifery,Clear,2
216179,2021,Female,Brazil,Medicine and Surgery,Clear,2
216183,2021,Female,Belgium,Nursing and Midwifery,Clear,2
216184,2021,Female,Belgium,Medicine and Surgery,Clear,2
216188,2021,Female,Bangladesh,Dentistry and Related Specialties,Clear,2
216192,2021,Female,Chad,Health Administration and Community Health,Clear,2
216198,2021,Female,Djibouti,Dentistry and Related Specialties,Clear,2
216207,2021,Female,Czech Republic,Medicine and Surgery,Clear,2
216209,2021,Female,Croatia,Medicine and Surgery,Clear,2
216211,2021,Female,Colombia,Dentistry and Related Specialties,Clear,2
216212,2021,Female,China,Medicine and Surgery,Clear,2
216213,2021,Female,China,Laboratories and Medical Technology,Clear,2
216214,2021,Female,Chad,Therapy and Rehabilitation,Clear,2
216220,2021,Female,New Zealand,Medicine and Surgery,Clear,2
216224,2021,Female,Malaysia,Nursing and Midwifery,Temporary Suspended,2
216226,2021,Female,Malaysia,Medicine and Surgery,Clear,2
216231,2021,Female,Lebanon,Technicians and Health Assistants,Clear,2
216238,2021,Female,Kyrgyzstan,Medicine and Surgery,Clear,2
216239,2021,Female,Kuwait,Therapy and Rehabilitation,Clear,2
216242,2021,Female,Kuwait,Pharmacists and Pharmacy Technicians,Clear,2
216254,2021,Female,Netherlands,Laboratories and Medical Technology,Clear,2
216259,2021,Female,Myanmar,Nursing and Midwifery,Clear,2
216261,2021,Female,Morocco,Pharmacists and Pharmacy Technicians,Clear,2
216264,2021,Female,Morocco,Laboratories and Medical Technology,Clear,2
216267,2021,Female,Morocco,Dentistry and Related Specialties,Clear,2
216268,2021,Female,Mexico,Dentistry and Related Specialties,Clear,2
216271,2021,Female,Mauritania,Therapy and Rehabilitation,Clear,2
216274,2021,Female,Mauritania,Medicine and Surgery,Clear,2
216283,2021,Female,Iran,Dentistry and Related Specialties,Clear,2
216285,2021,Female,Indonesia,Technicians and Health Assistants,Clear,2
216287,2021,Female,Indonesia,Nursing and Midwifery,Temporary Suspended,2
216290,2021,Female,Indonesia,Dentistry and Related Specialties,Clear,2
216294,2021,Female,India,Therapy and Rehabilitation,Blacklisted,2
216313,2021,Female,Jordan,Pharmacists and Pharmacy Technicians,Blacklisted,2
216316,2021,Female,Jordan,Laboratories and Medical Technology,Temporary Suspended,2
216319,2021,Female,Italy,Therapy and Rehabilitation,Clear,2
216323,2021,Female,Italy,Nursing and Midwifery,Clear,2
216328,2021,Female,Iraq,Therapy and Rehabilitation,Clear,2
216329,2021,Female,Iraq,Technicians and Health Assistants,Clear,2
216330,2021,Female,Iraq,Pharmacists and Pharmacy Technicians,Clear,2
216342,2021,Male,Romania,Therapy and Rehabilitation,Clear,2
216347,2021,Male,Poland,Nursing and Midwifery,Clear,2
216356,2021,Male,Philippines,Laboratories and Medical Technology,Temporary Suspended,2
216366,2021,Male,Slovakia,Nursing and Midwifery,Clear,2
216371,2021,Male,Serbia,Medicine and Surgery,Clear,2
216375,2021,Male,Scotland,Dentistry and Related Specialties,Clear,2
216379,2021,Male,Saudi Arabia,Technicians and Health Assistants,Blacklisted,2
216383,2021,Male,Saudi Arabia,Nursing and Midwifery,Temporary Suspended,2
216397,2021,Male,Niger,Pharmacists and Pharmacy Technicians,Clear,2
216402,2021,Male,Netherlands,Pharmacists and Pharmacy Technicians,Clear,2
216405,2021,Male,Morocco,Therapy and Rehabilitation,Clear,2
216407,2021,Male,Morocco,Technicians and Health Assistants,Clear,2
216411,2021,Male,Morocco,Dentistry and Related Specialties,Clear,2
216435,2021,Male,Pakistan,Medicine and Surgery,Temporary Suspended,2
216458,2021,Male,Ukraine,Pharmacists and Pharmacy Technicians,Clear,2
216470,2021,Male,Thailand,Therapy and Rehabilitation,Clear,2
216474,2021,Male,Thailand,Laboratories and Medical Technology,Clear,2
216493,2021,Male,Unknown,Nursing and Midwifery,Clear,2
216510,2021,Male,Sri Lanka,Laboratories and Medical Technology,Clear,2
216512,2021,Male,Spain,Pharmacists and Pharmacy Technicians,Clear,2
216518,2021,Male,South Africa,Therapy and Rehabilitation,Clear,2
216522,2021,Male,South Africa,Pharmacists and Pharmacy Technicians,Clear,2
216526,2021,Male,Somalia,Therapy and Rehabilitation,Clear,2
216530,2021,Male,Somalia,Laboratories and Medical Technology,Clear,2
216544,2021,Male,Syria,Health Administration and Community Health,Clear,2
216570,2021,Male,Djibouti,Medicine and Surgery,Clear,2
216581,2021,Male,Croatia,Medicine and Surgery,Clear,2
216590,2021,Male,Egypt,Dentistry and Related Specialties,Temporary Suspended,2
216602,2021,Male,Eritrea,Technicians and Health Assistants,Clear,2
216618,2021,Male,China,Dentistry and Related Specialties,Clear,2
216623,2021,Male,Bahrain,Laboratories and Medical Technology,Clear,2
216629,2021,Male,Austria,Medicine and Surgery,Clear,2
216641,2021,Male,Algeria,Pharmacists and Pharmacy Technicians,Clear,2
216643,2021,Male,Algeria,Laboratories and Medical Technology,Clear,2
216655,2021,Male,Canada,Technicians and Health Assistants,Clear,2
216671,2021,Male,Bangladesh,Technicians and Health Assistants,Clear,2
216683,2021,Male,Jordan,Medicine and Surgery,Temporary Suspended,2
216687,2021,Male,Jordan,Medicine and Surgery,Blacklisted,2
216697,2021,Male,Ireland,Therapy and Rehabilitation,Clear,2
216701,2021,Male,Ireland,Dentistry and Related Specialties,Clear,2
216702,2021,Male,Iraq,Therapy and Rehabilitation,Clear,2
216703,2021,Male,Kenya,Medicine and Surgery,Clear,2
216706,2021,Male,Lebanon,Technicians and Health Assistants,Clear,2
216712,2021,Male,Malaysia,Medicine and Surgery,Clear,2
216740,2021,Male,Immigrant Tribes,Health Administration and Community Health,Clear,2
216741,2021,Male,Iceland,Medicine and Surgery,Clear,2
216742,2021,Male,Hungary,Medicine and Surgery,Clear,2
216746,2021,Male,Greece,Laboratories and Medical Technology,Clear,2
216774,2021,Male,India,Technicians and Health Assistants,Blacklisted,2
216775,2021,Male,India,Pharmacists and Pharmacy Technicians,Blacklisted,2
216778,2021,Male,India,Nursing and Midwifery,Blacklisted,2
216788,2022,Male,Sri Lanka,Nursing and Midwifery,Clear,2
217959,2022,Male,Yemen,Medicine and Surgery,Temporary Suspended,2
217998,2022,Male,Syria,Medicine and Surgery,Temporary Suspended,2
218022,2022,Male,Ukraine,Pharmacists and Pharmacy Technicians,Clear,2
218025,2022,Male,Uganda,Therapy and Rehabilitation,Clear,2
218616,2021,Female,Bahrain,Pharmacists and Pharmacy Technicians,Clear,2
218618,2018,Female,Indonesia,Nursing and Midwifery,Temporary Suspended,2
218642,2018,Female,India,Health Administration and Community Health,Clear,2
218645,2017,Male,Russia,Dentistry and Related Specialties,Clear,2
218652,2018,Female,Jordan,Pharmacists and Pharmacy Technicians,Blacklisted,2
218654,2018,Female,Jordan,Laboratories and Medical Technology,Temporary Suspended,2
218657,2018,Female,Italy,Nursing and Midwifery,Clear,2
218658,2018,Female,Italy,Medicine and Surgery,Clear,2
218659,2018,Female,Italy,Dentistry and Related Specialties,Clear,2
218669,2018,Female,Iraq,Laboratories and Medical Technology,Clear,2
218674,2018,Female,Immigrant Tribes,Therapy and Rehabilitation,Clear,2
218684,2018,Female,Eritrea,Health Administration and Community Health,Clear,2
218686,2018,Female,Egypt,Therapy and Rehabilitation,Temporary Suspended,2
218694,2018,Female,Egypt,Nursing and Midwifery,Blacklisted,2
218698,2018,Female,Egypt,Laboratories and Medical Technology,Temporary Suspended,2
218706,2018,Female,Immigrant Tribes,Pharmacists and Pharmacy Technicians,Clear,2
218710,2018,Female,Immigrant Tribes,Health Administration and Community Health,Clear,2
218719,2018,Female,Germany,Nursing and Midwifery,Clear,2
218720,2018,Female,Germany,Medicine and Surgery,Clear,2
218724,2018,Female,France,Dentistry and Related Specialties,Clear,2
218745,2018,Female,Pakistan,Health Administration and Community Health,Clear,2
218751,2018,Female,Oman,Medicine and Surgery,Clear,2
218788,2018,Female,Kenya,Dentistry and Related Specialties,Clear,2
218790,2018,Female,Macedonia,Nursing and Midwifery,Clear,2
218794,2018,Female,Lebanon,Technicians and Health Assistants,Clear,2
218808,2018,Female,Kuwait,Dentistry and Related Specialties,Clear,2
218811,2018,Female,Kenya,Nursing and Midwifery,Clear,2
218814,2018,Female,Kenya,Laboratories and Medical Technology,Clear,2
218816,2018,Female,Malaysia,Medicine and Surgery,Clear,2
218830,2018,Female,Morocco,Laboratories and Medical Technology,Clear,2
218834,2018,Female,Morocco,Dentistry and Related Specialties,Clear,2
218835,2018,Female,Mauritania,Therapy and Rehabilitation,Clear,2
218836,2018,Female,Mauritania,Laboratories and Medical Technology,Clear,2
218845,2018,Female,Djibouti,Nursing and Midwifery,Clear,2
218855,2017,Male,Sweden,Nursing and Midwifery,Clear,2
218861,2017,Male,Sudan,Nursing and Midwifery,Temporary Suspended,2
218865,2017,Male,Sudan,Medicine and Surgery,Temporary Suspended,2
218876,2017,Male,United Arab Emirates,Medicine and Surgery,Clear,2
218901,2017,Male,Sri Lanka,Technicians and Health Assistants,Blacklisted,2
218907,2017,Male,Somalia,Dentistry and Related Specialties,Clear,2
218930,2017,Male,Somalia,Pharmacists and Pharmacy Technicians,Clear,2
218936,2017,Male,Sri Lanka,Laboratories and Medical Technology,Clear,2
218950,2017,Male,South Africa,Pharmacists and Pharmacy Technicians,Clear,2
218955,2017,Male,South Africa,Dentistry and Related Specialties,Clear,2
218958,2017,Male,United Kingdom,Medicine and Surgery,Blacklisted,2
218978,2018,Female,Bangladesh,Nursing and Midwifery,Temporary Suspended,2
218983,2018,Female,Bangladesh,Laboratories and Medical Technology,Clear,2
218986,2018,Female,Chad,Laboratories and Medical Technology,Clear,2
218988,2018,Female,Chad,Medicine and Surgery,Clear,2
218997,2018,Female,Czech Republic,Technicians and Health Assistants,Clear,2
219019,2017,Male,Venezuela,Medicine and Surgery,Clear,2
219022,2017,Male,Unknown,Therapy and Rehabilitation,Clear,2
219023,2017,Male,Unknown,Nursing and Midwifery,Clear,2
219057,2018,Female,Algeria,Therapy and Rehabilitation,Clear,2
219064,2018,Female,Afghanistan,Laboratories and Medical Technology,Clear,2
219080,2018,Male,Indonesia,Nursing and Midwifery,Blacklisted,2
219084,2018,Male,India,Unknown,Blacklisted,2
219093,2018,Male,India,Pharmacists and Pharmacy Technicians,Temporary Suspended,2
219105,2018,Male,Kenya,Laboratories and Medical Technology,Clear,2
219110,2018,Male,Jordan,Pharmacists and Pharmacy Technicians,Blacklisted,2
219114,2018,Male,Jordan,Medicine and Surgery,Temporary Suspended,2
219117,2018,Male,Jordan,Medicine and Surgery,Blacklisted,2
219120,2018,Male,Jordan,Dentistry and Related Specialties,Blacklisted,2
219125,2018,Male,Ireland,Therapy and Rehabilitation,Clear,2
219139,2018,Male,Ethiopia,Dentistry and Related Specialties,Clear,2
219140,2018,Male,Eritrea,Therapy and Rehabilitation,Clear,2
219165,2018,Male,Immigrant Tribes,Technicians and Health Assistants,Clear,2
219166,2018,Male,Immigrant Tribes,Pharmacists and Pharmacy Technicians,Clear,2
219169,2018,Male,Greece,Therapy and Rehabilitation,Clear,2
219203,2018,Male,Palestine,Health Administration and Community Health,Clear,2
219205,2018,Male,Palestine,Dentistry and Related Specialties,Temporary Suspended,2
219222,2018,Male,Russia,Dentistry and Related Specialties,Clear,2
219251,2018,Male,Malaysia,Therapy and Rehabilitation,Clear,2
219253,2018,Male,Malaysia,Technicians and Health Assistants,Clear,2
219260,2018,Male,Lebanon,Technicians and Health Assistants,Clear,2
219265,2018,Male,Lebanon,Nursing and Midwifery,Blacklisted,2
219287,2018,Male,Myanmar,Health Administration and Community Health,Clear,2
219289,2018,Male,Nigeria,Medicine and Surgery,Blacklisted,2
219292,2018,Male,Nigeria,Health Administration and Community Health,Clear,2
219297,2018,Male,Netherlands,Pharmacists and Pharmacy Technicians,Clear,2
219309,2018,Female,Syria,Dentistry and Related Specialties,Blacklisted,2
219311,2018,Female,Sweden,Nursing and Midwifery,Clear,2
219325,2018,Female,Sudan,Laboratories and Medical Technology,Temporary Suspended,2
219333,2018,Female,United Arab Emirates,Medicine and Surgery,Clear,2
219341,2018,Female,Turkey,Pharmacists and Pharmacy Technicians,Clear,2
219343,2018,Female,Turkey,Dentistry and Related Specialties,Clear,2
219352,2018,Female,Thailand,Laboratories and Medical Technology,Clear,2
219364,2018,Female,Saudi Arabia,Technicians and Health Assistants,Temporary Suspended,2
219366,2018,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Temporary Suspended,2
219377,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Temporary Suspended,2
219390,2018,Female,Sudan,Dentistry and Related Specialties,Blacklisted,2
219394,2018,Female,Spain,Medicine and Surgery,Clear,2
219400,2018,Female,South Africa,Technicians and Health Assistants,Clear,2
219407,2018,Female,South Africa,Dentistry and Related Specialties,Clear,2
219436,2018,Male,Bangladesh,Medicine and Surgery,Blacklisted,2
219450,2018,Male,Egypt,Dentistry and Related Specialties,Temporary Suspended,2
219464,2018,Male,Colombia,Dentistry and Related Specialties,Clear,2
219473,2018,Male,Bahrain,Laboratories and Medical Technology,Clear,2
219480,2018,Female,Yemen,Laboratories and Medical Technology,Temporary Suspended,2
219486,2018,Female,Unknown,Laboratories and Medical Technology,Clear,2
219504,2018,Male,Azerbaijan,Medicine and Surgery,Clear,2
219521,2018,Male,Afghanistan,Laboratories and Medical Technology,Clear,2
219528,2017,Male,Romania,Medicine and Surgery,Clear,2
219533,2017,Female,Jordan,Nursing and Midwifery,Blacklisted,2
219535,2017,Female,Jordan,Laboratories and Medical Technology,Temporary Suspended,2
219541,2017,Female,Italy,Nursing and Midwifery,Clear,2
219543,2017,Female,Italy,Medicine and Surgery,Clear,2
219544,2017,Female,Italy,Dentistry and Related Specialties,Clear,2
219556,2017,Female,Jordan,Pharmacists and Pharmacy Technicians,Blacklisted,2
219581,2017,Female,Kenya,Laboratories and Medical Technology,Clear,2
219586,2017,Female,Iraq,Laboratories and Medical Technology,Clear,2
219591,2017,Female,Immigrant Tribes,Therapy and Rehabilitation,Clear,2
219592,2017,Female,Immigrant Tribes,Pharmacists and Pharmacy Technicians,Clear,2
