,Academic_Year,Current_Medical_Field_En,Current_Speciality_Name_En,Number_of_Trainees
1925,2020,Medicine and Surgery,Breast And Gynecologic Pathology,2
1926,2022,Medicine and Surgery,Reconstructive Surgery,2
1927,2021,Medicine and Surgery,Clinical Neurophysiology,2
1928,2020,Medicine and Surgery,Breast Imaging,2
1929,2022,Medicine and Surgery,Breast And Gynecologic Pathology,2
1930,2016,Medicine and Surgery,Geriatric Medicine,2
1931,2020,Medicine and Surgery,Clinical Neurophysiology,2
1932,2022,Medicine and Surgery,Regional Anesthesia,2
1933,2021,Medicine and Surgery,Breast And Gynecologic Pathology,2
1935,2022,Medicine and Surgery,Adult Stem Cell Transplantation,2
1941,2016,Medicine and Surgery,Head And Neck Oncology Surgery,2
1942,2021,Medicine and Surgery,Adult Stem Cell Transplantation,2
1943,2020,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,2
1944,2016,Medicine and Surgery,Hematopathology,2
1946,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,2
1947,2022,Medicine and Surgery,Clinical Neurophysiology,2
1949,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Medication Safety,2
1951,2020,Medicine and Surgery,Thoracic Surgery,2
1952,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,2
1954,2016,Medicine and Surgery,Nephropathology Renal Transplant Pathology,2
1956,2016,Dentistry and Related Specialties,Family Dentistry,2
1959,2021,Medicine and Surgery,Orthopedic Trauma Surgery,2
1960,2022,Medicine and Surgery,Pediatric Neurology,2
1964,2022,Medicine and Surgery,Transplant Hepatology,2
1966,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,2
1968,2021,Medicine and Surgery,Pediatric Neurosurgery,2
1970,2021,Medicine and Surgery,Reconstructive Surgery,2
1971,2022,Medicine and Surgery,Skull Base Neurosurgery,2
1972,2022,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,2
1974,2016,Medicine and Surgery,Advanced General Pediatric,2
1975,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,2
1976,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,2
1979,2021,Medicine and Surgery,Neuro-Ophthalmology,2
1981,2022,Medicine and Surgery,Mental Health,2
1990,2016,Medicine and Surgery,Neuro-Ophthalmology,2
1992,2021,Medicine and Surgery,Skull Base Neurosurgery,2
1999,2018,Laboratories and Medical Technology,Clinical Audiology,2
2000,2019,Medicine and Surgery,Clinical Neurophysiology,2
2003,2019,Medicine and Surgery,Thoracic Surgery,2
2014,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,2
2016,2019,Medicine and Surgery,Reconstructive Surgery,2
2020,2016,Nursing and Midwifery,Adult Critical Care Nursing,2
2021,2019,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,2
2022,2019,Medicine and Surgery,Head And Neck Oncology Surgery,2
2028,2018,Medicine and Surgery,Movement Disorder,2
2030,2018,Medicine and Surgery,Nephropathology Renal Transplant Pathology,2
2031,2018,Medicine and Surgery,Neuro-Ophthalmology,2
2039,2017,Medicine and Surgery,Geriatric Medicine,2
2042,2017,Medicine and Surgery,Skull Base Neurosurgery,2
2046,2017,Medicine and Surgery,Nephropathology Renal Transplant Pathology,2
2054,2018,Medicine and Surgery,Skull Base Neurosurgery,2
2060,2017,Medicine and Surgery,Head And Neck Oncology Surgery,2
2063,2020,Medicine and Surgery,Advanced General Pediatric,2
2064,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,2
2065,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition,2
2075,2018,Medicine and Surgery,Mental Health,1
2076,2018,Medicine and Surgery,Interventional Nephrology,1
2080,2021,Medicine and Surgery,Pediatric Cardiac Critical Care,1
2081,2017,Medicine and Surgery,Anesthesia and Intensive Care,1
2082,2018,Medicine and Surgery,Head And Neck Oncology Surgery,1
2086,2016,Medicine and Surgery,Anesthesia and Intensive Care,1
2087,2018,Medicine and Surgery,Radiation Oncology,1
2089,2018,Medicine and Surgery,Regional Anesthesia,1
2093,2016,Medicine and Surgery,Breast Imaging,1
2096,2018,Medicine and Surgery,Transplant Hepatology,1
2100,2016,Medicine and Surgery,Bone And Soft Tissue Pathology,1
2109,2017,Medicine and Surgery,Addiction Psychiatry,1
2123,2017,Medicine and Surgery,Hematopathology,1
2126,2022,Medicine and Surgery,Pediatric Stem Cell Transplantation,1
2135,2022,Medicine and Surgery,Pediatric Cardiac Critical Care,1
2136,2017,Medicine and Surgery,Transplant Hepatology,1
2141,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,1
2142,2017,Medicine and Surgery,Pediatric Cardiac Critical Care,1
2143,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,1
2146,2017,Medicine and Surgery,Military Field Medicine,1
2147,2017,Medicine and Surgery,Mental Health,1
2148,2017,Medicine and Surgery,Regional Anesthesia,1
2150,2022,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,1
2153,2017,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine,1
2154,2017,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,1
2161,2018,Medicine and Surgery,Anesthesia and Intensive Care,1
2162,2018,Medicine and Surgery,Bone And Soft Tissue Pathology,1
2163,2022,Medicine and Surgery,Bone And Soft Tissue Pathology,1
2172,2017,Medicine and Surgery,Bone And Soft Tissue Pathology,1
2174,2016,Medicine and Surgery,Addiction Psychiatry,1
2178,2022,Medicine and Surgery,Neuro-Ophthalmology,1
2179,2022,Medicine and Surgery,Nephropathology Renal Transplant Pathology,1
2180,2018,Dentistry and Related Specialties,Family Dentistry,1
2185,2022,Medicine and Surgery,Interventional Nephrology,1
2186,2018,Laboratories and Medical Technology,Clinical Biochemistry,1
2187,2022,Medicine and Surgery,Head And Neck Oncology Surgery,1
2199,2016,Medicine and Surgery,Regional Anesthesia,1
2211,2020,Medicine and Surgery,Pediatric Cardiac Critical Care,1
2216,2019,Medicine and Surgery,Skull Base Neurosurgery,1
2218,2016,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine,1
2221,2016,Medicine and Surgery,Transplant Hepatology,1
2223,2020,Medicine and Surgery,Skull Base Neurosurgery,1
2225,2016,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,1
2229,2020,Medicine and Surgery,Regional Anesthesia,1
2230,2020,Medicine and Surgery,Reconstructive Surgery,1
2231,2019,Medicine and Surgery,Regional Anesthesia,1
2259,2020,Medicine and Surgery,Addiction Psychiatry,1
2267,2020,Medicine and Surgery,Nephropathology Renal Transplant Pathology,1
2273,2016,Medicine and Surgery,Pediatric Cardiac Critical Care,1
2278,2020,Medicine and Surgery,Head And Neck Oncology Surgery,1
2284,2019,Medicine and Surgery,Bone And Soft Tissue Pathology,1
2290,2019,Medicine and Surgery,Breast And Gynecologic Pathology,1
2291,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,1
2293,2019,Medicine and Surgery,Anesthesia and Intensive Care,1
2315,2021,Medicine and Surgery,Head And Neck Oncology Surgery,1
2321,2021,Medicine and Surgery,Interventional Nephrology,1
2323,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Medication Safety,1
2327,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition,1
2330,2019,Medicine and Surgery,Nephropathology Renal Transplant Pathology,1
2336,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,1
2338,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Medication Safety,1
2343,2019,Medicine and Surgery,Pediatric Cardiac Critical Care,1
2345,2016,Medicine and Surgery,Mental Health,1
