,Academic_Year,Current_Medical_Field_En,Current_Program_Name_En,Total_Trainees,Graduated_Trainees,Success_Rate
1794,2016,Medicine and Surgery,Gynecology Oncology,6,1,0.17
1797,2017,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,12,2,0.17
1805,2020,Nursing and Midwifery,Adult Critical Care Nursing Diploma,69,9,0.13
1807,2018,Medicine and Surgery,Pediatric Rheumatology,8,1,0.12
1809,2018,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,8,1,0.12
1810,2016,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,16,2,0.12
1813,2017,Medicine and Surgery,Pediatric Surgery - Residency,9,1,0.11
1830,2021,Medicine and Surgery,Clinical Neurosurgery,1,0,0.0
1838,2021,Medicine and Surgery,Forensic Medicine,1,0,0.0
1840,2021,Medicine and Surgery,Neurology,1,0,0.0
1841,2021,Medicine and Surgery,Interventional Nephrology,1,0,0.0
1842,2020,Medicine and Surgery,Glaucoma,9,0,0.0
1846,2021,Medicine and Surgery,Anesthesia,6,0,0.0
1850,2021,Medicine and Surgery,Cornea/ External Disease,1,0,0.0
1856,2021,Medicine and Surgery,Dermatology,1,0,0.0
1858,2018,Medicine and Surgery,Vitreoretinal Surgery,6,0,0.0
1859,2019,Medicine and Surgery,Medical Retina And Uveitis,6,0,0.0
1861,2018,Medicine and Surgery,Women's Health,6,0,0.0
1865,2021,Medicine and Surgery,Pediatric Surgery - Residency,1,0,0.0
1867,2021,Medicine and Surgery,Radiation Oncology,1,0,0.0
1873,2021,Nursing and Midwifery,Adult Critical Care Nursing Diploma,1,0,0.0
1874,2021,Nursing and Midwifery,Cardiac Care Nursing Diploma,1,0,0.0
1876,2021,Medicine and Surgery,Plastic And Reconstrucrive Surgery,1,0,0.0
1884,2021,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,1,0,0.0
1886,2021,Nursing and Midwifery,Midwifery Nursing Diploma,1,0,0.0
1896,2021,Medicine and Surgery,Vitreoretinal Diseases And Surgery,6,0,0.0
1897,2021,Medicine and Surgery,Pediatrics Intensive Care,1,0,0.0
1900,2021,Medicine and Surgery,Women's Health,1,0,0.0
1917,2020,Dentistry and Related Specialties,Advanced Education In General Dentistry Diploma,21,0,0.0
1932,2020,Laboratories and Medical Technology,Medical Microbiology,1,0,0.0
1948,2020,Medicine and Surgery,Cornea/ External Disease,1,0,0.0
1954,2020,Medicine and Surgery,Addiction Psychiatry,1,0,0.0
1963,2021,Medicine and Surgery,Diagnostic Radiology,6,0,0.0
1964,2018,Medicine and Surgery,Nephropathology Renal Transplant Pathology,1,0,0.0
1965,2018,Medicine and Surgery,Medical Retina & Uveitis,1,0,0.0
1966,2018,Medicine and Surgery,Cornea/ External Disease And Retractive Surgery,1,0,0.0
1967,2018,Medicine and Surgery,Bone And Soft Tissue Pathology,1,0,0.0
1969,2018,Medicine and Surgery,Adult Orthopedic Reconstructive Surgery,1,0,0.0
1971,2017,Medicine and Surgery,Nephropathology Renal Transplant Pathology,1,0,0.0
1972,2017,Medicine and Surgery,Hematopathology,1,0,0.0
1974,2017,Medicine and Surgery,Family Medicine – 3 Years Track,1,0,0.0
1975,2017,Medicine and Surgery,Cornea/ External Disease And Retractive Surgery,1,0,0.0
1976,2016,Medicine and Surgery,"Cornea, External Eye Diseases And Refractive Surgery",20,0,0.0
1978,2020,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,7,0,0.0
1980,2017,Medicine and Surgery,Cornea/ External Disease,8,0,0.0
1984,2019,Medicine and Surgery,Oculoplastic And Orbit Surgery,6,0,0.0
1986,2019,Medicine and Surgery,Radiation Oncology,1,0,0.0
1989,2018,Medicine and Surgery,Neuro-Ophthalmology,1,0,0.0
1990,2017,Medicine and Surgery,Adult Orthopedic Reconstructive Surgery,1,0,0.0
1992,2016,Medicine and Surgery,Emergency Medicine Diploma,1,0,0.0
1996,2021,Medicine and Surgery,General Surgery,21,0,0.0
1997,2019,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,6,0,0.0
2003,2020,Medicine and Surgery,Neuro-Ophthalmology,1,0,0.0
2008,2019,Medicine and Surgery,Bone And Soft Tissue Pathology,1,0,0.0
2009,2016,Medicine and Surgery,Nephropathology Renal Transplant Pathology,1,0,0.0
2011,2016,Medicine and Surgery,Family Medicine – 3 Years Track,1,0,0.0
2012,2016,Medicine and Surgery,Adult Orthopedic Reconstructive Surgery,1,0,0.0
2016,2018,Medicine and Surgery,Cornea/ External Disease,8,0,0.0
2019,2021,Medicine and Surgery,Internal Medicine,36,0,0.0
2020,2021,Medicine and Surgery,Orthopedic Surgery,1,0,0.0
2023,2019,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,7,0,0.0
2025,2018,Medicine and Surgery,Family Medicine – 3 Years Track,4,0,0.0
2028,2018,Medicine and Surgery,Thoracic Surgery,2,0,0.0
2030,2021,Medicine and Surgery,Urology,2,0,0.0
2031,2021,Medicine and Surgery,Pediatric Medicine,13,0,0.0
2032,2021,Medicine and Surgery,Cardiac Surgery,2,0,0.0
2035,2021,Medicine and Surgery,Medical Retina & Uveitis,2,0,0.0
2036,2018,Medicine and Surgery,Infection Control,63,0,0.0
2037,2021,Medicine and Surgery,Women Image,2,0,0.0
2039,2021,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,4,0,0.0
2041,2019,Medicine and Surgery,Cornea/ External Disease,2,0,0.0
2042,2021,Medicine and Surgery,Family Medicine,2,0,0.0
2043,2021,Nursing and Midwifery,Oncology Nursing Diploma,2,0,0.0
2044,2018,Medicine and Surgery,Renal Transplant Surgery,4,0,0.0
2048,2019,Medicine and Surgery,Renal Transplant Surgery,2,0,0.0
2049,2016,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,10,0,0.0
2050,2017,Medicine and Surgery,Infection Control,38,0,0.0
2056,2020,Medicine and Surgery,"Cornea, External Eye Diseases And Refractive Surgery",14,0,0.0
2060,2022,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,8,0,0.0
2064,2016,Medicine and Surgery,Glaucoma,13,0,0.0
2071,2021,Medicine and Surgery,Obstetrics & Gynecology,10,0,0.0
2075,2021,Medicine and Surgery,Family Medicine – 3 Years Track,13,0,0.0
2080,2021,Medicine and Surgery,Glaucoma,4,0,0.0
2081,2020,Medicine and Surgery,Medical Retina & Uveitis,2,0,0.0
2082,2021,Medicine and Surgery,Neurology - 5 Years Track,2,0,0.0
2083,2022,Medicine and Surgery,Gastroenterology,2,0,0.0
2085,2021,Medicine and Surgery,Preventive Medicine,3,0,0.0
2086,2017,Medicine and Surgery,Oculoplastic And Orbit Surgery,3,0,0.0
2087,2017,Medicine and Surgery,Oculoplastic & Orbit,3,0,0.0
2089,2019,Medicine and Surgery,Family Medicine – 3 Years Track,11,0,0.0
2091,2020,Medicine and Surgery,Oculoplastic & Orbit,3,0,0.0
2092,2020,Medicine and Surgery,Neurology,3,0,0.0
2093,2017,Medicine and Surgery,Internal Medicine – Jrtp,3,0,0.0
2094,2018,Medicine and Surgery,Glaucoma,11,0,0.0
2095,2018,Medicine and Surgery,Oculoplastic And Orbit Surgery,3,0,0.0
2097,2019,Medicine and Surgery,Women's Health,3,0,0.0
2100,2018,Medicine and Surgery,Oculoplastic & Orbit,3,0,0.0
2101,2019,Medicine and Surgery,Neuro-Ophthalmology,3,0,0.0
2102,2018,Medicine and Surgery,Medical Retina And Uveitis,3,0,0.0
2106,2019,Dentistry and Related Specialties,Advanced Education In General Dentistry Diploma,36,0,0.0
2108,2020,Dentistry and Related Specialties,Family Dentistry,3,0,0.0
2109,2022,Medicine and Surgery,Adult Critical Care Medicine - Fellowship,3,0,0.0
2110,2018,Medicine and Surgery,Renal Transplant,3,0,0.0
2111,2017,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,11,0,0.0
2113,2018,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,11,0,0.0
2115,2021,Medicine and Surgery,Neuro-Ophthalmology,2,0,0.0
2116,2022,Medicine and Surgery,Adult Cardiology,2,0,0.0
2119,2021,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,4,0,0.0
2120,2021,Medicine and Surgery,Emergency Medicine,2,0,0.0
2121,2019,Medicine and Surgery,Adult Psychosomatic Medicine,2,0,0.0
2125,2020,Medicine and Surgery,Oculoplastic And Orbit Surgery,3,0,0.0
2126,2018,Medicine and Surgery,Vitreoretinal Diseases And Surgery,12,0,0.0
2127,2021,Medicine and Surgery,Anatomic Pathology,3,0,0.0
2129,2017,Medicine and Surgery,Vitreoretinal Diseases And Surgery,12,0,0.0
2133,2020,Medicine and Surgery,Family Medicine – 3 Years Track,12,0,0.0
2134,2019,Medicine and Surgery,Vitreoretinal Diseases And Surgery,12,0,0.0
2135,2020,Medicine and Surgery,Vitreoretinal Diseases And Surgery,12,0,0.0
2137,2020,Medicine and Surgery,Medical Retina And Uveitis,3,0,0.0
2140,2021,Medicine and Surgery,Oculoplastic & Orbit,3,0,0.0
2141,2018,Dentistry and Related Specialties,Advanced Education In General Dentistry Diploma,24,0,0.0
2144,2022,Medicine and Surgery,Pediatric Cardiology,1,0,0.0
2145,2022,Medicine and Surgery,Nephrology,1,0,0.0
2146,2016,Dentistry and Related Specialties,Advanced Education In General Dentistry Diploma,9,0,0.0
2149,2020,Medicine and Surgery,Radiation Oncology,1,0,0.0
2150,2022,Medicine and Surgery,Gynecology Oncology,1,0,0.0
2151,2018,Medicine and Surgery,Pediatric Radiology,5,0,0.0
2152,2022,Medicine and Surgery,Diabetes,1,0,0.0
2156,2022,Medicine and Surgery,Cardiac Anesthesia,1,0,0.0
2157,2021,Laboratories and Medical Technology,Saudi Diploma In Audiology,1,0,0.0
2159,2021,Medicine and Surgery,Psychiatry,1,0,0.0
2161,2017,Medicine and Surgery,Emergency Medicine Diploma,8,0,0.0
2163,2019,Medicine and Surgery,Glaucoma,9,0,0.0
2168,2021,Medicine and Surgery,Adult Critical Care Medicine - Residency,1,0,0.0
2172,2022,Medicine and Surgery,Neurosurgery Skull-Base,1,0,0.0
2175,2022,Medicine and Surgery,Pediatric Endocrinology,1,0,0.0
2187,2017,Medicine and Surgery,Vitreoretinal Surgery,6,0,0.0
2189,2022,Medicine and Surgery,Adults Infectious Diseases,1,0,0.0
2195,2022,Medicine and Surgery,Adults Endocrinology,1,0,0.0
2198,2021,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopedics - 3 Years Track,1,0,0.0
2199,2018,Medicine and Surgery,"Cornea, External Eye Diseases And Refractive Surgery",15,0,0.0
2200,2021,Dentistry and Related Specialties,Pediatric Dentistry - 3 Years Track,1,0,0.0
2201,2018,Medicine and Surgery,Women Image,5,0,0.0
2206,2021,Medicine and Surgery,Addiction Psychiatry,1,0,0.0
2208,2018,Medicine and Surgery,Clinical Neurophysiology,2,0,0.0
2212,2017,Dentistry and Related Specialties,Advanced Education In General Dentistry Diploma,14,0,0.0
2213,2021,Nursing and Midwifery,Emergency Nursing Diploma,5,0,0.0
2214,2019,Medicine and Surgery,Infection Control,55,0,0.0
2215,2018,Medicine and Surgery,Gynecology Oncology,2,0,0.0
2216,2016,Medicine and Surgery,Oculoplastic & Orbit,2,0,0.0
2218,2017,Medicine and Surgery,Glaucoma,14,0,0.0
2219,2016,Medicine and Surgery,Medical Retina And Uveitis,5,0,0.0
2220,2016,Medicine and Surgery,Vitreoretinal Diseases And Surgery,14,0,0.0
2222,2019,Medicine and Surgery,"Cornea, External Eye Diseases And Refractive Surgery",14,0,0.0
2229,2016,Medicine and Surgery,Pediatric Echocardioghraphy,5,0,0.0
2230,2016,Medicine and Surgery,Oculoplastic And Orbit Surgery,5,0,0.0
2232,2021,Medicine and Surgery,"Cornea, External Eye Diseases And Refractive Surgery",8,0,0.0
2236,2018,Medicine and Surgery,Breast And Endocrine Surgical Oncology,5,0,0.0
2237,2018,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,2,0,0.0
2242,2018,Medicine and Surgery,Internal Medicine – Jrtp,2,0,0.0
2243,2017,Medicine and Surgery,Gynecology Oncology,2,0,0.0
2247,2018,Medicine and Surgery,Musculoskeletal Oncology Fellowship,2,0,0.0
2251,2018,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries,2,0,0.0
2252,2017,Medicine and Surgery,Medical Retina & Uveitis,2,0,0.0
2253,2017,Medicine and Surgery,Medical Retina And Uveitis,2,0,0.0
2254,2019,Medicine and Surgery,Women Image,5,0,0.0
2256,2016,Medicine and Surgery,Hematopathology,2,0,0.0
2257,2017,Medicine and Surgery,Neuro-Ophthalmology,2,0,0.0
2258,2016,Medicine and Surgery,Medical Retina & Uveitis,2,0,0.0
2260,2016,Medicine and Surgery,Cornea/ External Disease,2,0,0.0
2261,2017,Medicine and Surgery,"Cornea, External Eye Diseases And Refractive Surgery",14,0,0.0
2263,2016,Medicine and Surgery,Neuro-Ophthalmology,2,0,0.0
