,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Current_Speciality_Name_En,Number_of_Trainees
11672,2020,Madinah,Maternity and Children Hospital in Medina,Pediatric Surgery,3
11681,2016,Dhahran,Eye Specialist Hospital in Dhahran,Cornea/ External Disease,3
11682,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult & Pediatric Orthopedic Spinal Surgery,3
11683,2020,Madinah,King Fahd Hospital in Medina,Pediatric Dentistry,3
11684,2021,Riyadh,Security Forces Hospital in Riyadh,Adult Cardiology,3
11685,2016,Dhahran,King Fahd Military Medical Complex in Dhahran,Pediatrics,3
11687,2019,Riyadh,King Khalid University Hospital in Riyadh,Anatomic Pathology,3
11688,2019,Taif,King Faisal Medical Complex in Taif,Otorhinolaryngology Head And Neck Surgery,3
11689,2019,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,General Surgery,3
11690,2019,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Emergency Medicine,3
11691,2019,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Diagnostic Radiology,3
11695,2020,Jeddah,King Abdullah Medical Complex in Jeddah,Diagnostic Radiology,3
11697,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Dentistry,3
11698,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Orthopedic Surgery,3
11700,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Nephrology,3
11701,2019,Manama,Salmaniya Medical Complex in Manama,Psychiatry,3
11702,2019,Taif,King Abdulaziz Specialist Hospital in Taif,Urology,3
11703,2019,Manama,Salmaniya Medical Complex in Manama,Neurology,3
11708,2021,Riyadh,Security Forces Hospital in Riyadh,Adult Nephrology,3
11710,2016,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Endodontics,3
11711,2019,Manama,King Hamad University Hospital in Kingdom of Bahrain,Urology,3
11714,2016,Dhahran,King Fahd Military Medical Complex in Dhahran,Diagnostic Radiology,3
11715,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Interventional Neuro-Radiology,3
11719,2022,Riyadh,Joint Training Program in the Central Region,Gastroenterology,3
11721,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Clinical Pharmacy,3
11722,2019,Madinah,General Directorate of Health Affairs in Madinah,Family Medicine,3
11725,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Renal Transplant,3
11726,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Restorative Dentistry,3
11728,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Interventional Neuro-Radiology,3
11729,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Obstetrics & Gynecology,3
11730,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Orthopedic Surgery,3
11735,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Body Imaging & Non-Vascular Intervention,3
11736,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Adult Respiratory Medicine,3
11737,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Perinatal Neonatal Medicine,3
11738,2019,Madinah,King Fahd Hospital in Medina,Endodontics,3
11739,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Orthodontic and Dentofacial Orthopedics,3
11741,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Pediatric Surgery,3
11742,2020,Madinah,King Fahd Hospital in Medina,Adult Nephrology,3
11743,2022,Riyadh,Joint Training Program in the Central Region,Pain Medicine,3
11748,2019,Madinah,King Fahd Hospital in Medina,Adult Critical Care Medicine,3
11752,2022,Riyadh,Medical City of King Saud University in Riyadh,Arthroscopy And Orthopedic Sport Injuries,3
11754,2019,Madinah,King Fahd Hospital in Medina,Neurology,3
11756,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Adult Cardiology,3
11757,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Dermatology,3
11759,2019,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Dermatology,3
11761,2021,Riyadh,Medical City of King Saud University in Riyadh,Pediatrics Infectious Diseases,3
11763,2021,Riyadh,Medical City of King Saud University in Riyadh,Pediatrics Emergency Medicine,3
11764,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Rheumatology,3
11765,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Orthopedic Surgery,3
11767,2020,Jeddah,Maternity and Children Hospital in Jeddah,Pediatrics Emergency Medicine,3
11768,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Perinatal Neonatal Medicine,3
11769,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Restorative Dentistry,3
11770,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Perinatal Neonatal Medicine,3
11773,2021,Riyadh,Medical City of King Saud University in Riyadh,Plastic Surgery,3
11775,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Plastic Surgery,3
11777,2022,Riyadh,Medical City of King Saud University in Riyadh,Child And Adolescent Psychiatry,3
11780,2020,Al-Ahsa,Prince Saud bin Jalawi Hospital in Alahsa,General Surgery,3
11781,2016,Jeddah,The program of the Ministry of Health in Jeddah,Preventive Medicine,3
11782,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatrics Infectious Diseases,3
11783,2019,Khobar,King Fahd University Hospital in Khobar,Diabetes​,3
11785,2016,Jouf,Muktt 5 primary health care center in Aljowf,Family Medicine,3
11786,2016,Jouf,The program of the Ministry of Health in Al-Jouf,Family Medicine,3
11787,2016,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,Diagnostic Radiology,3
11790,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Gastroenterology,3
11793,2020,Abha,General Directorate of Health Affairs in Aseer Region,Diagnostic Radiology,3
11794,2022,Riyadh,King Khalid University Hospital in Riyadh,Gastroenterology,3
11796,2020,Abha,General Directorate of Health Affairs in Aseer Region,Gastroenterology,3
11798,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Implant Dentistry,3
11801,2019,Makkah,Alnoor Specialist Hospital in Mecca,Adult Infectious Diseases,3
11802,2022,Riyadh,Joint Training Program in the Central Region,Pediatric Gastroenterology And Nutrition,3
11805,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Rheumatology,3
11806,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatric Nephrology,3
11809,2020,Riyadh,Eradah Mental Health Complex in Riyadh,Psychiatry,3
11813,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Periodontics,3
11817,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatric Surgery,3
11818,2020,Madinah,King Fahd Hospital in Medina,Blood Banking And Transfusion,3
11820,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Periodontics,3
11821,2022,Riyadh,King Khalid University Hospital in Riyadh,Adult Nephrology,3
11822,2019,Makkah,Alnoor Specialist Hospital in Mecca,Vascular Surgery,3
11823,2020,Abha,General Directorate of Health Affairs in Aseer Region,Adult Critical Care Medicine,3
11824,2020,Abha,General Directorate of Health Affairs in Aseer Region,Adult Rheumatology,3
11826,2020,Abha,General Directorate of Health Affairs in Aseer Region,Perinatal Neonatal Medicine,3
11827,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Nephrology,3
11831,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Hematology,3
11832,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Infectious Diseases,3
11835,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Rheumatology,3
11836,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Adult Echocardiography,3
11839,2020,Abha,The Medical City at King Khalid University,Restorative Dentistry,3
11841,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Cardiac Surgery,3
11842,2019,Madinah,King Fahd Hospital in Medina,Pediatric Dentistry,3
11843,2022,Riyadh,King Saud Medical City in Riyadh,Pediatric Hematology & Oncology,3
11845,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Midwifery Nursing,3
11846,2019,Madinah,Maternity and Children Hospital in Medina,Pediatrics Intensive Care,3
11847,2019,Madinah,Maternity and Children Hospital in Medina,Perinatal Neonatal Medicine,3
11849,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,General Medical Oncology,3
11850,2019,Madinah,Uhud General Hospital in Medina,General Surgery,3
11854,2016,Jeddah,King Abdullah Medical Complex in Jeddah,Internal Medicine,3
11855,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Maternal-Fetal Medicine,3
11857,2016,Jeddah,King Fahd General Hospital in Jeddah,Adult Respiratory Medicine,3
11858,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Cardiac Electrophysiology & Pacing,3
11861,2019,Madinah,Medina Cardiac Center,Cardiac Surgery,3
11862,2022,Riyadh,King Saud Medical City in Riyadh,Gastroenterology,3
11864,2021,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,Restorative Dentistry,3
11865,2016,Khobar,King Fahd University Hospital in Khobar,Adult Infectious Diseases,3
11867,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Urogynecology And Pelvic Reconstructive Surgery,3
11869,2019,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,Internal Medicine,3
11870,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Cardiac Anesthesia,3
11872,2019,Riyadh,Riyadh First Health Cluster,Family Medicine,3
11873,2021,Yanbu,Royal Commission Medical Center in Yanbu,Adult Critical Care Nursing,3
11875,2019,Riyadh,Security Forces Hospital in Riyadh,Clinical Pharmacy,3
11879,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Orthodontic and Dentofacial Orthopedics,3
11881,2019,Riyadh,Security Forces Hospital in Riyadh,Endodontics,3
11882,2019,Riyadh,King Fahad Medical City in Riyadh,Adult Echocardiography,3
11883,2019,Riyadh,Security Forces Hospital in Riyadh,Adult Nephrology,3
11890,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,General Medical Oncology,3
11896,2019,Riyadh,King Fahad Medical City in Riyadh,Adult Interventional Cardiology,3
11901,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ophthalmology,3
11902,2021,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Adult Respiratory Medicine,3
11903,2022,Hail,King Khalid Hospital in Hail,Saudi Postgraduate Diploma In Paediatrics,3
11904,2022,Riyadh,King Fahad Medical City in Riyadh,Adult Infectious Diseases,3
11911,2019,Riyadh,Riyadh Care Hospital,Anesthesia,3
11915,2021,Taif,King Faisal Medical Complex in Taif,Otorhinolaryngology Head And Neck Surgery,3
11916,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Clinical Pharmacy,3
11917,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Stem Cell Transplantation,3
11918,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Cardiac Surgery,3
11922,2022,Riyadh,King Fahad Medical City in Riyadh,Clinical Genetics & Metabolic Disorders,3
11925,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Nephrology,3
11926,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Epilepsy & Electroencephalography,3
11928,2019,Riyadh,Security Forces Hospital in Riyadh,Ophthalmology,3
11932,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Neurosurgery,3
11933,2020,Makkah,King Abdullah Medical City in the Holy Capital,Clinical Pharmacy,3
11935,2021,Taif,Specislized Dental Center in Taif,Pediatric Dentistry,3
11936,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics Respiratory Medicine,3
11938,2022,Abha,General Directorate of Health Affairs in Aseer Region,Perinatal Neonatal Medicine,3
11945,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Interventional Cardiology,3
11949,2019,Riyadh,Riyadh Second Health Cluster,Diabetes​,3
11951,2022,Dammam,King Fahd Specialist Hospital in Dammam,Gastroenterology,3
11953,2022,Dammam,King Fahd Specialist Hospital in Dammam,General Medical Oncology,3
11956,2022,Dammam,Eastern Health Cluster,Adult Critical Care Medicine,3
11957,2019,Riyadh,Riyadh Second Health Cluster,Adult Respiratory Medicine,3
11958,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Nuclear Medicine,3
11960,2020,Makkah,Alnoor Specialist Hospital in Mecca,Adult Infectious Diseases,3
11961,2022,Dammam,Eastern Health Cluster,Pediatric Hematology & Oncology,3
11962,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Pharmacy - Critical Care,3
11965,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Allergy And Immunology,3
11969,2020,Makkah,Alnoor Specialist Hospital in Mecca,Anesthesia,3
11970,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Dermatology,3
11973,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Breast Imaging,3
11980,2019,Riyadh,Riyadh First Health Cluster,Pediatrics Emergency Medicine,3
11981,2019,Riyadh,Riyadh First Health Cluster,Pediatric Nephrology,3
11982,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Interventional Nephrology,3
11984,2019,Riyadh,Riyadh Second Health Cluster,Pediatric Nephrology,3
11985,2019,Riyadh,King Fahad Medical City in Riyadh,Diagnostic Neuroradiology,3
11986,2019,Riyadh,King Fahad Medical City in Riyadh,Clinical Pharmacy - Parental Nutrition,3
11988,2019,Riyadh,King Fahad Medical City in Riyadh,Clinical Genetics & Metabolic Disorders,3
11989,2019,Riyadh,Riyadh First Health Cluster,Pediatric Gastroenterology And Nutrition,3
11990,2019,Riyadh,King Fahad Medical City in Riyadh,Clinical Biochemistry,3
11992,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Movement Disorder,3
11994,2022,Buraidah,King Fahd Specialist Hospital in Buraidah,Diabetes​,3
11995,2019,Riyadh,King Fahad Medical City in Riyadh,Midwifery Nursing,3
11997,2019,Riyadh,Riyadh Second Health Cluster,Pediatric Endocrinology And Metabolism,3
11999,2022,Buraidah,The program of the Ministry of Health in Al-Qassim,Saudi Postgraduate Diploma In Emergency Medicine,3
12001,2019,Riyadh,King Fahad Medical City in Riyadh,Pediatric Surgery,3
12002,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Rheumatology,3
12003,2022,Buraidah,Qassim health Cluster,Diabetes​,3
12006,2019,Riyadh,King Fahad Medical City in Riyadh,Pediatric Allergy And Immunology,3
12008,2019,Riyadh,King Fahad Medical City in Riyadh,Pain Medicine,3
12010,2020,Makkah,Alnoor Specialist Hospital in Mecca,Vascular Surgery,3
12012,2022,Jazan,General Directorate of Health Affairs in Jazan Region,Perinatal Neonatal Medicine,3
12015,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Rheumatology,3
12016,2016,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Psychiatry,3
12022,2016,Albahah,General Directorate of Health Affairs in Al-Baha Region,Endodontics,3
12024,2016,Albahah,General Directorate of Health Affairs in Al-Baha Region,Family Medicine,3
12026,2016,Albahah,General Directorate of Health Affairs in Al-Baha Region,Orthopedic Surgery,3
12030,2020,Jeddah,King Fahd General Hospital in Jeddah,Orthodontic and Dentofacial Orthopedics,3
12031,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult & Pediatric Orthopedic Spinal Surgery,3
12033,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Endodontics,3
12034,2020,Makkah,Security Forces Hospital in Mecca,Pediatric Dentistry,3
12037,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Perinatal Neonatal Medicine,3
12039,2016,Abha,The Medical City at King Khalid University,Endodontics,3
12040,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Advanced General Pediatric,3
12042,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Echocardiography,3
12045,2020,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,Endodontics,3
12046,2016,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Diagnostic Radiology,3
12048,2016,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Neurology,3
12050,2019,Riyadh,"Joint training program in the central region, Riyadh",Pediatric Surgery,3
12051,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatrics Respiratory Medicine,3
12052,2016,Buraidah,Al-Fayezia Health Center in Buraidah,Diploma Family Medicine,3
12053,2016,Dammam,Dammam Medical Complex,Endodontics,3
12054,2016,Dammam,Dammam Medical Complex,Gastroenterology,3
12055,2019,Riyadh,Joint Training Program in the Central Region,Pediatric Surgery,3
12056,2019,Riyadh,Joint Training Program in the Central Region,Pediatric Anesthesia,3
12057,2016,Dammam,Dammam Medical Complex,Orthodontic and Dentofacial Orthopedics,3
12058,2019,Riyadh,Joint Training Program in the Central Region,Implant Dentistry,3
12060,2016,Dammam,Dammam Medical Complex,Pain Medicine,3
12061,2019,Riyadh,Joint Training Program in the Central Region,Gastroenterology,3
12064,2021,Riyadh,Sultan Bin Abdulaziz Humanitarian City in Riyadh,Physical Medicine And Rehabilitation,3
12065,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Breast Imaging,3
12067,2019,Riyadh,Eradah Mental Health Complex in Riyadh,Psychiatry,3
12069,2020,Jeddah,King Fahd General Hospital in Jeddah,Gastroenterology,3
12070,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Adult Rheumatology,3
12071,2020,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Urology,3
12072,2016,Buraidah,King Fahd Specialist Hospital in Buraidah,Diagnostic Radiology,3
12079,2020,Madinah,Maternity and Children Hospital in Medina,Pediatrics Intensive Care,3
12080,2016,Buraidah,Qassim health Cluster,Diabetes​,3
12089,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Periodontics,3
12092,2020,Madinah,Medina Cardiac Center,Cardiac Surgery,3
12093,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Clinical Neurosurgery,3
12094,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Ultrasound In Obstetrics & Gynecology,3
12095,2021,Taif,King Abdulaziz Specialist Hospital in Taif,Anatomic Pathology,3
12096,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Pediatric Dentistry,3
12098,2022,Riyadh,King Fahad Medical City in Riyadh,Pediatric Hematology & Oncology,3
12102,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Restorative Dentistry,3
12103,2022,Riyadh,King Fahad Medical City in Riyadh,Pediatric Nephrology,3
12105,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pain Medicine,3
12108,2020,Makkah,King Abdullah Medical City in the Holy Capital,Medical Microbiology,3
12116,2020,Makkah,King Abdullah Medical City in the Holy Capital,Orthopedic Surgery,3
12123,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Nuclear Medicine,3
12124,2022,Riyadh,King Fahad Medical City in Riyadh,Pediatrics Infectious Diseases,3
12125,2021,Tabuk,The program of the Ministry of Health in Tabuk,Implant Dentistry,3
12126,2020,Makkah,King Faisal Hospital in Mecca,Endodontics,3
12127,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Renal Transplant,3
12128,2020,Jeddah,King Fahd General Hospital in Jeddah,Restorative Dentistry,3
12130,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Clinical Pharmacy - Nephrology,3
12134,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Clinical Pharmacy,3
12137,2020,Makkah,Security Forces Hospital in Mecca,Diagnostic Radiology,3
12138,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Echocardiography,3
12139,2021,Tabuk,The program of the Ministry of Health in Tabuk,Saudi Postgraduate Diploma In Paediatrics,3
12140,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Child And Adolescent Psychiatry,3
12144,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Diagnostic Neuroradiology,3
12147,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Reproductive Medicine & Surgery,3
12151,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Physical Medicine And Rehabilitation,3
12152,2022,Jeddah,East Jeddah Hospital in Jeddah,Pediatric Surgery,3
12154,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Emergency Nursing,3
12157,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Ophthalmology,3
12160,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Perinatal Neonatal Medicine,3
12161,2019,Khobar,King Fahd University Hospital in Khobar,Clinical Neurosurgery,3
12163,2019,Jeddah,East Jeddah Hospital in Jeddah,Anesthesia,3
12166,2022,Riyadh,Riyadh Second Health Cluster,Epilepsy & Electroencephalography,3
12167,2016,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ophthalmology,3
12169,2019,Jeddah,International Medical Center in Jeddah,Anatomic Pathology,3
12172,2022,Riyadh,Riyadh Second Health Cluster,General Medical Oncology,3
12174,2016,Riyadh,King Khalid University Hospital in Riyadh,Anatomic Pathology,3
12178,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Family Dentistry,3
12181,2019,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Clinical Pharmacy,3
12185,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Stem Cell Transplantation,3
12186,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Surgery,3
12191,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Psychiatry,3
12192,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Reconstructive Surgery,3
12193,2019,Jeddah,"Joint training program in the Western Region, Jeddah",Adult Respiratory Medicine,3
12196,2020,Jeddah,King Abdulaziz Hospital in Jeddah,Diagnostic Radiology,3
12198,2019,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Restorative Dentistry,3
12199,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Thoracic Surgery,3
12200,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Diagnostic Radiology,3
12201,2020,Jeddah,"Joint training program in the Western Region, Jeddah",Implant Dentistry,3
12202,2016,Riyadh,King Khalid University Hospital in Riyadh,Pediatric Surgery,3
12203,2020,Dubai,Al Jalila Pediatric Hospital in Dubai,Child And Adolescent Psychiatry,3
12204,2020,Riyadh,King Fahad Medical City in Riyadh,Pediatric Surgery,3
12207,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Orthopedic Surgery,3
12212,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Diagnostic Neuroradiology,3
12213,2020,Dubai,Rashed Hospital in Dubai,Adult Respiratory Medicine,3
12214,2016,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Urology,3
12215,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Adult Cardiology,3
12216,2016,Riyadh,King Khalid University Hospital in Riyadh,Pediatric Nephrology,3
12217,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Urology,3
12218,2019,Jazan,University Medical Center in Jazan University,Endodontics,3
12221,2019,Riyadh,Medical City of King Saud University in Riyadh,Adult Psychosomatic Medicine,3
12222,2022,Madinah,Maternity and Children Hospital in Medina,Pediatrics Emergency Medicine,3
12225,2019,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Prosthodontics,3
12226,2019,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Orthodontic and Dentofacial Orthopedics,3
12227,2019,Riyadh,Medical City of King Saud University in Riyadh,Anatomic Pathology,3
12229,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Saudi Postgraduate Diploma In Emergency Medicine,3
12230,2020,Riyadh,King Fahad Medical City in Riyadh,Pediatric Nephrology,3
12231,2019,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Endodontics,3
12235,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Perinatal Neonatal Medicine,3
12236,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Neurosurgery,3
12240,2019,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Pediatric Echocardiography,3
12247,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Maternal-Fetal Medicine,3
12248,2019,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Urology,3
12249,2019,Riyadh,King Saud Medical City in Riyadh,Restorative Dentistry,3
12251,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Endodontics,3
12252,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Radiology,3
12253,2016,Riyadh,King Fahad Medical City in Riyadh,Pediatrics Respiratory Medicine,3
12254,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pain Medicine,3
12257,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatrics Infectious Diseases,3
12258,2016,Riyadh,King Fahad Medical City in Riyadh,Maternal-Fetal Medicine,3
12260,2022,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Respiratory Medicine,3
12262,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Renal Transplant Surgery,3
12264,2016,Riyadh,King Fahad Medical City in Riyadh,Pediatric Rheumatology,3
12268,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatric Dentistry,3
12274,2020,Riyadh,King Fahad Medical City in Riyadh,Clinical Genetics & Metabolic Disorders,3
12277,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Anatomic Pathology,3
12281,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Gastroenterology,3
12282,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Body Imaging & Non-Vascular Intervention,3
12284,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Oral And Maxillofacial Surgery,3
12285,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Internal Medicine,3
12287,2022,Makkah,Alnoor Specialist Hospital in Mecca,Adult Critical Care Medicine,3
12291,2022,Riyadh,Riyadh First Health Cluster,Pediatric Gastroenterology And Nutrition,3
12292,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Pharmacy - Cardiology,3
12295,2022,Makkah,Alnoor Specialist Hospital in Mecca,Vascular Surgery,3
12298,2022,Riyadh,Riyadh First Health Cluster,Pediatric Nephrology,3
12299,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Pharmacy - Hematology Oncology,3
12301,2022,Riyadh,Riyadh First Health Cluster,Pediatrics Infectious Diseases,3
12304,2020,Jubail,Royal Commission Medical Center in Jubail,Anesthesia,3
12305,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Clinical Pharmacy - Hematology Oncology,3
12307,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Cardiac Anesthesia,3
12308,2020,Riyadh,King Fahad Medical City in Riyadh,Plastic Surgery,3
