,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Work_Name_En,Number_of_Trainees
7951,2022,Buraidah,Maternity and Pediatric Hospital in Buraidah,Personal Contract,1
7952,2020,Jeddah,King Fahd General Hospital in Jeddah,King Khalid University,1
7953,2018,Riyadh,National CARE Hospital in Riyadh,Ministry of Defense Medical Services,1
7954,2020,Jeddah,King Fahd General Hospital in Jeddah,King Fahad General Hospital - Jeddah,1
7955,2020,Jeddah,King Fahd General Hospital in Jeddah,Jazan University,1
7956,2018,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Ministry of Defense / Land Forces,1
7957,2018,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Ministry of Defense Medical Services,1
7958,2020,Jeddah,King Abdullah Medical Complex in Jeddah,International Medical Center,1
7959,2018,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Ministry of Health,1
7960,2018,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Ministry of Interior,1
7961,2020,Jeddah,King Abdullah Medical Complex in Jeddah,Personal Contract,1
7962,2020,Tabuk,General Directorate of Health Affairs in Tabuk Region,Ministry of Health,1
7963,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,King Saud University,1
7964,2020,Jeddah,King Abdullah Medical Complex in Jeddah,Ministry of Defense Medical Services,1
7965,2020,Tabuk,"Joint training program in the Western Region, Tabuk",Ministry of Defense / Land Forces,1
7966,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Ministry of Defense Medical Services,1
7967,2020,Jeddah,King Abdullah Medical Complex in Jeddah,Ministry of Defense / Personal Contract,1
7968,2022,Buraidah,King Fahd Specialist Hospital in Buraidah,King Saud University,1
7969,2022,Arar,The program of the Ministry of Health in Arar,Unknown,1
7970,2020,Jeddah,King Abdullah Medical Complex in Jeddah,"King Faisal Specialist Hospital & Research Centre, Jeddah",1
7971,2020,Jeddah,King Abdullah Medical Complex in Jeddah,King Abdulaziz University,1
7972,2020,Jeddah,King Fahd General Hospital in Jeddah,Prince Mohammed Bin Abdulaziz Hospital,1
7973,2020,Jeddah,King Fahd General Hospital in Jeddah,Private Sector,1
7974,2020,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Ministry of Defense Medical Services,1
7975,2018,Riyadh,Medical City of King Saud University in Riyadh,Ministry of Defense / Personal Contract,1
7976,2018,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,Qassim University,1
7977,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,International Medical Center,1
7978,2018,Riyadh,Medical Center at King Fahd Security College in Riyadh,Ministry of Interior,1
7979,2018,Riyadh,Medical City of King Saud University in Riyadh,Al Jouf University,1
7980,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Dr. Soliman Fakeeh Hospital,1
7981,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,"Al Noor Specialist Hospital, Mecca",1
7982,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Private Sector,1
7983,2020,Riyadh,Sultan Bin Abdulaziz Humanitarian City in Riyadh,Unknown,1
7984,2020,Riyadh,The educational clinics of the Vision Colleges in Riyadh,Unknown,1
7985,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Interior,1
7986,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,King Saud Medical City in Riyadh,1
7987,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,Ministry of Defense / Air Force,1
7988,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,Ministry of Defense / Land Forces,1
7989,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,Ministry of Defense Medical Services,1
7990,2018,Riyadh,Medical City of King Saud University in Riyadh,Imam Abdulrahman Bin Faisal University,1
7991,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense / Land Forces,1
7992,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,Prince Sattam Bin Abdulaziz University,1
7993,2018,Riyadh,Medical City of King Saud University in Riyadh,"King Fahad Specialist Hospital, Damam",1
7994,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,Qassim University,1
7995,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,King Khalid University,1
7996,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,King Faisal Medical City for Southern Regions,1
7997,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,1
7998,2018,Riyadh,Medical City of King Saud University in Riyadh,King Hamad University Hospita,1
7999,2022,Buraidah,The program of the Ministry of Health in Al-Qassim,Saudi Red Crescent Authority,1
8000,2020,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Ministry of Defense / Personal Contract,1
8001,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,"Al Noor Specialist Hospital, Mecca",1
8002,2018,Riyadh,Medical City of King Saud University in Riyadh,Majmaah University,1
8003,2022,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,Unknown,1
8004,2020,Tabuk,"Joint training program in the Western Region, Tabuk",Ministry of Defense / Personal Contract,1
8005,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Prince Sultan Military Medical City,1
8006,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,"King Abdulaziz Medical City for National Guard, Jeddah",1
8007,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Armed Forces Medical Services,1
8008,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Defense,1
8009,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,King Khalid University,1
8010,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,King Khalid National Guard Hospital,1
8011,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,"King Faisal Specialist Hospital & Research Centre, Jeddah",1
8012,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,King Saud Medical City in Riyadh,1
8013,2022,Abha,The Medical City at King Khalid University,King Khalid University,1
8014,2022,Abha,General Directorate of Health Affairs in Aseer Region,Prince Sultan Military Medical City,1
8015,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,King Fahad Medical City in Riyadh,1
8016,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdullah Medical City in Mecca,1
8017,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Interior,1
8018,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense / Air Force,1
8019,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Interior Medical Services,1
8020,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Jazan University,1
8021,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Jazan University,1
8022,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Albaha University,1
8023,2022,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense / Personal Contract,1
8024,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,University of Jeddah ,1
8025,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",1
8026,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Prince Sattam Bin Abdulaziz University,1
8027,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,University of Bisha ,1
8028,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Prince Sultan Military Medical City,1
8029,2022,Abha,General Directorate of Health Affairs in Aseer Region,King Khalid University,1
8030,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Saudi Red Crescent Authority,1
8031,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,"Royal Commission Medical Center, Yanbu",1
8032,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Taif University,1
8033,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Taibah University,1
8034,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Taif University,1
8035,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Kuwait Ministry of Health,1
8036,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,King Saud University,1
8037,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,King Khalid University,1
8038,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Interior / General Intelligence,1
8039,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Faisal Medical City for Southern Regions,1
8040,2022,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,Ministry of Health,1
8041,2020,Tabuk,"Joint training program in the Western Region, Tabuk",university of tabuk,1
8042,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,"King Saud Hospital, Unaizah",1
8043,2020,Jeddah,King Abdullah Medical Complex in Jeddah,Armed Forces Medical Services,1
8044,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Saud Medical City in Riyadh,1
8045,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Saud University,1
8046,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Defense,1
8047,2020,Jeddah,King Abdullah Medical Complex in Jeddah,"Al Noor Specialist Hospital, Mecca",1
8048,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,University of Jeddah ,1
8049,2022,Alkharj  ,The program of the Ministry of Health in Al-Kharj,Unknown,1
8050,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Interior Medical Services,1
8051,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,"Royal Commission Medical Center, Yanbu",1
8052,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Najran University,1
8053,2022,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,Ministry of Defense,1
8054,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Security Forces Hospital - Riyadh,1
8055,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,university of tabuk,1
8056,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Al Jouf University,1
8057,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,"Al Noor Specialist Hospital, Mecca",1
8058,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Alfaisal University,1
8059,2022,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Personal Contract,1
8060,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Imam Abdul Rahman Bin Faisal University,1
8061,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Prince Mohammed Bin Abdulaziz Hospital,1
8062,2020,Tabuk,King Fahd Specialist Hospital in Tabuk,Unknown,1
8063,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,King Fahad Medical City in Riyadh,1
8064,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,King Faisal Medical City for Southern Regions,1
8065,2020,Tabuk,King Khalid Civil Hospital in Tabuk,Ministry of Defense / Personal Contract,1
8066,2022,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense,1
8067,2018,Riyadh,King Fahad Medical City in Riyadh,برنامج الخدمات الصحية للهيئة الملكية بالجبيل RCH,1
8068,2020,Riyadh,Riyadh First Health Cluster,Ministry of Health,1
8069,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Saud Medical City in Riyadh,1
8070,2018,Riyadh,JointProgram for Endodontic in Central region,King Abdulaziz Medical City for National Guard in Riyadh,1
8071,2018,Riyadh,"Joint training program in the central region, Riyadh",Unknown,1
8072,2018,Riyadh,"Joint training program in the central region, Riyadh",Taibah University,1
8073,2018,Riyadh,"Joint training program in the central region, Riyadh",Qassim University,1
8074,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Defense / Personal Contract,1
8075,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Defense Medical Services,1
8076,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of National Guard,1
8077,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,1
8078,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,برنامج الخدمات الصحية للهيئة الملكية بالجبيل RCH,1
8079,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Private Sector,1
8080,2020,Riyadh,Dental clinics at the Dentistry Coolage at Dar Al Uloom University in Riyadh,Prince Sattam Bin Abdulaziz University,1
8081,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,university of tabuk,1
8082,2018,Riyadh,"Joint training program in the central region, Riyadh",Ministry of National Guard,1
8083,2020,Riyadh,Dental clinics at the Dentistry Coolage at Dar Al Uloom University in Riyadh,Qassim University,1
8084,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Qassim University,1
8085,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,1
8086,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,"King Abdulaziz Medical City for National Guard, Jeddah",1
8087,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,"king AbdulAziz Specialist Hospital, Taif",1
8088,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,"King Salman Specialist Hospital, Hail",1
8089,2018,Riyadh,JointProgram for Ophthalmology - Central,King Saud University,1
8090,2018,Riyadh,JointProgram for Forensic Medicine-Riyadh,Unknown,1
8091,2018,Riyadh,JointProgram for Forensic Medicine-Riyadh,Qassim University,1
8092,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Fahad Medical City in Riyadh,1
8093,2018,Riyadh,JointProgram for Forensic Medicine-Riyadh,Ministry of Interior Medical Services,1
8094,2018,Riyadh,JointProgram for Forensic Medicine-Riyadh,Ministry of Interior,1
8095,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Faisal Medical City for Southern Regions,1
8096,2018,Riyadh,JointProgram for Forensic Medicine-Riyadh,Ministry of Defense / Personal Contract,1
8097,2018,Riyadh,JointProgram for Endodontic in Central region,Princess Nourah Bint Abdul Rahman University,1
8098,2018,Riyadh,JointProgram for Endodontic in Central region,Personal Contract,1
8099,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,"King Faisal Specialist Hospital & Research Centre, Jeddah",1
8100,2018,Riyadh,JointProgram for Endodontic in Central region,Ministry of Defense Medical Services,1
8101,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Fahad General Hospital - Jeddah,1
8102,2018,Riyadh,JointProgram for Endodontic in Central region,Ministry of Defense / Personal Contract,1
8103,2020,Riyadh,Dallah Hospital in Riyadh,King Fahad Medical City in Riyadh,1
8104,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Security Forces Hospital - Riyadh,1
8105,2018,Riyadh,"Joint training program in the central region, Riyadh",Ministry of Defense Medical Services,1
8106,2022,Jeddah,Dr. Samir Abbas Hospital in Jeddah,Personal Contract,1
8107,2022,Riyadh,King Khalid University Hospital in Riyadh,International Medical Center,1
8108,2020,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Majmaah University,1
8109,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Saud Medical City in Riyadh,1
8110,2020,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Qassim University,1
8111,2022,Riyadh,King Khalid University Hospital in Riyadh,وزارة الدفاع - البحرين,1
8112,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Faisal University,1
8113,2020,Riyadh,Imam Abdulrahman Al-Faisal Hospital in Riyadh,Ministry of Health,1
8114,2018,Riyadh,Joint Otolaryngology Program - Riyadh,King Saud University,1
8115,2018,Riyadh,Imam Abdulrahman Al-Faisal Hospital in Riyadh,Ministry of Health,1
8116,2022,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Unknown,1
8117,2020,Riyadh,Joint Training Program in the Central Region,Imam Abdul Rahman Bin Faisal University,1
8118,2020,Riyadh,Joint Training Program in the Central Region,King Fahad National Guard Hospital,1
8119,2020,Riyadh,Joint Training Program in the Central Region,King Saud University,1
8120,2022,Riyadh,King Saud Medical City in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,1
8121,2020,Riyadh,Joint Training Program in the Central Region,Ministry of Defense Medical Services,1
8122,2022,Riyadh,Medical City of King Saud University in Riyadh,King Abdullah Medical City in Mecca,1
8123,2022,Riyadh,King Khalid University Hospital in Riyadh,Majmaah University,1
8124,2022,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,1
8125,2018,Riyadh,"Joint training program in the central region, Riyadh",Ministry of Defense / Personal Contract,1
8126,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Najran University,1
8127,2018,Riyadh,"Joint training program in the central region, Riyadh",Majmaah University,1
8128,2018,Riyadh,"Joint training program in the central region, Riyadh",King Saud University,1
8129,2018,Riyadh,"Joint training program in the central region, Riyadh",King Saud Medical City in Riyadh,1
8130,2018,Riyadh,"Joint training program in the central region, Riyadh",King Khalid University,1
8131,2018,Riyadh,"Joint training program in the central region, Riyadh",King Fahad Medical City in Riyadh,1
8132,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Majmaah University,1
8133,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Ministry of Defense / Air Force,1
8134,2018,Riyadh,Joint Training Program in the Central Region,Qassim University,1
8135,2018,Riyadh,Joint Training Program in the Central Region,Prince Sattam Bin Abdulaziz University,1
8136,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Ministry of Defense / Personal Contract,1
8137,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Ministry of Defense Medical Services,1
8138,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Ministry of Interior,1
8139,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,1
8140,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Qassim University,1
8141,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Security Forces Hospital - Riyadh,1
8142,2020,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,Ministry of Defense / Air Force,1
8143,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Abdullah bin Abdulaziz University Hospital,1
8144,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Majmaah University,1
8145,2020,Manama,King Hamad University Hospital in Kingdom of Bahrain,Personal Contract,1
8146,2020,Riyadh,King Khalid University Hospital in Riyadh,Ministry of Defense Medical Services,1
8147,2020,Manama,Salmaniya Medical Complex in Manama,King Hamad University Hospita,1
8148,2018,Riyadh,JointProgram for Periodontics- Riyadh,Qassim University,1
8149,2018,Riyadh,JointProgram for Periodontics- Riyadh,Personal Contract,1
8150,2022,Riyadh,King Fahad Medical City in Riyadh,King Faisal Medical City for Southern Regions,1
8151,2020,Najran,General Directorate of Health Affairs in Najran Region,Albaha University,1
8152,2022,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense / Personal Contract,1
8153,2022,Riyadh,King Fahad Medical City in Riyadh,Ministry of Interior,1
8154,2020,Riyadh,King Khalid University Hospital in Riyadh,King Faisal University,1
8155,2020,Riyadh,King Khalid University Hospital in Riyadh,International Medical Center,1
8156,2018,Riyadh,JointProgram for Periodontics- Riyadh,Ministry of Defense / Personal Contract,1
8157,2020,Riyadh,King Khalid University Hospital in Riyadh,Imam Abdul Rahman Bin Faisal University,1
8158,2020,Najran,General Directorate of Health Affairs in Najran Region,University of Bisha ,1
8159,2022,Riyadh,King Fahad Medical City in Riyadh,Prince Sultan Military Medical City,1
8160,2018,Riyadh,JointProgram for Periodontics- Riyadh,King Khalid University,1
8161,2022,Riyadh,King Fahad Medical City in Riyadh,King Fahad National Guard Hospital,1
8162,2018,Riyadh,JointProgram for Preventive medicine-Riyadh,King Saud University,1
8163,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ministry of Defense / Personal Contract,1
8164,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Umm Al Qura University,1
8165,2020,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Kuwait Ministry of Health,1
8166,2018,Riyadh,JointProgram for Prosthodontics in Riyadh,Unknown,1
8167,2020,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Ministry of Defense Medical Services,1
8168,2020,Riyadh,King Khalid University Hospital in Riyadh,University of Hail,1
8169,2020,Riyadh,King Khalid University Hospital in Riyadh,University of Bisha ,1
8170,2018,Riyadh,JointProgram for Prosthodontics in Riyadh,Ministry of National Guard,1
8171,2020,Manama,King Hamad University Hospital in Kingdom of Bahrain,"Al Noor Specialist Hospital, Mecca",1
8172,2018,Riyadh,JointProgram for Prosthodontics in Riyadh,King Saud University,1
8173,2020,Manama,King Hamad University Hospital in Kingdom of Bahrain,Imam Abdul Rahman Bin Faisal University,1
8174,2018,Riyadh,JointProgram for Preventive medicine-Riyadh,University of Bisha ,1
8175,2020,Manama,King Hamad University Hospital in Kingdom of Bahrain,King Saud Medical City in Riyadh,1
8176,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Prince Sultan Military Medical City,1
8177,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Qassim University,1
8178,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Security Forces Hospital - Riyadh,1
8179,2018,Riyadh,JointProgram for Preventive medicine-Riyadh,Ministry of Defense Medical Services,1
8180,2020,Riyadh,Al-Iman Hospital in Riyadh,King Abdulaziz University,1
8181,2018,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,Qassim University,1
8182,2018,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,Personal Contract,1
8183,2018,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,Ministry of National Guard,1
8184,2018,Riyadh,JointProgram for Orthodontics- Riyadh,Ministry of Defense / Personal Contract,1
8185,2018,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,Unknown,1
8186,2020,Riyadh,AlYamamah Hospital in Riyadh,Jazan University,1
8187,2020,Riyadh,AlYamamah Hospital in Riyadh,King Faisal Specialist Hospital & Research Centre,1
8188,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Qassim University,1
8189,2020,Riyadh,AlYamamah Hospital in Riyadh,King Saud Medical City in Riyadh,1
8190,2018,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,Najran University,1
8191,2020,Riyadh,AlYamamah Hospital in Riyadh,Personal Contract,1
8192,2018,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,King Faisal Specialist Hospital & Research Centre,1
8193,2018,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,King Faisal Medical City for Southern Regions,1
8194,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Dr. Sulaiman Al Habib Hospital - Takhassusi,1
8195,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Imam Abdul Rahman Bin Faisal University,1
8196,2018,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,King Fahad National Guard Hospital,1
8197,2020,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,King Fahad Medical City in Riyadh,1
8198,2018,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,1
8199,2020,Riyadh,AlYamamah Hospital in Riyadh,"Al Noor Specialist Hospital, Mecca",1
8200,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Taif University,1
8201,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,University of Jeddah ,1
8202,2020,Riyadh,Al-Iman Hospital in Riyadh,Ministry of Defense / Personal Contract,1
8203,2020,Riyadh,King Khalid University Hospital in Riyadh,Al Jouf University,1
8204,2022,Riyadh,King Fahad Medical City in Riyadh,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,1
8205,2020,Riyadh,Al-Iman Hospital in Riyadh,King Fahad Medical City in Riyadh,1
8206,2018,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,Ministry of Defense / Personal Contract,1
8207,2018,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,King Saud Medical City in Riyadh,1
8208,2018,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,1
8209,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,university of tabuk,1
8210,2020,Riyadh,Al-Iman Hospital in Riyadh,Private Sector,1
8211,2018,Riyadh,JointProgram for Orthodontics- Riyadh,Personal Contract,1
8212,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Bahrain Ministry of Health,1
8213,2020,Riyadh,Al-Iman Hospital in Riyadh,Personal Contract,1
8214,2020,Riyadh,Al-Iman Hospital in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,1
8215,2018,Riyadh,JointProgram for Orthodontics- Riyadh,Ministry of Interior /  Security College,1
8216,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Dr. Soliman Fakeeh Hospital,1
8217,2022,Riyadh,Medical City of King Saud University in Riyadh,"King Fahad Specialist Hospital, Damam",1
8218,2020,Riyadh,Joint Training Program in the Central Region,Taif University,1
8219,2022,Riyadh,Medical City of King Saud University in Riyadh,King Hamad University Hospita,1
8220,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of Defense,1
8221,2022,Riyadh,The program of the Ministry of Health in Riyadh,Ministry of Health,1
8222,2022,Riyadh,The program of the Ministry of Health in Riyadh,Unknown,1
8223,2018,Makkah,Security Forces Hospital in Mecca,Ministry of Defense / Personal Contract,1
8224,2018,Makkah,Security Forces Hospital in Mecca,"King Faisal Specialist Hospital & Research Centre, Jeddah",1
8225,2022,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense Medical Services,1
8226,2018,Makkah,Security Forces Hospital in Mecca,"Al Noor Specialist Hospital, Mecca",1
8227,2022,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Personal Contract,1
8228,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of the Interior/ General Directorate of Investigation ,1
8229,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Najran University,1
8230,2022,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense / Personal Contract,1
8231,2018,Makkah,Maternity and Children Hospital in Mecca,Ministry of Defense / Personal Contract,1
8232,2022,Taif,Armed Forces Hospital in Al-Hada in Taif,Prince Sultan Military Medical City,1
8233,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Saudi Red Crescent Authority,1
8234,2018,Makkah,King Faisal Hospital in Mecca,Ministry of Defense / Personal Contract,1
8235,2018,Makkah,King Faisal Hospital in Mecca,King Khalid University,1
8236,2022,Riyadh,Security Forces Hospital in Riyadh,Security Forces Hospital - Riyadh,1
8237,2018,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,Personal Contract,1
8238,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Jazan University,1
