,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Number_of_Trainees
1015,2016,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,3
1016,2017,Madinah,JointProgram for Family Medicine in Madinah,3
1017,2018,Taif,MOH JointProgram for Family Medicine -Taif,3
1018,2017,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,3
1019,2016,Jeddah,The program of the Ministry of Health in Jeddah,3
1020,2019,Dammam,Eradah Mental Health Hospital in Dammam,3
1021,2017,Riyadh,"Joint training program in the central region, Riyadh",3
1022,2018,Taif,Eradah Mental Health Complex in Taif,3
1023,2019,Jeddah,Vision College of Dentistry and Nursing Clinics in Jeddah,3
1024,2016,Makkah,King Abdulaziz Hospital in Mecca,3
1025,2018,Al-Ahsa,Alahsa Health Cluster,3
1026,2017,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,3
1027,2018,Jeddah,Directorate of Health Affairs in Jeddah Governorate,3
1028,2019,Jeddah,Ophthalmology Hospital in Jeddah,3
1029,2019,Madinah,JointProgram for Preventive Medicine in Madinah,3
1030,2018,Tabuk,"Joint training program in the Western Region, Tabuk",3
1031,2016,Yanbu,Royal Commission Medical Center in Yanbu,3
1032,2019,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,3
1033,2019,Buraidah,Prince Sultan Cardiac Center in Buraidah,3
1034,2018,Riyadh,National CARE Hospital in Riyadh,3
1035,2018,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,3
1036,2019,Riyadh,JointProgram for Forensic Medicine-Riyadh,3
1037,2018,Riyadh,King Abdulaziz University Hospital in Riyadh,3
1038,2019,Riyadh,King Abdulaziz University Hospital in Riyadh,3
1039,2019,Madinah,Eradah Mental Health Complex in Medina,3
1040,2017,Al-Ahsa,Alahsa Health Cluster,3
1041,2017,Arar,The program of the Ministry of Health in Arar,3
1042,2018,Dammam,Forensic Medicine Center in Dammam,3
1043,2017,Madinah,Forensic Medicine Center in Medina,3
1044,2019,Hofuf,Eradah Mental Health Hospital in Hofuf,3
1045,2020,Unknown - Saudi Arabia,Joint Training Program in the Eastern Province and the Kingdom of Bahrain,2
1047,2017,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,2
1048,2017,Riyadh,University Dental Hospital at King Saud University in Riyadh,2
1049,2021,Arar,Prince Abdullah bin Abdulaziz bin Musaed Dental Center in Arar,2
1050,2022,Al-Ahsa,Alahsa Health Cluster,2
1051,2019,Al-Ahsa,Prince Saud bin Jalawi Hospital in Alahsa,2
1053,2022,Dhahran,Armed Forces Hospitals at the Ministry of Defense in the third training sector,2
1055,2016,Taif,Eradah Mental Health Complex in Taif,2
1056,2017,Jeddah,Saudi German Hospital in Jeddah,2
1057,2022,Albahah,General Directorate of Health Affairs in Al-Baha Region,2
1058,2016,Tabuk,Family Medicine Postgraduate Program in Tabuk,2
1061,2019,Madinah,General Directorate of Health Affairs in Madinah,2
1062,2022,Alquriyat,Algrayat General Hospital,2
1066,2018,Al-Ahsa,"Joint training program in the eastern region, Al-Ahsa",2
1067,2020,Madinah,College of Dentistry Taibah University in Medina,2
1068,2020,Riyadh,Medical Center at King Fahd Security College in Riyadh,2
1069,2021,Buraidah,Qassim health Cluster,2
1073,2017,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,2
1074,2020,Riyadh,Dental University Hospital at Princess Nourah Bint Abdulrahman in Riyadh,2
1075,2017,Unaizah,King Saud Hospital in Unaizah,2
1077,2017,Taif,The program of the Ministry of Health in Taif ,2
1082,2019,Jeddah,Dental Clinics and Medical Science Services at Batterjee Medical College in Jeddah,2
1083,2017,Dubai,Al Jalila Pediatric Hospital in Dubai,2
1085,2020,Riyadh,Eradah Mental Health Complex in Riyadh,2
1086,2021,Sakaka,King Abdulaziz Specialist Hospital in Aljowf,2
1087,2020,Riyadh,Joint Psychiatry Program - Riyadh,2
1090,2021,Riyadh,The program of the Ministry of Health in Riyadh,2
1092,2021,Riyadh,The educational clinics of the Vision Colleges in Riyadh,2
1094,2016,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,2
1096,2017,Hail,Family Medicine Postgraduate Program in Hail,2
1099,2016,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,2
1100,2021,Unknown - Saudi Arabia,Joint Training Program in the Eastern Province and the Kingdom of Bahrain,2
1101,2021,Riyadh,Joint Psychiatry Program - Riyadh,2
1110,2017,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,2
1111,2016,Unaizah,King Saud Hospital in Unaizah,2
1113,2018,Riyadh,Eradah Mental Health Complex in Riyadh,2
1116,2022,Dhahran,Eye Specialist Hospital in Dhahran,2
1117,2019,Tabuk,King Fahd Specialist Hospital in Tabuk,2
1120,2019,Taif,Directorate of Health Affairs in Taif Governorate,2
1121,2021,Jeddah,Health Center King Faisal Residential City of the National Guard in Jeddah,2
1122,2017,Dhahran,Eye Specialist Hospital in Dhahran,2
1123,2016,Al-Ahsa,Almousa Specialist Hospital in Alahsa,2
1124,2017,Riyadh,JointProgram for Preventive medicine-Riyadh,2
1125,2016,Jubail,Royal Commission Medical Center in Jubail,2
1127,2016,Madinah,Forensic Medicine Center in Medina,2
1128,2019,Unknown - Saudi Arabia,Joint Training Program in the Eastern Province and the Kingdom of Bahrain,2
1129,2018,Yanbu,Family Medicine Combined Training Program - Yanbu,2
1130,2019,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,2
1131,2017,Taif,Eradah Mental Health Complex in Taif,2
1132,2020,Sakaka,King Abdulaziz Specialist Hospital in Aljowf,2
1133,2017,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,2
1135,2017,Tabuk,King Khalid Civil Hospital in Tabuk,2
1138,2021,Madinah,College of Dentistry Taibah University in Medina,2
1140,2017,Tabuk,"Joint training program in the Western Region, Tabuk",2
1141,2019,Riyadh,JointProgram for Restorative Dentistry- Central,2
1142,2022,Taif,Specislized Dental Center in Taif,2
1143,2022,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,2
1144,2022,Taif,King Abdulaziz Specialist Hospital in Taif,2
1145,2022,Taif,Directorate of Health Affairs in Taif Governorate,2
1148,2019,Riyadh,Joint Psychiatry Program - Riyadh,2
1149,2022,Riyadh,The program of the Ministry of Health in Riyadh,2
1151,2019,Riyadh,Eradah Mental Health Complex in Riyadh,2
1154,2016,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,2
1155,2018,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,2
1157,2020,Al-Ahsa,Al Ahsa Specialized Dental Center,2
1158,2016,Madinah,JointProgram for Family Medicine in Madinah,2
1159,2022,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,2
1160,2020,Buraidah,Regional Dental Center in Buraidah,2
1161,2022,Jeddah,King Abdullah Medical Complex in Jeddah,2
1162,2018,Madinah,JointProgram for Preventive Medicine in Madinah,2
1163,2020,Dammam,Dammam Regional Laboratory and Blood Bank,2
1166,2017,Buraidah,The program of the Ministry of Health in Al-Qassim,2
1167,2018,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,2
1171,2022,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,2
1172,2018,Dammam,Eradah Mental Health Hospital in Dammam,2
1173,2021,Riyadh,Forensic Medicine Center in Riyadh,2
1175,2017,Jubail,Royal Commission Medical Center in Jubail,2
1176,2017,Bisha,Directorate of Health Affairs in Bisha Governorate,2
1185,2021,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,2
1186,2016,Madinah,The program of the Ministry of Health in Madinah,2
1188,2018,Madinah,Eradah Mental Health Complex in Medina,2
1190,2018,Riyadh,JointProgram for Forensic Medicine-Riyadh,2
1191,2020,Taif,Specislized Dental Center in Taif,2
1193,2018,Madinah,Joint Family Medicine Program - Medina,2
1194,2020,Alrass,Al-Rass General Hospital,2
1195,2019,Makkah,Joint Postgraduate Program for Family Medicine in Makkah,2
1198,2022,Jeddah,Saudi German Hospital in Jeddah,2
1200,2021,Riyadh,Imam Abdulrahman Al-Faisal Hospital in Riyadh,1
1201,2017,Tabuk,Family Medicine Postgraduate Program in Tabuk,1
1202,2021,Makkah,The joint program in Makkah Al-Mukarramah,1
1206,2017,Riyadh,Regional laboratory and blood bank in Riyadh,1
1208,2017,Riyadh,National CARE Hospital in Riyadh,1
1209,2018,Tabuk,Family Medicine Postgraduate Program in Tabuk,1
1211,2018,Tabuk,The program of the Ministry of Health in Tabuk,1
1212,2021,Madinah,JointProgram for Psychiatry in Madinah,1
1213,2018,Taif,Directorate of Health Affairs in Taif Governorate,1
1215,2017,Riyadh,Imam Abdulrahman Al-Faisal Hospital in Riyadh,1
1221,2017,Riyadh,Riyadh Care Hospital,1
1223,2021,Makkah,"Joint training program in the Western Region, Makkah",1
1226,2021,Riyadh,Al-Nakheel Medical Center in Riyadh,1
1227,2021,Riyadh,Al-Miswak Academy for Health Training in Riyadh,1
1234,2018,Riyadh,Regional laboratory and blood bank in Riyadh,1
1235,2017,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,1
1239,2018,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,1
1240,2018,Riyadh,Joint Psychiatry Program - Riyadh,1
1241,2017,Tabuk,General Directorate of Health Affairs in Tabuk Region,1
1246,2018,Madinah,General Directorate of Health Affairs in Madinah,1
1249,2018,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,1
1254,2018,Madinah,JointProgram for Psychiatry in Madinah,1
1255,2018,Hofuf,Eradah Mental Health Hospital in Hofuf,1
1256,2022,Jeddah,Health Center King Faisal Residential City of the National Guard in Jeddah,1
1257,2022,Jeddah,Eradah Complex - Psychological Services in Jeddah,1
1258,2022,Jeddah,Dr. Samir Abbas Hospital in Jeddah,1
1259,2022,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,1
1260,2018,Madinah,University clinics at Taibah University in Medina,1
1262,2018,Dammam,Dammam Regional Laboratory and Blood Bank,1
1265,2018,Makkah,"Joint training program in the Western Region, Makkah",1
1271,2022,Unknown - Saudi Arabia,Joint training program in the Western Region,1
1272,2022,Unaizah,King Saud Hospital in Unaizah,1
1286,2018,Jeddah,Ophthalmology Hospital in Jeddah,1
1288,2018,Jeddah,Specialized Dental Center in North Jeddah,1
1289,2018,Jeddah,Dr. Samir Abbas Hospital in Jeddah,1
1291,2018,Jeddah,Vision College of Dentistry and Nursing Clinics in Jeddah,1
1292,2018,Buraidah,Eradah Mental Health Hospital in Buraidah,1
1293,2022,Dammam,Maternity and Children Hospital in Dammam,1
1303,2021,Tabuk,Eradah Mental Health Hospital in Tabuk,1
1307,2018,Riyadh,Imam Abdulrahman Al-Faisal Hospital in Riyadh,1
1308,2017,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,1
1311,2017,Taif,MOH JointProgram for Family Medicine -Taif,1
1312,2021,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,1
1314,2017,Taif,Directorate of Health Affairs in Taif Governorate,1
1322,2018,Alkharj  ,Saudi Health Center in Al-Kharj,1
1323,2018,Al-Ahsa,Prince Saud bin Jalawi Hospital in Alahsa,1
1326,2022,Buraidah,Maternity and Pediatric Hospital in Buraidah,1
1328,2022,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,1
1329,2022,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,1
1330,2022,Al-Ahsa,Maternity and Children Hospital in Mubarraz,1
1331,2022,Abha,The Medical City at King Khalid University,1
1335,2017,Yanbu,Family Medicine Combined Training Program - Yanbu,1
1338,2018,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,1
1339,2021,Unknown - Saudi Arabia,Joint training program in the Western Region,1
1340,2021,Unknown - Saudi Arabia,Joint Program of Ophthalmology - Dammam,1
1344,2021,Jouf,Educational Dental Clinics Center in Aljowf University,1
1345,2016,Jeddah,Dr. Samir Abbas Hospital in Jeddah,1
1348,2016,Riyadh,University Dental Hospital at King Saud University in Riyadh,1
1350,2020,Jeddah,Health Center King Faisal Residential City of the National Guard in Jeddah,1
1351,2016,Riyadh,JointProgram for Preventive medicine-Riyadh,1
1357,2016,Riyadh,Al-Iman Hospital in Riyadh,1
1359,2020,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,1
1360,2020,Hail,The joint training program in Hail,1
1361,2019,Madinah,JointProgram for Psychiatry in Madinah,1
1362,2020,Hail,Health Cluster in Hail Region,1
1363,2016,Manama,King Hamad University Hospital in Kingdom of Bahrain,1
1364,2020,Hail,Dental Center in Hail,1
1372,2016,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,1
1376,2016,Taif,MOH JointProgram for Family Medicine -Taif,1
1378,2020,Makkah,General Directorate of Health Affairs in Mecca,1
1380,2020,Madinah,Specialized Dental Center at King Fahd Hospital in Medina,1
1381,2020,Madinah,Regional Laboratory and Central Blood Bank in Medina,1
1385,2020,Madinah,JointProgram for Psychiatry in Madinah,1
1386,2016,Taif,The program of the Ministry of Health in Taif ,1
1395,2020,Jouf,Educational Dental Clinics Center in Aljowf University,1
1397,2016,Taif,Directorate of Health Affairs in Taif Governorate,1
1399,2016,Tabuk,"Joint training program in the Western Region, Tabuk",1
1404,2016,Makkah,Security Forces Hospital in Mecca,1
1405,2016,Al-Ahsa,Alahsa Health Cluster,1
1406,2016,Jouf,Muktt 5 primary health care center in Aljowf,1
1407,2016,Jeddah,Vision College of Dentistry and Nursing Clinics in Jeddah,1
1408,2016,Al-Ahsa,The program of the Ministry of Health in Al-Ahsa,1
1409,2019,Tabuk,The program of the Ministry of Health in Tabuk,1
1410,2019,Tabuk,Medical Center in College of Medicine in University of Tabuk,1
1411,2016,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,1
1412,2016,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,1
1413,2016,Jeddah,Saudi German Hospital in Jeddah,1
1414,2019,Tabuk,General Directorate of Health Affairs in Tabuk Region,1
1415,2019,Tabuk,Family Medicine Postgraduate Program in Tabuk,1
1416,2016,Bisha,Directorate of Health Affairs in Bisha Governorate,1
1417,2016,Jeddah,Maternity and Children Hospital in Jeddah,1
1418,2016,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,1
1419,2019,Riyadh,Imam Abdulrahman Al-Faisal Hospital in Riyadh,1
1420,2016,Jeddah,Health Center King Faisal Residential City of the National Guard in Jeddah,1
1421,2019,Riyadh,Regional laboratory and blood bank in Riyadh,1
1422,2016,Dhahran,Armed Forces Hospitals at the Ministry of Defense in the third training sector,1
1423,2016,Dhahran,Eye Specialist Hospital in Dhahran,1
1424,2016,Jeddah,Forensic Medicine center in Jeddah,1
1425,2016,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,1
1426,2016,Dubai,Al Jalila Pediatric Hospital in Dubai,1
1427,2019,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,1
1428,2016,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,1
1429,2016,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,1
1430,2016,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,1
1432,2016,Madinah,Joint Family Medicine Program - Medina,1
1434,2019,Madinah,Specialized Dental Center at King Fahd Hospital in Medina,1
1436,2016,Makkah,King Faisal Hospital in Mecca,1
1438,2019,Madinah,University clinics at Taibah University in Medina,1
1439,2016,Makkah,JointProgram for Family Medicine in Makkah,1
1440,2016,Makkah,Joint Family and Community Medicine Program,1
1443,2020,Arar,Prince Abdullah bin Abdulaziz bin Musaed Dental Center in Arar,1
1444,2019,Makkah,"Joint training program in the Western Region, Makkah",1
1447,2020,Alkharj  ,Saudi Health Center in Al-Kharj,1
1448,2016,Madinah,Uhud General Hospital in Medina,1
1449,2016,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,1
1452,2016,Madinah,Medina Cardiac Center,1
1454,2020,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",1
1456,2016,Madinah,"Joint training program in the Western Region, Madinah",1
1459,2020,Makkah,"Joint training program in the Western Region, Makkah",1
1460,2018,Jeddah,Health Center King Faisal Residential City of the National Guard in Jeddah,1
1463,2017,Madinah,"Joint training program in the Western Region, Madinah",1
1469,2017,Jouf,Muktt 5 primary health care center in Aljowf,1
1471,2016,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,1
1473,2017,Jeddah,Vision College of Dentistry and Nursing Clinics in Jeddah,1
1474,2019,Alkharj  ,Saudi Health Center in Al-Kharj,1
1475,2017,Jeddah,JointProgram for Family Medicine in Jeddah,1
1477,2017,Jeddah,Health Center King Faisal Residential City of the National Guard in Jeddah,1
1478,2017,Jeddah,Eradah Complex - Erada Services in Jeddah,1
1481,2017,Jeddah,Dr. Samir Abbas Hospital in Jeddah,1
1482,2017,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,1
1484,2017,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,1
1486,2019,Dammam,Dammam Regional Laboratory and Blood Bank,1
1487,2017,Madinah,JointProgram for Preventive Medicine in Madinah,1
1488,2019,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",1
1489,2019,Al-Ahsa,Al Ahsa Specialized Dental Center,1
1492,2021,Jeddah,Maternity and Children Hospital in Jeddah,1
1502,2017,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,1
1507,2017,Makkah,JointProgram for Family Medicine in Makkah,1
1510,2021,Jeddah,Al-Nahda Health Center (Al-Zahraa) in Jeddah,1
1511,2021,Jeddah,Al Thager Hospital in Jeddah,1
1513,2017,Makkah,Joint Postgraduate Program for Family Medicine in Makkah,1
1514,2021,Hail,The joint training program in Hail,1
1519,2020,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,1
1520,2017,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,1
1526,2020,Riyadh,JointProgram for Restorative Dentistry- Central,1
1528,2019,Jeddah,Dr. Samir Abbas Hospital in Jeddah,1
1530,2020,Riyadh,Imam Abdulrahman Al-Faisal Hospital in Riyadh,1
1533,2017,Abha,The Medical City at King Khalid University,1
1539,2019,Jeddah,Health Center King Faisal Residential City of the National Guard in Jeddah,1
1543,2017,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,1
1547,2017,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,1
1548,2021,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",1
1560,2020,Tabuk,The program of the Ministry of Health in Tabuk,1
1564,2020,Tabuk,General Directorate of Health Affairs in Tabuk Region,1
1565,2017,Dhahran,Armed Forces Hospitals at the Ministry of Defense in the third training sector,1
1566,2017,Dammam,"Joint training program in the eastern region, Dammam",1
1567,2020,Riyadh,The educational clinics of the Vision Colleges in Riyadh,1
1568,2020,Riyadh,Sultan Bin Abdulaziz Humanitarian City in Riyadh,1
1569,2017,Dammam,Forensic Medicine Center in Dammam,1
